brand,url_en,url_fr,key
Bare,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=bare,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=bare&DEFLANG=2,bare
Cheetos,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=cheetos,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=cheetos&DEFLANG=2,cheetos
Chewy,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=chewy,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=chewy&DEFLANG=2,chewy
CRISPY MINIS,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=crispyminis,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=crispyminis&DEFLANG=2,crispyminis
Dipps,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=dipps,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=dipps&DEFLANG=2,dipps
Doritos,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=doritos,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=doritos&DEFLANG=2,doritos
Frito-Lay Variety Pack,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=fritolay,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=fritolay&DEFLANG=2,fritolay
Lays,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=lays,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=lays&DEFLANG=2,lays
Quaker(Life?),https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=quaker,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=quaker&DEFLANG=2,quaker(life?)
MISS VICKIE’S,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=missvickies,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=missvickies&DEFLANG=2,missvickies
Off the Eaten Path,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=otep,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=otep&DEFLANG=2,otep
Quaker,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=quaker,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=quaker&DEFLANG=2,quaker
Ruffles,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=ruffles,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=ruffles&DEFLANG=2,ruffles
Harvest Crunch,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=nutharvest,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=nutharvest&DEFLANG=2,nutharvest
Smartfood,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=smartfood,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=smartfood&DEFLANG=2,smartfood
Stacys,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=stacys,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=stacys&DEFLANG=2,stacys
Sunchips,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=sunchips,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=sunchips&DEFLANG=2,sunchips
Tostitos,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=tostitos,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=tostitos&DEFLANG=2,tostitos
CAP’N CRUNCH,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=capncrunch,https://pepsicoca.a.destini.co/?ACODE=tastyrewards&LCODE=capncrunch&DEFLANG=2,capncrunch
