ID,Title,Featured,Image Madewith,Image Madewith2,Prep Time,Cook Time,Rating,Image,Mobile Image,Description,Ingredients,Directions,Link Madewith
3000,Cheetos Crunchy<sup>®</sup> Flamin’ Hot<sup>®</sup> and Cheetos<sup>®</sup> Puffs White Cheddar Mac n’ Cheetos<sup>®</sup>,0,Cheetos Crunchy Flamin Hot.png,Cheetos Puffs White Cheddar.png,,,,Cheetos Mac _ Cheetos-046-1920x715.jpg,MacnCheetos400x220.jpg,Spicy jalapeños. Bacon. Cheeto<sup>®</sup> Flamin’ Hot<sup>®</sup> crust. All in one decadent dish. Need we say more?,"2 cups coarsely chopped Cheetos Crunchy<sup>®</sup> Flamin’ Hot<sup>®</sup> cheese flavoured snacks
2 cups pulverized Cheetos<sup>®</sup> Puffs White Cheddar cheese flavoured snacks 
Extra virgin olive oil
6 slices Bacon, cut crosswise into  1/2 inch strips
3 Tbsp. Unsalted butter
1 Onion, cut into  1/4 inch dice
Kosher salt
 1/2 cup All-purpose flour
4 cups whole milk, plus more as needed
1 pound (454 g) Shells or other short pasta
1  1/2 cups Freshly grated Cheddar cheese
1  1/2 cups Freshly grated Fontina cheese
 1/2 cup Freshly grated Parmigiano cheese
 1/4 cup Dijon mustard
Hot sauce, to taste
","Drizzle a bit of olive oil in a large saucepan, add the bacon, and bring the pan to medium heat. Stir the bacon occasionally. When it’s crispy, remove it from the pan and drain on paper towels. Do not discard the bacon fat!

Add the butter and onion to the pan with the fat, season with salt, and cook until the onion is soft and aromatic, 8 to 10 minutes. Add the flour and cook, stirring frequently, for 4 to 5 minutes. Slowly whisk in the milk, season with salt, bring to a boil, and reduce to a simmer. Cook over low heat for 8 to 10 minutes.



Meanwhile, bring a large pot of well-salted water to a boil. Add the pasta to the boiling water and cook for 1 minute less than the instructions on the package suggest. Drain the pasta and reserve.

Add the cheddar, fontina, Parmigiano and pulverized Cheetos<sup>®</sup> Puffs White Cheddar to the milk mixture and whisk to combine. Add the mustard and a few shakes of hot sauce and adjust the seasoning if needed, adding a little more milk if the mixture seems too thick. Stir in the cooked bacon and pasta.

Sprinkle with Cheetos Crunchy<sup>®</sup> Flamin’ Hot<sup>®</sup> and put under the broiler until it gets crispy and crunchy.
",/en-ca/brands/cheetos/products/cheetos-crunchyr-flamin-hotr-cheese-flavoured-snacks
3001,Paw-some Bacon Ranch Cheeseball,0,Cheetos Puffs.png,,,1 h 15 min,,Paw-some Bacon Ranch Cheeseball1920x715.jpg,Paw-some Bacon Ranch Cheeseball400x220.jpg,"Ready to dip your paws into this insanely cheesy dip? And yes, the pun is very much intended. Because this holiday appetizer has just the right amount of cream, zesty ranch and savoury bacon, your guests will wish this was the main course.","8 oz. cream cheese, room temperature
2 tbsp. sour cream
1 oz. package ranch seasoning
1 c. mild cheddar cheese, shredded
5 c. Cheetos Paws™ cheese flavoured snacks, crushed (reserve  1/2 cup for coating)
1 green onion, chopped
2 slices bacon, cooked and crumbled
","Beat cream cheese, sour cream and ranch seasoning until combined.
Add shredded cheddar and crushed Cheetos Paws™ and beat until fluffy.
Stir in green onions and bacon.
Transfer mixture to a sheet of plastic wrap. Mold into an oval shape that is 1 1/2 inches high by 4 1/2 inches across. Wrap tightly and refrigerate at least one hour.
Just before serving, unwrap cheese form and roll in crushed Cheetos Paws™, pressing to coat completely.
Place form on a serving plate. Use a spoon to shape a paw print on the surface.
Serve immediately with a side of Cheetos Paws™ snacks. 

",
3002,Flamin’ Hot<sup>®</sup> Tamales,0,Cheetos Crunchy Flamin Hot.png,,,1 h 15 min,,flamin-hot-tamales1920x715.jpg,flamin-hot-tamales400x220.jpg,"Nothin’ says “holidays with the fam” like the taste of your abuela’s tamales. Nothin’ says “Cheetos<sup>®</sup> Flamin’ Hot<sup>®</sup>” like, well, me saying to add them to your tamales for an insanely delicious treat. So this is my gift to you—my top (not-so) secret recipe for Flamin’ Hot<sup>®</sup> Tamales. Don’t say I never gave you anything.","For the tamales:
1 c. Cheetos Crunchy<sup>®</sup> Flamin’ Hot<sup>®</sup>  snacks, finely ground (reserve a little extra for garnish)
1 1/2 c. yellow masa harina corn flour
 1/2 tsp. kosher salt
1 1/2 tsp. baking powder
 1/4 tsp. cayenne pepper
 1/4 c. butter, melted
1 3/4 c. boiling-hot chicken or vegetable stock
1 tbsp. lime juice
1 tsp. lime zest
10 large dried corn husks, soaked in water for one hour
1 lb. grated pepper jack cheese
Sliced avocado (for presentation)

For the lima cream:
1 c. store-bought crema Mexicana (or fresh sour cream)
Juice and zest of 1 lime
 1/2 tsp. salt

For the lime-pickled onions:
1 red onion, fine julienne
Juice of 1 lime
 1/4 tsp. kosher salt
1 tbsp. chopped fresh cilantro
","In a large bowl, use a mixer to combine the Cheetle™ (ground Cheetos<sup>®</sup>), masa harina, salt, baking powder and cayenne until well combined.
On medium speed, add the butter, hot stock, lime juice and zest. Turn speed to high for about 2 minutes until the masa is light and fluffy.
Lay out the corn husks and divide the masa between them.
Using a rubber spatula, spread the masa out into a 5-inch square stretching from the broad edge of the corn husk to three-quarters of the way to the top and centered from side to side. Make sure the thickness is even.
Place a little more than  1/2 c. of grated cheese in your hand and squeeze it into a 4-inch-long tube. Place it in the center, and then roll one edge over the top. Gently pull the corn husk away, and roll the other side over so that they overlap masa on masa. Roll the corn husk up, and then using a thin strip of corn husk, tie the top of the tamale off about 2 inches from the top. Repeat for each tamale.
Put a steamer basket inside a pot filled with  3/4 inch of water (water line should be just below the basket). Gently place tamales in a steamer basket and steam for 20 minutes. 
Turn off the heat and let rest for 10 minutes before serving. Garnish with lime crema, lime-pickled onions, slices of fresh avocado and a sprinkling of Cheetle™.
",
3003,Chester’s Best Pumpkin Pie,0,Cheetos Puffs White Cheddar.png,,,2 h,,good-cheddar-best-pumpkin-pie1920x715.jpg,good-cheddar-best-pumpkin-pie400x220.jpg,"Get ready to be the Friendsgiving MVP. This twist pumpkin spice is anything but basic. A cheesy graham cracker crust and a smooth, creamy filling are a one-two punch of Cheetos<sup>®</sup> flavour that take any Friendsgiving to the next level.","For the crust:
240 g bag of Cheetos<sup>®</sup> White Cheddar Puffs cheese flavoured snacks
1 1/2 c. graham crackers, crushed
 3/4 c. butter (1 1/2 sticks), melted
3 tbsp. sugar 
1 1/2 tsp. salt

For the filling:
2 15 oz. cans of pumpkin puree
6 eggs
2  1/2 c. brown sugar
 1/2 tbsp. cornstarch
1 tbsp. ground cinnamon
 1/2 tsp. ground ginger
1 tsp. ground nutmeg
 1/2 tbsp. pumpkin spice
 1/2 tsp. ground black pepper
 1/2 tbsp. vanilla extract
2 c. heavy cream
1 c. milk
240 g bag of Cheetos<sup>®</sup> White Cheddar Puffs cheese flavoured snacks
","For the crusts:

Preheat your oven to 350°F. 
Grind the Cheetos<sup>®</sup> White Cheddar Puffs finely in a food processor. 
Mix ground Cheetos<sup>®</sup> Puffs, ground graham crackers, melted butter, sugar and salt, massaging between your paws until the mixture is a sandy texture.
Divide the mixture between 2 10inch round pans.  

Flamin’ Hot<sup>®</sup> Tip: The bottom of a measuring cup is purrfect for flattening your crust on the bottom and sides of the pan. 

Bake crusts 15 minutes and then cool.

For the filling:
Place your Cheetos<sup>®</sup> White Cheddar Puffs, heavy cream and milk in a saucepan over medium heat and bring to a simmer. 
Once it’s nice and bubbly, cover the pan, remove it from the heat, and let it hang out and cool for 20 minutes. 
Blend filling mixture until mixed and smooth.  
Place pumpkin, eggs, brown sugar, cornstarch, cinnamon, ginger, nutmeg, pumpkin spice, black pepper and vanilla extract in large bowl and mix well. 
Add in cheesy cream puree to the bowl and combine. Then divide pie filling between two pans. 
Bake pies for about 50 minutes. You’ll know they’re done when the center is firm and springy. 
As hard as it is, allow the pies to cool completely before digging in—at least 2 hours. 

And of course, top them with whipped cream and more cheesy Cheetos<sup>®</sup> before serving. ",
3004,Purrfect Popcorn Balls,0,Cheetos Crunchy.png,,,1 h 15,,purrfect-popcorn-balls1920x715.jpg,purrfect-popcorn-balls400x220.jpg,"Sometimes, you need something sweet, and you need it fast. These popcorn balls come together at lightning speed, or should we say cheetah speed? They’re sweet, they’re salty, and they’re sure to be made (and eaten) in a flash!","1 3/4 c. mini marshmallows 
1 c. caramel bits 
A pinch of salt 
7 c. Smartfood<sup>®</sup> White Cheddar Popcorn 
2 1/2 c. Cheetos Crunchy<sup>®</sup> cheese flavoured snacks
","In a large saucepot, let your marshmallows, caramel bits and salt get all melty over medium-low heat.  
Remove your marshmallow mixture from the heat and add in the Smartfood<sup>®</sup> White Cheddar popcorn and Cheetos Crunchy<sup>®</sup> cheese flavoured snacks. Give it a good stir to make sure everything gets coated.  
Don’t burn your paws! Let the mixture cool slightly before coating your hands in butter and shaping it into baseball-sized balls.  
Once they’re cool, wrap ’em up and watch ’em disappear! ",
3005,Mashed Paw-tatoes,0,Cheetos Puffs.png,,,25 min,,mashed-paw-tatoes1920x715.jpg,mashed-paw-tatoes400x220.jpg,"This dish is the definition of ""treat yo’ self!"" All the butter, cream cheese, and cheesy Cheetos<sup>®</sup> MASHED into one delicious holiday dish will have anyone who takes a bite cheesin’ for the rest of the night. Boom! Rhyme.","2 1/2 lbs. Yukon Gold potatoes
1 c. milk
1 c. cream
4 oz. stick of butter
2 oz. cream cheese
2 c. Cheetos<sup>®</sup> Puffs Cheese Flavored Snacks , crushed
Kosher salt, to taste
Black pepper, to taste
","Wash and peel potatoes. Place in a pot with enough cold water to cover potatoes. Add a pinch of salt and boil until tender, 30-45 minutes. Drain and return to pot.
In a medium saucepot, bring milk and cream to a boil.
Remove from heat, whisk in 1 cup of crushed Cheetos<sup>®</sup>. Slowly add to potatoes, and smash or whip until smooth. Fold in butter and cream cheese until fully incorporated.
Transfer potatoes to an oven-safe baking dish. Dust the surface of the potatoes with the remaining crushed Cheetos<sup>®</sup> and bake in a 350°F for 10 minutes. Then feast your eyes on the best Mashed Paw-tatoes a cheetah has ever dared to cook.
",
3006,CHEETOS CRUNCHY<sup>®</sup> FLAMIN' HOT<sup>®</sup> Elotes,1,Cheetos Crunchy Flamin Hot.png ,Cheetos Puffs White Cheddar.png,,,,Cheetos FH Elotes1920x715.jpg,Cheetos FH Elotes400x220.jpg,Channel your inner Flamin’ Hot fandom with these Flamin’ Hot elotes. Classic street corn buttered and covered from ear to ear in CHEETOS<sup>®</sup> Puffs White Cheddar and CHEETOS<sup>®</sup> Puffs FLAMIN' HOT<sup>®</sup> products AND then topped with even more CHEETOS<sup>®</sup>. Can we get a what-what?!,"230 g bag CHEETOS<sup>®</sup> Puffs FLAMIN' HOT<sup>®</sup> Cheese Flavoured Snacks, pulverized into dust (also known as “Cheetle”!)
240 g bag CHEETOS<sup>®</sup> Puffs White Cheddar Cheese Flavoured Snacks, pulverized into Cheetle
6 Ears of corn, cut in half
12 Wooden sticks
4 cups Mayo
2 cups Softened butter
4 Limes halved
Salt
","Add sticks to the bottom of the corn, popsicle-style.
Steam or grill the corn ’til hot, about 3 - 5 minutes. Turn frequently so corn gets very hot but doesn’t burn.
Coat the corn with butter and mayo.
Season with salt to taste.
Add the CHEETOS<sup>®</sup> Puffs FLAMIN' HOT<sup>®</sup> into a blender, pulverize, and set aside. Do the same with the CHEETOS<sup>®</sup> Puffs White Cheddar. Transfer both to separate plates.
Squeeze lime juice all over the corn, and roll the corn in the CHEETOS<sup>®</sup> Cheetle.
Finally, top the corn with CHEETOS<sup>®</sup> Puffs White Cheddar or CHEETOS<sup>®</sup> Puffs FLAMIN' HOT<sup>®</sup> Cheetle.

DID YOU KNOW? That delicious, cheesy dust on your fingers when you enjoy Cheetos is called CHEETLE!
",
3007,CHEETOS CRUNCHY<sup>®</sup> FLAMIN' HOT<sup>®</sup> Wings,0,Cheetos Crunchy Flamin Hot.png,,,,,Cheetos FH Wings1920x715.jpg,Cheetos FH Wings400x220.jpg,"If we had a wall of flame, these would make the cut. Our wings are drenched in a delicious chili sauce and then covered in CHEETOS<sup>®</sup> Flamin’ Hot . Trust us — there is nothin’ chicken about trying these wings.","285 g bag CHEETOS CRUNCHY<sup>®</sup> FLAMIN' HOT<sup>®</sup> Cheese Flavoured Snacks
2 cups Gochujang (red pepper paste)
2 cups Rice wine vinegar
1 tsp Ground black pepper
2 cups Soy sauce
3 Jalapeños, chopped
3 tsp Gochugaru (red pepper powder)
1/2 cup Mirin
1 Lemon (zest and juice)
1 Lime (zest and juice)
1 Orange (zest and juice)
1 tsp Garlic
1 tsp Ginger
1 cup Cilantro
Pinch of salt
5 pounds Chicken wings
Fryer oil
Ranch dressing
","Puree all the wing sauce ingredients in a blender. Set aside.
Pour the CHEETOS CRUNCHY<sup>®</sup> FLAMIN' HOT<sup>®</sup> snacks into a blender to pulverize into dust (also called “Cheetle”!). Set aside.
Fry wings at 300 F for about 7 minutes in a cast-iron pan.
Toss in the wing sauce.
Shower wings with the CHEETOS CRUNCHY<sup>®</sup> FLAMIN' HOT<sup>®</sup> dust.
Serve with a side of ranch dressing.

DID YOU KNOW? That delicious, cheesy dust on your fingers when you enjoy Cheetos is called CHEETLE!
",
3008,“Hot” Chocolate Shake,0,Cheetos Puffs Flamin Hot.png,,,,,Hot_ Chocolate Shake1920x715.jpg,Hot_ Chocolate Shake400x220.jpg,"Sugar and spice. Everything needed to make this milkshake dangerously nice. Creamy chocolate ice cream, raspberries and crushed CHEETOS<sup>®</sup> Puffs FLAMIN' HOT<sup>®</sup> snacks blended together for the perfect balance of sweet and heat. Garnished with a raspberry and CHEETOS<sup>®</sup> Puffs FLAMIN' HOT<sup>®</sup> snacks.","5-6 Tbsp Crushed CHEETOS<sup>®</sup> Puffs FLAMIN' HOT<sup>®</sup> Cheese Flavoured Snacks
4 cups Chocolate ice cream
3 Tbsp Sugar
2 cups Milk
 1/2 cup Raspberries
1 cup Ice
","Wash the raspberries.
Puree all of the ingredients in a blender. Keep a few of the raspberries for the garnish.
Moisten the rim of four to six cups, and dip them into a plate of crushed CHEETOS<sup>®</sup> to add a spicy rim.
Note: To thicken shake, add more crushed CHEETOS<sup>®</sup>, ice cream and chocolate chips.
Serve with a skewered raspberry and a CHEETOS<sup>®</sup> Puff.
",
3009,Chester Cheetah's CHEETOS<sup>®</sup> Churros,0,Cheetos Puffs White Cheddar.png,,,,,Chester Cheetahs Cheetos Churros1920x715.jpg,Chester Cheetahs Cheetos Churros400x220.jpg,"CHEETOS<sup>®</sup> Puffs White Cheddar cheese flavoured snacks make this dessert simply delicious. Fried pound cake churros tossed in sugar and White Cheddar Puffs served with sweet whipped cream and caramel sauce — so basically it’s stacked. No, really. Just look at it.","1 cup ground CHEETOS<sup>®</sup> Puffs White Cheddar Cheese Flavoured Snacks
Store-bought pound cake about 8"" x 3""
2 cups Sugar
1 cup Ground cinnamon
Sweetened whipped cream
Caramel sauce
Flour
Oil
","Cut the pound cake into thick log-like strips.
Toss in a dusting of flour and fry at 350ºF ’til golden brown.
Mix together the sugar, cinnamon and ground the CHEETOS<sup>®</sup> Puffs White Cheddar snacks.
Toss fried pound cake churros in the sugar mixture and more ground CHEETOS<sup>®</sup> Puffs White Cheddar snacks.
Serve with whipped cream and caramel sauce on top.
",
