ID,Title,Image Madewith,Image Madewith2,Prep Time,Cook Time,Rating,Image,Mobile Image,Description,Ingredients,Directions
4000,Macaroni aux Cheetos Croquant<sup>®</sup> Enflammé et Cheetos<sup>®</sup> Soufflés Cheddar blanc,Cheetos Crunchy Flamin Hot.png,Cheetos Puffs White Cheddar.png,,,,Cheetos Mac & Cheetos-046-1920x715.jpg,MacnCheetos400x220.jpg,Des jalapeños piquants. Du bacon. Une garniture croustillante aux Cheetos<sup>®</sup> Enflammé... Le tout en un même plat divin. Est-ce nécessaire d’en dire plus?,"2 tasses de grignotines à saveur de fromage Cheetos Croquant<sup>®</sup> Enflammé<sup>®</sup> hachées grossièrement 
2 tasses de grignotines à saveur de fromage Cheetos<sup>®</sup> Soufflés Cheddar blanc émiettées 
Huile d’olive extra-vierge
6 tranches de bacon, coupé en bandes de  1/2 pouce de largeur
3 c. à soupe de beurre non salé
1 oignon coupé en dés de  1/4 pouce
Sel casher
 1/2 tasse de farine tout usage
4 tasses de lait entier, ou plus au besoin
1 livre (454 g) de coquilles ou autres pâtes courtes
1  1/2 tasse de fromage cheddar fraîchement râpé 
1  1/2 tasse de fromage Fontina fraîchement râpé
 1/2 tasse de fromage Parmigiano fraîchement râpé
 1/4 tasse de moutarde de Dijon
Sauce piquante, au goût
","Verser un petit filet d’huile dans une grande casserole, ajouter le bacon et chauffer à feu moyen. Remuer à l’occasion. Lorsque le bacon est croustillant, le retirer de la poêle et l’égoutter sur des essuie-tout. Conserver le gras du bacon!

Ajouter le beurre et l’oignon dans la casserole avec le gras, saler et cuire jusqu’à ce que l’oignon soit tendre et dégage de doux arômes, environ 8 à 10 minutes. Ajouter la farine et cuire en remuant fréquemment, de 4 à 5 minutes. Fouetter lentement en ajoutant le lait, saler, porter à ébullition, puis baisser le feu à doux et laisser mijoter pendant 8 à 10 minutes.

Entre-temps, faites bouillir de l’eau salée dans une grande casserole. Ajouter les pâtes et cuire pendant 1 minute de moins que les directives inscrites sur l’emballage. Égoutter les pâtes et réserver.

Ajouter le cheddar, le Fontina, le Parmigiano et les Cheetos<sup>®</sup> Soufflés Cheddar blanc émiettées au mélange de lait et mélanger le tout en fouettant. Ajouter la moutarde et quelques gouttes de sauce piquante. Rectifier   l’assaisonnement au besoin et ajouter un peu de lait si le mélange est trop épais. En remuant, incorporer le bacon cuit et les pâtes au mélange. 

Saupoudrer de grignotines Cheetos Croquant<sup>®</sup> Enflammé et placer sous le gril jusqu’à l’obtention d’une texture croustillante et croquante."
4001,"« L’é-patte-ante » trempette au fromage, Ranch et bacon",Cheetos Puffs.png,,,1h 15 min,,Paw-some Bacon Ranch Cheeseball1920x715.jpg,Paw-some Bacon Ranch Cheeseball400x220.jpg,"Prêt à plonger vos pattes dans cette trempette incroyablement fromagée? Et oui, ce jeu de mots est voulu. Puisque ces hors-d’œuvre des Fêtes offrent juste ce qu’il faut de crème, de saveur Ranch acidulée et de savoureux bacon, vos invités souhaiteront qu’il s’agît du plat principal.","8 oz de fromage à la crème, à température ambiante
2 c. à table de crème sure
1 sachet d’assaisonnement Ranch (1 oz)
1 tasse de cheddar doux, râpé 
5 tasses de grignotines à saveur de fromage Cheetos PattesMC, émiettées (réserver  1/2 tasse pour l’enrobage)
1 oignon vert, haché
2 tranches de bacon, cuit et émietté
","Battre le fromage à la crème, la crème sure et l’assaisonnement Ranch jusqu’à l'obtention d'un mélange homogène.
Ajouter le fromage râpé et les Cheetos PattesMC émiettées et battre jusqu’à ce que le mélange ait une texture légère.
Incorporer les oignons verts et le bacon.
Transférer le mélange sur une pellicule de plastique. Façonner une forme ovale de 1  1/2 pouce de haut par 4  1/2 pouces de large. Envelopper fermement et réfrigérer au moins une heure.
Juste avant de servir, déballer et rouler la forme de fromage dans les grignotines Cheetos PattesMC émiettées en appuyant pour bien l’enrober. 
Déposer la trempette dans une assiette de service. À l’aide d’une cuillère, former une empreinte de patte à la surface.
Servir immédiatement avec un accompagnement de grignotines Cheetos PattesMC."
4002,Tamales enflammés,Cheetos Crunchy Flamin Hot.png,,,1 h 15 min,,flamin-hot-tamales1920x715.jpg,flamin-hot-tamales400x220.jpg,"Rien ne représente mieux les Fêtes en famille que le goût des tamales de votre abuela. Et rien ne représente mieux l’intensité des « Cheetos<sup>®</sup> Enflammé » que, et bien… que moi qui vous dit d'en ajouter à vos tamales pour créer une gâterie incroyablement délicieuse. Alors voici un cadeau, à vous de moi —ma recette (pas si) sécrète de tamales enflammés. Vous ne pourrez pas dire que je ne vous ai jamais rien donné.","Pour les tamales :
1 tasse de grignotines à saveur de fromage Cheetos Croquant<sup>®</sup> Enflammé, réduites en poudre (réserver une petite quantité pour la garniture)
1  1/2 tasse de farine de maïs jaune - masa harina 
 1/2 c. à thé de sel casher
1  1/2 c. à thé de poudre à pâte
 1/4 c. à thé de piment de Cayenne
 1/4 tasse de beurre fondu
1  3/4 tasse de bouillon de poulet ou de légumes bouillant
1 c. à table de jus de lime
1 c. à thé de zeste de lime
10 grandes feuilles d’épis de maïs séchées, trempées dans l’eau pendant une heure
1 lb de fromage Pepper Jack râpé
1 avocat tranché (pour la présentation)

Pour la crème à la lime :
1 tasse de crème mexicaine du marché (ou crème sure ou crème fraîche)
Jus et zeste d’une lime   
 1/2 c. à thé de sel

Pour les oignons marinés à la lime :
1 oignon rouge, en juliennes minces
Jus d’une lime
 1/4 c. à thé de sel casher
1 c. à table de coriandre fraîche hachée
","Dans un grand bol et à l’aide d’un malaxeur, bien mélanger la poudre CheetleMC (Cheetos<sup>®</sup> réduites en poudre), la masa harina, le sel, la poudre à pâte et le piment de Cayenne.
À vitesse moyenne, ajouter le beurre, le bouillon chaud, le jus et le zeste de lime. Augmenter la vitesse pendant environ 2 minutes ou jusqu’à ce que la masa soit légère et onctueuse.
Étendre les feuilles d’épis de maïs et y répartir également la masa.
À l’aide d’une spatule en caoutchouc, étendre la masa de bas en haut pour former un carré de 5 pouces au centre de la feuille.  Commencer par la partie la plus large de la feuille et remonter jusqu’aux trois quarts de la longueur. Assurez-vous de former une couche d’épaisseur égale.
Avec les mains, presser un peu plus d’une  1/2 tasse de fromage râpé pour former un tube de 4 pouces de long. Le placer au centre et rouler un rebord sur le tube. Tirer délicatement pour retirer la feuille, puis rouler l’autre côté de façon que la masa soit par-dessus la couche inférieure de masa. Enrouler le tout avec la feuille d’épis de maïs et, ensuite, en vous servant d’une mince bande de feuille d’épis de maïs, attacher le haut du tamale à environ 2 pouces du bord. Répéter ces étapes pour chaque tamale.
Mettre une marguerite dans une casserole avec  3/4 de pouce d’eau (le niveau d’eau devrait être juste en dessous la marguerite). Déposer délicatement les tamales dans la marguerite et cuire à la vapeur 20 minutes. 
Fermer le feu et laisser reposer 10 minutes avant de servir. Garnir de crème à la lime, d’oignons marinés à la lime, de tranches d’avocat frais et d’un soupçon de CheetleMC.
"
4003,La meilleure tarte à la citrouille selon Chester,Cheetos Puffs White Cheddar.png,,,2 h ,,good-cheddar-best-pumpkin-pie1920x715.jpg,good-cheddar-best-pumpkin-pie400x220.jpg,"Préparez-vous. Après ceci, vous deviendrez le plus précieux des amis. Cette recette de tarte à la citrouille revisitée n’a rien d’ordinaire. Une croûte de biscuits Graham fromagée et une garniture onctueuse et crémeuse, voilà une explosion de saveurs Cheetos<sup>®</sup> qui fera passer toute amitié au prochain niveau.","Pour la croûte :
1 sac de 240 g de grignotines à saveur de fromage Cheetos<sup>®</sup> Soufflés Cheddar blanc
1  1/2 tasse de biscuits Graham, émiettés
 3/4 tasse de beurre (1  1/2 bâtonnet), fondu
3 c. à table de sucre 
1  1/2 c. à thé de sel

Pour la garniture :
2 boîtes (15 oz) de purée de citrouille 
6 œufs
2  1/2 tasses de cassonade
 1/2 c. à table de fécule de maïs
1 c. à table de cannelle moulue
 1/2 c. à thé de gingembre moulu
1 c. à thé de muscade moulue
 1/2 c. à table d’épices pour tarte à la citrouille
 1/2 c. à thé de poivre noir moulu
 1/2 c. à table d’extrait de vanille
2 tasses de crème épaisse
1 tasse de lait
1 sac de 240 g de grignotines à saveur de fromage Cheetos<sup>®</sup> Soufflés Cheddar blanc
","Pour les croûtes :

Préchauffer le four à 350 °F. 
Au robot culinaire, moudre les grignotines Cheetos<sup>®</sup> Soufflés Cheddar blanc. 
Mélanger les grignotines Cheetos<sup>®</sup> Soufflés moulues, les biscuits Graham moulus, le beurre fondu, le sucre et le sel avec vos pattes, jusqu’à l’obtention d’une texture granuleuse.
Repartir le mélange entre les 2 assiettes à tarte de 10 po.  

Astuce Enflammé : Le dessous d’une tasse à mesurer convient parrrfaitement pour aplatir le fond et les côtés de votre croûte dans le moule. 

Cuire la croûte 15 minutes et laisser refroidir.

Pour la garniture :
Mettre vos grignotines Cheetos<sup>®</sup> Soufflés Cheddar blanc, la crème épaisse et le lait dans une casserole à feu moyen et faire mijoter. 
Une fois le point d’ébullition atteint, couvrir la casserole, la retirer du feu et laisser refroidir 20 minutes. 
Mélanger la garniture jusqu’à l’obtention d’une texture homogène et lisse.  
Dans un grand bol, mélanger la purée de citrouille, les œufs, la cassonade, la fécule de maïs, la cannelle, le gingembre, la muscade, les épices pour tarte à la citrouille, le poivre noir et l’extrait de vanille. 
Ajouter la purée crémeuse et fromagée et mélanger. Répartir ensuite la garniture entre les deux assiettes à tarte. 
Cuire les tartes 50 minutes environ. Vous saurez qu’elles sont prêtes lorsque le centre sera à la fois ferme et spongieux. 
Ce ne sera pas facile, mais laisser les tartes refroidir complètement – au moins 2 heures – avant d’y plonger votre cuillère.
 
Et bien entendu, les garnir de crème fouettée et d’encore plus de grignotines Cheetos<sup>®</sup> fromagées avant de servir. 
"
4004,Boules de maïs soufflé parrrfaites,Cheetos Crunchy.png,,,1 h 15,,purrfect-popcorn-balls1920x715.jpg,purrfect-popcorn-balls400x220.jpg,"Parfois, il vous faut quelque chose de sucré, et ce, rapidement. Ces boules de maïs soufflé se préparent à la vitesse de l’éclair ou, devrions-nous dire, à la vitesse du guépard? Elles sont sucrées, elles sont salées, et elles seront sans aucun doute concoctées (et dévorées) plus vite que vous ne pouvez l’imaginer!","1  3/4 tasse de mini guimauves 
1 tasse de brisures de caramel 
Une pincée de sel 
7 tasses de maïs soufflé Smartfood<sup>®</sup> Cheddar blanc 
2  1/2 tasses de grignotines à saveur de fromage Cheetos Croquant<sup>®</sup>
","Dans une grande casserole, à feu moyen bas, faire fondre les guimauves, les brisures de caramel et le sel.   
Retirer le mélange du feu et ajouter le maïs soufflé Smartfood<sup>®</sup> Cheddar blanc et les grignotines à saveur de fromage Cheetos Croquant<sup>®</sup>. Bien mélanger en vous assurant que tout soit bien enrobé.  
Attention de ne pas vous brûler les pattes! Laisser le mélange refroidir un peu avant d’enrober vos mains de beurre pour façonner des boulettes de la taille de balles de baseball. 
Une fois qu’elles auront refroidi, les envelopper et regarder à quelle vitesse elles s’envoleront! "
4005,Purée de « patte-ates »,Cheetos Puffs.png,,,25 min,,mashed-paw-tatoes1920x715.jpg,mashed-paw-tatoes400x220.jpg,"Voici le plat parfait pour se gâter. Le beurre, le fromage à la crème et les grignotines Cheetos<sup>®</sup> fromagées sont PILÉS ensemble pour créer un délicieux repas des Fêtes. Tous ceux qui savoureront une bouchée fromagée seront heureux pour le reste de la soirée. Boum! Ça rime.","2  1/2 lb de pommes de terre Yukon Gold
1 tasse de lait
1 tasse de crème
Bâtonnet de beurre de 4 oz
2 oz de fromage à la crème
2 tasses de grignotines à saveur de fromage Cheetos<sup>®</sup> Soufflés, émiettées 
Sel casher, au goût
Poivre noir, au goût
","Laver et peler les pommes de terre, puis les déposer dans une casserole avec assez d’eau froide pour les recouvrir. Ajouter une pincée de sel et faire bouillir jusqu’à ce que les pommes de terre soient tendres, soit de 30 à 45 minutes. Égoutter et remettre dans la casserole.
Dans une casserole moyenne, porter le lait et la crème à ébullition.
Retirer du feu et incorporer une tasse de grignotines Cheetos<sup>®</sup> émiettées avec un fouet. Ajouter délicatement les pommes de terre et piler ou fouetter jusqu’à consistance crémeuse. Incorporer le beurre et le fromage à la crème en mélangeant bien. 
Transférer les pommes de terre dans un plat de cuisson allant au four. Saupoudrer la surface des pommes de terre du reste des Cheetos<sup>®</sup> émiettées et cuire 10 minutes à 350°F. Ensuite, contempler la meilleure purée de « patte-ates » qu’un guépard n’aura jamais osé cuisiner.
"
4006,Elotes (épis de maïs grillés à la mexicaine) CHEETOS CROQUANT<sup>®</sup> Enflammé,Cheetos Crunchy Flamin Hot.png ,Cheetos Puffs White Cheddar.png,,,,Cheetos FH Elotes1920x715.jpg,Cheetos FH Elotes400x220.jpg,"Combler l’amateur de saveurs épicées en vous avec ces elotes enflammés. Des épis de maïs grillés et nappés de beurre, tout ce qu’il y a de classique, inspirés de la cuisine de rue, entièrement recouverts de grignotines CHEETOS<sup>®</sup> Soufflés Cheddar blanc et CHEETOS<sup>®</sup> Soufflés Enflamme, PUIS garnis d’encore plus de CHEETOS<sup>®</sup>. OK, on va prendre un… un quoi déjà?!","1 sac de 230 g de grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés Enflammé réduites en poudre (aussi appelée la poudre Cheetle<sup>MC</sup>!)
1 sac de 240 g de grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés Cheddar blanc réduites en poudre Cheetle<sup>MC</sup>
6 épis de maïs, coupés en deux
12 brochettes en bois
4 tasses de mayonnaise
2 tasses de beurre ramolli
4 limes coupées en deux
Sel
","Insérer les brochettes dans les épis de maïs, comme pour une sucette glacée.
Cuire les épis à la vapeur ou les griller jusqu’à ce qu’ils soient chauds (de 3 à 5 minutes environ). Retourner les épis fréquemment pour qu’ils deviennent très chauds, mais sans les brûler.
Recouvrir les épis de beurre et de mayonnaise.
Saler au goût.
Au mélangeur, réduire en poudre les grignotines CHEETOS<sup>®</sup> Soufflés Enflammé et réserver. Faire de même avec les grignotines CHEETOS<sup>®</sup> Soufflés Cheddar blanc. Transférer dans deux assiettes séparées.
Presser les limes, en recouvrir les épis du jus et les rouler dans la poudre CheetleMC de CHEETOS<sup>®</sup>.
Couvrir les épis de poudre CheetleMC de CHEETOS<sup>®</sup> Soufflés Cheddar blanc ou de CHEETOS<sup>®</sup> Soufflés Enflammé. 

LE SAVIEZ-VOUS? Cette délicieuse poudre fromagée qui recouvre vos doigts lorsque vous savourez vos Cheetos s’appelle « poudre CHEETLEMC »!
"
4007,Ailes de poulet aux CHEETOS CROQUANT<sup>®</sup> Enflammé,Cheetos Crunchy Flamin Hot.png,,,,,Cheetos FH Wings1920x715.jpg,Cheetos FH Wings400x220.jpg,"Si nous avions un mur des célébrités, elles s’y retrouveraient. Nos ailes de poulet sont enrobées d’une délicieuse sauce chili, puis de CHEETOS<sup>®</sup> Enflammé. Faites-nous confiance – ces ailes de poulet ne sont pas faites pour les poules mouillées!","1 sac de 285 g de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé

SAUCE
2 tasses de sauce Gochujang (pâte de piment fort)
2 tasses de vinaigre de vin de riz
1 c. à thé de poivre noir moulu
2 tasses de sauce soya
3 jalapeños hachés
3 c. à thé de Gochugaru (poudre de piment rouge)
 1/2 tasse de Mirin
1 citron (zeste et jus)
1 lime (zeste et jus)
1 orange (zeste et jus)
1 c. à thé d’ail
1 c. à thé de gingembre
1 tasse de coriandre
Pincée de sel

5 lb d’ailes de poulet
Huile à friture
Vinaigrette Ranch
","Au mélangeur, réduire en purée tous les ingrédients de la sauce pour les ailes de poulet. Réserver.
Au mélangeur, réduire en poudre les grignotines CHEETOS CROQUANT<sup>®</sup> Enflammé. Réserver.
Frire les ailes de poulet à 300 ⁰F 7 minutes environ dans un poêlon de fonte.
Enrober les ailes de sauce.
Saupoudrer le tout de poudre de CHEETOS CROQUANT<sup>®</sup> Enflammé.
Servir accompagnées de vinaigrette Ranch.

LE SAVIEZ-VOUS? Cette délicieuse poudre fromagée qui recouvre vos doigts lorsque vous savourez vos Cheetos s’appelle « poudre CHEETLEMC »!
"
4008,Lait frappé au chocolat « enflammé »,Cheetos Puffs Flamin Hot.png,,,,,Hot_ Chocolate Shake1920x715.jpg,Hot_ Chocolate Shake400x220.jpg,"Sucré et épicé. Voici tout ce qu’il fallait pour que ce lait frappé soit dangereusement savoureux. De la crème glacée au chocolat onctueuse, des framboises et des grignotines CHEETOS<sup>®</sup> Soufflés ENFLAMMÉ émiettées, le tout mélangé pour créer un équilibre parfait d’arômes sucrés et épicés, puis garnis d’une framboise et de grignotines CHEETOS<sup>®</sup> Soufflés ENFLAMMÉ.","5 à 6 c. à table de grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés Enflammé émiettées
4 tasses de crème glacée au chocolat
3 c. à table de sucre
2 tasses de lait
 1/2 tasse de framboises
1 tasse de glaçons
","Laver les framboises.
Au mélangeur, réduire tous les ingrédients en purée (à l’exception des CHEETOS). Conserver quelques framboises pour la garniture.
Humecter les rebords de six verres et les tremper dans une assiette de CHEETOS<sup>®</sup> émiettées, pour créer une garniture épicée.
Remarque : Pour épaissir le lait frappé, ajouter des CHEETOS<sup>®</sup> émiettées, de la crème glacée et des brisures de chocolat.
Servir avec une framboise sur brochette et de grignotine CHEETOS<sup>®</sup> Soufflés.
"
4009,Churros aux CHEETOS<sup>®</sup> Chester le guépard,Cheetos Puffs White Cheddar.png,,,,,Chester Cheetahs Cheetos Churros1920x715.jpg,Chester Cheetahs Cheetos Churros400x220.jpg,"Les grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés Cheddar blanc font de ce dessert un pur délice. Des churros faits avec un gâteau quatre-quarts frit et trempé dans du sucre et des grignotines CHEETOS<sup>®</sup> Soufflés Cheddar blanc, nappés de crème fouettée sucrée et de sauce au caramel — alors, en gros, c’est un peu n’importe quoi... Non, pas vraiment. Voyez par vous-même.","1 tasse de grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés Cheddar blanc réduites en poudre
Un gâteau quatre-quarts du marché d’environ 8 x 3 pouces
2 tasses de sucre
1 tasse de cannelle moulue
Crème fouettée sucrée
Sauce au caramel
Farine
Huile
","Couper le gâteau en bandes épaisses, comme en forme de billots.
Enrober les morceaux de gâteau de farine et les frire à 350 °F jusqu’à ce qu’ils soient dorés.
Mélanger le sucre, la cannelle et la poudre de CHEETOS<sup>®</sup> Soufflés Cheddar blanc.
Enrober les churros (morceaux de gâteau frit) du mélange de sucre et de poudre de CHEETOS<sup>®</sup> Soufflés Cheddar blanc.
Napper de crème fouettée et de sauce au caramel. Servir.
"
