ID,Category,Name,Link,Image,Image Hover,Large Image,Description,Ingredients,Alert,Portion,Nutrition Facts,Order,Featured,Featured Image
1375,Crispy Minis<sup>®</sup> Rice Chips,Quaker<sup>®</sup> Crispy Minis<sup>®</sup> BBQ Flavour Brown Rice Chips,https://www.crispyminis.ca/products/quaker-crispy-minis-bbq-flavour-rice-chips,Crispy Minis BBQ Chips.png,BBQ_CM_Hover.png,Crispy Minis BBQ Chips_Large.png,<p>Hey there BBQ fans - We&rsquo;ve made this favourite Crispy Minis&reg; rice chips flavour bite-sized for even easier snacking. Put away the charcoal and lighter fluid &ndash; all you need for these savoury treats are your hands. Dig in and enjoy!</p>,"Whole grain brown rice pieces (whole grain brown rice flour, salt, tocopherols), corn (with germ removed), sunflower oil, seasoning (sugar, salt, brown sugar, modified milk ingredients, molasses, onion powder, monosodium glutamate, yeast extract, chili pepper, tomato powder, garlic powder, citric acid, silicon dioxide, barley malt flour, malic acid, paprika extract, spices, lactic acid, sodium diacetate, disodium guanylate and disodium inosinate, natural flavour).",Contains milk and barley ingredients. May contain soy.,Amount per 20 g serving (12 chips),"- Calories 90 |  
- Fat 3 g | 5 %
 -- Saturated 0.3 g | 2 %
 -- + Trans 0 g |
- Cholesterol 0 mg | 
- Sodium 220 mg | 9 %
- Carbohydrates 14 g | 5 %
 -- Fibre 1 g | 3 %
 -- Sugars 1 g |
- Protein 1 g | 
- Vitamin A |  0 %
- Vitamin C |  0 %
- Calcium |  0 %
- Iron |  2 %
",11,0,
3031,Crispy Minis<sup>®</sup> Rice Chips,Quaker<sup>®</sup> Crispy Minis<sup>®</sup> Butter Popcorn Flavour Brown Rice Chips,https://www.crispyminis.ca/products/quaker-crispy-minis-butter-popcorn-flavour-rice-chips,Crispy Minis Buttered Popcorn Chips.png,Butter_CM_Hover.png,Crispy Minis Buttered Popcorn Chips_Large.png,"Next time you’re sitting down to catch a flick, grab a bag of Crispy Minis<sup>®</sup> butter popcorn-flavoured rice chips. Here’s hoping the movie’s as good as your snack.","Whole grain brown rice pieces (whole grain brown rice flour, salt, tocopherols), corn (with germ removed), seasoning (modified milk ingredients, salt, soybean oil, silicon dioxide, natural flavour, colour, artificial flavour), sunflower oil.",Contains milk and soy ingredients.,Amount per 20 g serving (12 chips),"- Calories 90 |
- Fat  3.5 g | 5 %
 -- Saturated Fat  0.5 g | 4 %
- Cholestérol  0 mg | 
- Sodium  220 mg | 9 %
- Carbohydrate  14 g | 5 %
 -- Fibre  1 g | 3 %
 -- Sugars  1 g | 
- Protein  2 g |
- Vitamin A | 2 % 
- Vitamin C | 0 % 
- Calcium  | 2 % 
- Iron | 2 % 
",12,0,
1364,Crispy Minis<sup>®</sup> Rice Chips,Quaker<sup>®</sup> Crispy Minis<sup>®</sup> Caramel Kettle Corn Flavour Brown Rice Chips,https://www.crispyminis.ca/products/quaker-crispy-minis-caramel-kettle-corn-flavour-rice-chips,Crispy Minis Caramel Kettle Corn Chips.png,Caramel_CM_Hover.png,Crispy Minis Caramel Kettlecorn Chips_Large.png,"Whoever invented caramel corn deserves a celebration in their honour. In lieu of a national holiday, celebrate with the sweet, buttery crunch of this scrumptiously delicious rice confection. Parade to the nearest store and grab a bag or two.","Whole grain brown rice pieces (whole grain brown rice flour, salt, tocopherols), corn (with germ removed), sugar, maltodextrin (corn), salt, sunflower oil, natural and artificial flavours, caramel colour (sulphites).",Contains sulphites.,Amount per 20 g serving (11 chips),"- Calories  80 | 
- Fat 0.5 g | 1 % 
 -- Saturated Fat  0.1 g | 
 -- + Trans  0 g | 
- Cholesterol  0 mg |
- Sodium  190 mg | 8 %
- Carbohydrate  17 g | 6 %
- Fibre  1 g | 3 %
- Sugars  5 g |
- Protein  1 g | 
- Vitamin A  | 0 % 
- Vitamin C  | 0 % 
- Calcium  | 0 % 
- Iron  | 2 % 
",13,0,
1376,Crispy Minis<sup>®</sup> Rice Chips,Quaker<sup>®</sup> Crispy Minis<sup>®</sup> Cheddar Flavour Brown Rice Chips,https://www.crispyminis.ca/products/quaker-crispy-minis-cheddar-flavour-rice-chips,Crispy Minis Cheddar Chips.png,Cheddar_CM_Hover.png,Crispy Minis Cheddar Chips_Large.png,"Guess what, cheddar lovers? We’ve made this favourite Crispy Minis<sup>®</sup> rice chips flavour bite-sized for even easier snacking. Indulge in airy and crispy rice snacks that are full of that savoury, cheddary goodness you love.","Whole grain brown rice pieces (whole grain brown rice flour, salt, tocopherols), corn (with germ removed), sunflower oil, seasoning (whey powder [milk], maltodextrin [corn], salt, cheddar and blue cheese [milk, bacterial culture, salt, enzymes, colour], hydrogenated soybean and cottonseed oil, butter [milk], monosodium glutamate, lactic acid, tricalcium phosphate, sodium phosphate, calcium lactate, citric acid, gum arabic, natural flavours, annatto extract, enzyme-modified cheddar cheese [milk, bacterial culture, salt, enzymes]).",Contains milk and soy ingredients.,Amount per 20 g serving (12 chips),"- Calories  90 |
