ID,Title,Title FR,Image,Value,QTY per week,Total Quantity
146,CHEETOS Free Product Coupon,Coupon Produit CHEETOS Gratuit,Cheetos_coupon_prize.png,,77,616
159,DORITOS DINAMITA Free Product Coupon,Coupon Produit DORITOS DINAMITA Gratuit,doritos_coupon_prize.png,,126,1008
172,RUFFLES Free Product Coupon,Coupon Produit RUFFLES Gratuit,ruffles_coupon_prize.png,,77,616
185,FUNYUNS Free Product Coupon,Coupon Produit FUNYUNS Gratuit,Funyuns_coupon_prize.png,,154,1232
198,SMARTFOOD Free Product Coupon,Coupon Produit SMARTFOOD Gratuit,smartfood_coupon_prize.png,,77,616
211,LAY’S branded beach ball,Ballon de plage affichant le logo LAY’S ,Lays_beach_ball.png, $ 2.97 ,49,392
224,MISS VICKIE’S branded beach bag,Sac de plage affichant le logo MISS VICKIE’S,Miss Vickies_Bag.png, $ 11.95 ,49,392
237,CHEETOS branded tank top,Débardeur affichant le logo CHEETOS,Cheetos_Tank_top.png, $ 15.43 ,42,336
250,DORITOS branded bucket hat,Chapeau de pêche affichant le logo DORITOS,Dortios_bucket hat.png, $ 20.86 ,35,280
263,DORITOS branded fanny pack,Sac banane affichant le logo DORITOS,Fanny-Pack.png, $ 19.95 ,35,280
276,RUFFLES branded snapback hat,Casquette ajustable affichant le logo RUFFLES,Ruffles_Hat.png, $ 24.38 ,42,336
289,LAY’S branded towel,Serviette affichant le logo LAY’S ,lays_branded_towel.png, $ 53.93 ,7,56
302,Instant camera,Appareil photo à développement instantané,Insta_Max.png, $ 89.99 ,0.5,4
315,RUFFLES branded wireless boom box,Haut-parleur sans fil affichant le logo RUFFLES ,Ruffles_Radio.png, $ 653.00 ,0.5,4
