ID,keywords
568,4 juillet
575,Apéritif
582,Bars
589,Basketball
596,Bœuf
603,Breuvages
610,Anniversaire
617,Pain
624,Déjeuner
631,Brownies
638,Gâteau
645,Casserole
652,Fromage
659,Fromagé
666,Poulet
673,Noël
680,Cinco de Mayo
687,Cocktails
694,Froid
701,Biscuits
708,Crabe
715,Croustillant
722,Desserts
729,Souper
736,Boissons
743,Pâques
750,Facile
757,Œufs
764,Divertissement
771,Automne
778,Football
785,Fruit
792,Jour de match
799,Halloween
806,Congés
813,Chaud
820,Pour enfants
827,Dîner
834,Macaroni au fromage
841,Plat principal
848,Viande
855,Jour du Souvenir
862,Soirée cinéma
869,Muffins
876,Nachos
883,Avoine
890,Pâtes
897,Tarte
904,Pizza
911,Porc
918,Volaille
925,Rapide
932,Salade
939,Sandwich
946,Savoureux 
953,Fruits de mer
960,Plat d'accompagnement
967,Mijoteuse
974,Autocuiseur
981,Collation
988,Soupe
995,Épicé
1002,Printemps
1009,Été
1016,Super Bowl
1023,Superbowl
1030,Sucré
1037,Action de grâces
1044,Gâterie
1051,Légumes
1058,Végétarien
1065,Hiver
1072,Trempette
1079,Chocolat
,Saint-Valentin
,Poisson
