ID,Category,Name,Link,Product Image,Image,Description,Keywords,Ingredients,Alert,Portion,Nutrition Facts,Order,Wine Pairing,Featured,Featured Image,Signature Title,Signature Subtitle,Signature Content,Signature Banner,Signature Banner Mobile,Signature Image,Signature Image Mobile,Signature Video Key
6783,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Spicy Dill Pickle Kettle Cooked Potato Chips,,MissVickies_Dill Pickle_200g_2.png,miss-vickies-dill_pickle_packshots.png,"<p> Miss Vickie's<sup>®</sup> Spicy Dill Pickle flavour kettle cooked potato chips are crafted with a unique blend of ingredients to deliver flavours of dill, parsley, garlic, green bell peppers and cayenne pepper for an added kick. 

- No trans fat 
- Low in saturated fat 
- No artificial colours or flavours 
- Cholesterol free 
- No preservatives </p>",,"SPECIALLY SELECTED POTATOES, VEGETABLE OIL, SEASONING (MALTODEXTRIN, SALT, SUGAR, GARLIC POWDER, SODIM ACETATE, GREEN BELL PEPPER POWDER, ONION POWDER, ACETIC ACID*, CTRIC ACID*, HERBS AND SPICES (INCLUDING DILL SEED), YEAST EXTRACT, DEXTROSE, PAPRIKA EXTRACT, NATURAL FLAVOUR) 
*FOR TARTNESS ",,Per 28 chips (50 g),"- Calories 260 | 
- Fat 15 g | 23 %
 -- Saturated 1.5 g | 8 %
 -- + Trans  0 g |  
- Cholesterol  0 mg | 0 %
- Sodium  330 mg | 14 %
- Carbohydrate  30 g | 10 %
 -- Fibre  2 g | 8 %
 -- Sugars  1 g | 
- Protein  3 g | 
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 6 %
",20,Woodbridge by Robert Mondavi -  Sauvignon Blanc ,0,,,,,,,,,
5510,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Original Recipe Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -original-recipe-kettle-cooked-potato-chips,MissVickies_Original_200g_2.png,miss-vickies-packshot-200g-original-recipe.png,<p>Miss Vickie's<sup>®</sup> Original Recipe kettle cooked potato chips are expertly seasoned with sea salt and are packed with that signature Miss Vickie's<sup>®</sup> crunch. - No trans fat - Low in saturated fat - No MSG - No artificial colours or flavours - Cholesterol free - No preservatives - Gluten-free</p>,,"Specially Selected Potatoes, Vegetable Oil, Sea Salt.",,: Per 31 chips (50 g),"- Calories 270 | 
- Fat 16 g | 25 %
 -- Saturated 1.5 g | 9 %
 -- + Trans  0 g |  
- Cholesterol  0 mg | 0 %
- Sodium  210 mg | 9 %
- Carbohydrate  29 g | 10 %
 -- Fibre  2 g | 8 %
 -- Sugars  0 g | 
- Protein  4 g | 
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 0 %
- Iron | 6 %
",21,Cabernet Sauvignon,0,,,,,,,,,
5514,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Balsamic Vinegar & Sweet Onion Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -balsamic-vinegar-sweet-onion-kettle-cooked-potato-chips,MissVickies_BalsamicVinegarSweetOnion_200g.png,miss-vickies-packshot-200g-balsamic-vinegar-sweet-onion.png,<p>Miss Vickie's<sup>®</sup> Balsamic Vinegar &amp; Sweet Onion flavour kettle cooked potato chips are the perfect flavour blend of tangy balsamic vinegar with sweet onion. - No trans fat - Low in saturated fat - No MSG - No artificial colours or flavours - Cholesterol free - No preservatives</p>,,"Specially Selected Potatoes, Vegetable Oil, Seasoning (Salt, Corn Maltodextrin, Onion Powder, Brown Sugar, Sugar, Sodium Acetate*, Dextrose, Natural Flavour (Contains Milk), Wheat Maltodextrin, Acetic Acid*, Garlic Powder, Balsamic Vinegar Solids, Fancy Molasses, Malic Acid, Citric Acid*, Malt Vinegar Solids (Contains Barley), Extractives Of Paprika). Contains Milk, Wheat And Barley Ingredients.
*For tartness ",,Per 28 chips (50 g),"- Calories 260 |  
- Fat 15 g | 23 %
 -- Saturated 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholesterol 0 mg | 0 %
- Sodium 340 mg | 14 %
- Carbohydrate 29 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 1 g | 
- Protein 3 g | 
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 6 %
",22,Merlot,0,,,,,,,,,
5716,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Harvest Cheddar & Herbs Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -harvest-cheddar-herbs-kettle-cooked-potato-chips,MissVickies_HarvestCheddarHerbs_200g.png,miss-vickies-packshot-200g-harvest-cheddar-herbs.png,"<p>Miss Vickie's<sup><sup>®</sup> </sup> Harvest Cheddar &amp; Herbs flavour kettle cooked potato chips are crafted using a unique blend of herbs including basil, parsley, and rosemary and then paired perfectly with a creamy cheddar cheese.</p>",,"SPECIALLY SELECTED POTATOES, VEGETABLE OIL, SEASONING (CORN MALTODEXTRIN, SALT, WHEY POWDER, BUTTERMILK POWDER, CHEDDAR CHEESE POWDER, SKIM MILK POWDER, ONION POWDER, SUGAR, NATURAL FLAVOUR, GARLIC POWDER, HERBS, YEAST EXTRACT, BUTTER, ACACIA GUM, GUAR GUM, COLOUR).",Contains milk ingredients.,Amount per 50 g serving (28 chips),"- Calories 260 |  
- Fat 15 g |  23 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g | 
- Cholesterol 0 mg | 0 %
- Sodium 310 mg | 13 %
- Carbohydrate 29 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 1 g | 
- Protein 4 g | 
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 6 %
",23,Sauvignon Blanc,0,,,,,,,,,
5516,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Jalapeño Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -jalapeño-kettle-cooked-potato-chips,MissVickies_Jalepeno_200g.png,miss-vickies-packshot-200g-jalapeno.png,"<p>Miss Vickie's<sup>®</sup> Jalapeño flavour kettle cooked potato chips are crafted using a unique blend of spices including jalapeño pepper and hints of onion, paprika, and garlic for an added kick. - No trans fat - Low in saturated fat - No MSG - No artificial colours or flavours - Cholesterol free - No preservatives - Gluten-free</p>",,"Specially Selected Potatoes, Vegetable Oil, Seasoning (Corn Maltodextrin, Salt, Dextrose, Onion Powder, Torula Yeast, Spices, Whey Powder, Paprika, Vegetable Oil, Garlic Powder, Jalapeño Pepper Powder, Natural Flavours). Contains Milk Ingredients.",,Per 28 chips (50 g),"- Calories 260 | 
- Fat 15 g | 23 %
 -- Saturated 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholesterol 0 mg | 0 %
- Sodium 320 mg | 13 %
- Carbohydrate 29 g | 10 %
 -- Fibre 2 g | 9 %
 -- Sugars 1 g | 
- Protein 4 g | 
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 6 %
",24,White Zindfandel,0,,,,,,,,,
5520,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Reduced Fat Original Recipe Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -reduced-fat-original-recipe-kettle-cooked-potato-chips,MissVickies_ReducedFat_Original.png,miss-vickies-packshot-200g-original-recipe-reduced-fat.png,<p>Miss Vickie's<sup>®</sup> Reduced Fat Original Recipe kettle cooked potato chips are expertly seasoned with sea salt and made with 40% less fat than the leading potato chip. - 40% Less Fat than the Leading Potato Chip - No trans fat - Low in saturated fat - No MSG - No artificial colours or flavours - Cholesterol free - No preservatives</p>,,"Specially Selected Potatoes, Vegetable Oil, Sea Salt.",,Per 31 chips (50 g),"- Calories 240 |  
- Fat 10 g | 15 %
 -- Saturated 1.5 g | 7 %
 -- + Trans 0 g | 
- Cholesterol 0 mg | 0 %
- Sodium 230 mg | 10 %
- Carbohydrate 34 g | 11 %
 -- Fibre 3 g | 11 %
 -- Sugars 2 g | 
- Protein 4 g | 
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 0 %
- Iron | 6 %
",25,Cabernet Sauvignon,0,,,,,,,,,
5751,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Honey Dijon Flavour Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -honey-dijon-flavour-kettle-cooked-potato-chips,MissVickies_HoneyDijon_200g.png,miss-vickies-packshot-200g-honey-dijon.png,"<p>Miss Vickie's<sup><sup>®</sup> </sup>; Honey Dijon flavour kettle cooked potato chips are crafted with the sweet taste of honey and the sophisticated flavour of dijon mustard for a perfectly balanced sweet and savoury snack experience.</p><p>No Trans Fat, Low in Saturated Fat, No Artificial Flavours or Colours, No Preservatives, Cholesterol-Free.</p>",,"SPECIALLY SELECTED POTATOES, VEGETABLE OIL, SEASONING (SUGAR, CORN MALTODEXTRIN, SALT, HONEY SOLIDS, MODIFIED CORN STARCH, SPICES (INCLUDING MUSTARD), ONION POWDER, FANCY MOLASSES SOLIDS, YEAST EXTRACT, CITRIC ACID*, GARLIC POWDER, COLOUR, NATURAL FLAVOUR). *FOR TARTNESS.",CONTAINS MUSTARD INGREDIENTS.,Amount per 50g serving,"- Calories 260 | 
- Fat 15 g | 23 %
 -- Saturated 1.5 g | 8 %
 -- + Trans 0 g | 
- Cholesterol 0 mg | 0 %
- Sodium 240 mg |10 %
- Carbohydrate 30 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 2 g | 
- Protein 3 g | 
- Vitamin A | 0 % 
- Vitamin C | 15 %
- Calcium | 2 %
- Iron | 6 %
",26,,0,,,,,,,,,
5526,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Sea Salt & Malt Vinegar Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -sea-salt-malt-vinegar-kettle-cooked-potato-chips,MissVickies_SeaSaltMaltVinegar_200g.png,miss-vickies-packshot-200g-sea-salt-mal-vinegar.png,<p>Miss Vickie's<sup>®</sup> Sea Salt &amp; Malt Vinegar flavour kettle cooked potato chips are a fan favourite thanks to their distinctive tangy great taste. - No trans fat - Low in saturated fat - No MSG - No artificial colours or flavours - Cholesterol free - No preservatives</p>,,"Specially Selected Potatoes, Vegetable Oil, Seasoning (Lactose, Sea Salt, Wheat Maltodextrin, Sodium Acetate*, Acetic Acid*, Malt Vinegar Solids (Contains Barley), Malic Acid, Citric Acid). Contains Milk, Wheat And Barley Ingredients.
*For tartness",,Per 28 chips (50 g),"- Calories 260 | 
- Fat 15 g | 23 %
 -- Saturated 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholesterol 0 mg | 0 %
- Sodium 260 mg | 19 %
- Carbohydrate 29 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 2 g | 8 %
- Protein 3 g |
- Vitamin A | 0 % 
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 6 %
",27,Pinot Grigio,0,,,,,,,,,
5761,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Sweet Southern BBQ Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -sweet-southern-bbq-kettle-cooked-potato-chips,MissVickies_SweetSouthernBBQ_200g_2.png,miss-vickies-packshot-200g-sweet-southern-bbq.png,"<p>Miss Vickie's<sup><sup>®</sup> </sup> Sweet Southern BBQ flavour kettle cooked potato chips offer an exciting new flavour combining a sweet barbecue taste with a kick of heat to give you a sweet, savoury, and spicy snack.</p>",,"SPECIALLY SELECTED POTATOES, VEGETABLE OIL, SEASONING (SUGAR, SALT, CORN MALTODEXTRIN, NATURAL FLAVOURS [MILK], ONION POWDER, TORULA YEAST, TOMATO POWDER, GARLIC POWDER, SPICES, MOLASSES, PAPRIKA EXTRACTS, MUSTARD SEED OIL).",CONTAINS MILK AND MUSTARD INGREDIENTS.,Amount per 50g serving,"- Calories 260 | 
- Fat 15g | 23%
 -- Saturated 1.5g |
 -- + Trans 0g | 8%
- Cholesterol 0mg | 0%
- Sodium 300mg | 12%
- Carbohydrate 29g | 10%
 -- Fibre 2g | 8%
 -- Sugars 2g | 
- Protein 3g | 
- Vitamin A | 0%
- Vitamin C | 20%
- Calcium | 2%
- Iron | 6%
",28,Woodbridge by Robert Mondavi Merlot,0,,,,,,,,,
5512,Miss Vickie's<sup>®</sup> ,MISS VICKIE’S<sup>®</sup> Applewood Smoked BBQ Kettle Cooked Potato Chips,https://www.missvickies.ca/products/miss-vickie’s<sup>®</sup> -applewood-smoked-bbq-kettle-cooked-potato-chips,MissVickies_ApplewoodSmokedBBQ_200g.png,miss-vickies-packshot-200g-applewood-smoked-bbq.png,<p>Miss Vickie's<sup>®</sup> Applewood Smoked BBQ flavour kettle cooked potato chips are made with quality ingredients for delicious tasting chips - the perfect flavour balance between sweet BBQ and applewood smoke flavour. - No trans fat - Low in saturated fat - No artificial colours or flavours - Cholesterol free - No preservatives - Gluten-free</p>,,"Specially Selected Potatoes, Vegetable Oil, Seasoning (Sugar, Salt, Natural Flavour, Tomato Powder, Onion Powder, Buttermilk Powder, Torula Yeast, Brown Sugar, Molasses Powder, Paprika, Spice And Herb (Contains Mustard), Garlic Powder, Yeast Extract, Corn Maltodextrin, Colour (Contains Sulfites)). Contains Milk, Mustard And Sulphites Ingredients.",,Per 28 chips (50 g),"- Calories 270 | 
- Fat 15 g | 23 %
 -- Saturated 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholesterol 0 mg | 0 %
- Sodium 220 mg | 9 %
- Carbohydrate 29 g | 10 %
 -- Fibre 2 g | 8 %
 -- Sugars 2 g | 
- Protein 4 g |
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 6 %
",29,Merlot,0,,,,,,,,,
