ID,Name,Group ID,Group Order,Group,Image,Link Uri,Link Title,Order
38,Gruau standard et Gruau rapide,5,2,Gruau standard et Gruau rapide,Quaker Standard Oats category_FR.png,,Voir Produits,20
48,Barres tendres Quaker<sup>®</sup> Dipps<sup>®</sup>,1,6,Barres tendres et collations Quaker<sup>®</sup>,Quaker Dipps bar category_FR.png,,Voir Produits,21
55,Collations de riz Crispy Minis<sup>®</sup>,7,7,Croustilles de riz Crispy Minis<sup>®</sup>,Crispy Minis category.png,,Voir Produits,22
51,Mélanges à muffins,3,5,"Mélanges à muffins, à biscuits et à carrés brownie Quaker<sup>®</sup>",Quaker Muffin category_FR.png,,Voir Produits,23
47,Barres tendres Quaker Chewy<sup>®</sup>,1,,Barres tendres et collations Quaker<sup>®</sup>,Quaker chewy bars category_FR.png,,Voir Produits,24
46,Céréales Squares,4,3,Céréales prêtes-à-manger Quaker<sup>®</sup>,Squares cereal Category.png,,Voir Produits,25
52,Mélange à carrés brownie Fondant au chocolat,3,,"Mélanges à muffins, à biscuits et à carrés brownie Quaker<sup>®</sup>",Quaker_Brownie Chocolate Fudge_FR.png,,Voir Produits,30
81,Céréales Croque Nature<sup>_MC_</sup>,4,,Céréales prêtes-à-manger Quaker<sup>®</sup>,Harvest Crunch Cereal category_FR.png,,Voir Produits,27
73,Gruau instantané,2,1,Gruau instantané Quaker<sup>®</sup>,Quaker_instant oat_category_FR.png,,Voir Produits,28
39,Coupes de gruau instantané,2,,Gruau instantané Quaker<sup>®</sup>,Qauker_instant_oat_cups.png,,Voir Produits,29
53,Mélanges à biscuits,3,,"Mélanges à muffins, à biscuits et à carrés brownie Quaker<sup>®</sup>",Quaker_Muffin Oatmeal_FR.png,,Voir Produits,26
42,Céréales Life<sup>®</sup>,4,,Céréales prêtes-à-manger Quaker<sup>®</sup>,Life Cereal Category.png,,Voir Produits,31
49,Barres tendres Quaker<sup>®</sup>,1,,Barres tendres et collations Quaker<sup>®</sup>,Quaker Granola Bar Category_FR.png,,Voir Produits,32
54,Mélanges à muffins faibles en gras,3,,"Mélanges à muffins, à biscuits et à carrés brownie Quaker<sup>®</sup>",LowFatMuffinQuaker Category_FR.png,,Voir Produits,33
45,Céréales Son d'avoine,4,,Céréales prêtes-à-manger Quaker<sup>®</sup>,Quaker_OatBran_625g_Fr.png,,Voir Produits,34
199,Farine d'avoine Quaker<sup>®</sup>,6,4,Farine d'avoine Quaker<sup>®</sup>,Quaker_Oat Flour Bag_FR.png,,Voir Produits,35
