ID,Category,Name,Link,Image,Description,Ingredients,Alert,Portion,Nutrition Facts,Order,Featured
4203,Oat Bran Cereal,Quaker<sup>®</sup> Oat Bran Cereal,https://www.quakeroats.ca/products/quaker®-oat-bran-cereal,Quaker_OatBran_625g_Eng.png,"<p>Looking for a great way to start your day? Quaker Oat Bran creamy hot cereal is made from 100% oat bran that is a tasty, wholesome addition to many of your favorite recipes. Topped with fruit, nuts or a little bit of honey, Quaker Oat Bran creamy hot cereal is more than nutritious &ndash; it's delicious!</p>",Oat bran.,"Contains oat ingredients.
May contain wheat.",Per 1/3 Cup (30 g),"- Calories 120 
- Fat 2.5g | 4%
 -- Saturated Fat 0.4g | 2%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 0mg | 
- Carbohydrate 20g | 7%
 -- Total Fibre 4g | 16%
 -- Sugars 0g |
- Protein 5g |
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 2 %
- Iron | 10 %
",243,0
4219,Squares Cereal,Quaker<sup>®</sup> Oatmeal Squares Cereal,https://www.quakeroats.ca/products/quaker®-oatmeal-Squares<sup>_TM_</sup>-cereal,Quaker_Oatmeal Squares_ENG.png,"<p>Cold cereal lovers rejoice &ndash; Quaker Oats has got something deliciously crunchy for you. Our Oatmeal Squares cereal is made from whole grain Quaker Oats and contains all the soluble fibre of a pouch of Quaker Instant Oatmeal. Deliciously toasted, it's a great start to the day or snack on the go!</p><p><ul><li> Made with 100% whole grain Canadian Quaker Oats</li><li>36 grams of whole grains per serving</li><li> High source of fibre</li><li> &frac34; cup (45g) of Quaker Oatmeal Squares cereal supplies 35% of the daily amount of the fibres shown to help reduce cholesterol</li></ul></p>","Whole grain quaker oats, whole grain wheat flour, sugar, brown sugar, corn maltodextrin, barley malt extract, salt, sodium bicarbonate, caramel colour blend, bht (preservative).Vitamins and minerals: iron, thiamine mononitrate, niacinamide, calcium pantothenate, pyridoxine hydrochloride, folic acid.","Contains oat, wheat, and barley ingredients.
Bht added to package liner to preserve product freshness.",Per 3/4 Cup (45 g),"- Calories 170 
- Fat 2g | 3%
 -- Saturated Fat 0.4g | 2%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 170mg | 7%
- Carbohydrate 35g | 12%
 -- Fibre 4g | 16%
 -- Soluble Fibre 2g | 
 -- Insoluble Fibre 2g | 
 -- Sugars 7g | 
- Protein 5g |
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 2 %
- Iron | 45 %
- Thiamine | 70 %
- Niacin | 10 %
- Vitamin B6 | 15 %
- Folate | 10 %
- Pantothenate | 10 %
",231,0
4227,Squares Cereal,Quaker<sup>®</sup> Oatmeal Squares Maple & Brown Sugar Flavour Cereal,https://www.quakeroats.ca/products/quaker®-oatmeal-Squares<sup>_TM_</sup>-maple-brown-sugar-flavour-cereal,Quaker_Oatmeal Squares Maple Brown Sugar_ENG.png,<p>Quaker&reg; Oatmeal Squares&trade; Maple &amp; Brown Sugar Flavour Cereal cereal takes your favorite flavour of Instant Oatmeal and brings you a deliciously crunchy cold cereal! Our Oatmeal Squares are made from whole grain Quaker Oats and contain all the soluble fibre of a pouch of Quaker Instant Oatmeal.</p><ul><li>Made with 100% whole grain Quaker oats.</li><li>&frac34; cup (45g) of Quaker Oatmeal Squares Maple &amp; Brown Sugar flavour cereal supplies 30% of the daily amount of the fibres shown to help reduce cholesterol.</li><li>Source of fibre.</li></ul>,"Whole grain quaker oats, whole grain wheat flour, brown sugar, sugar, corn maltodextrin, barley malt extract, salt, coconut oil, sodium bicarbonate, natural and artificial flavour, caramel colour blend, bht (preservative).Vitamins andminerals: iron, thiamine mononitrate, niacinamide, calcium pantothenate, pyridoxine hydrochloride, folic acid.","Contains oat, wheat, and barley ingredients.
Bht added to package liner to preserve product freshness.",Per 3/4 Cup (45 g),"- Calories 180 
- Fat 2g | 3%
 -- Saturated Fat 0.5g | 3%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 150mg | 6%
- Carbohydrate 36g | 12%
 -- Fibre 3g | 13%
 -- Soluble Fibre 1g | 
 -- Insoluble Fibre 2g | 
 -- Sugars 11g | 
- Protein 5g |
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 2 %
- Iron | 40 %
- Thiamine | 60 %
- Niacin | 6 %
- Vitamin B6 | 10 %
- Folate | 10 %
- Pantothenate | 8 %
",232,0
4235,Squares Cereal,Quaker<sup>®</sup> Corn Squares Cereal,https://www.quakeroats.ca/products/quaker®-corn-Squares<sup>_TM_</sup>-cereal,Quaker_Corn Squares_ENG.png,<p>Delicious crunchy wholesome corn meets fiber-rich bran for a goodness-packed breakfast you can feel good about. Top with your favorite berries or fresh fruit for a sweet twist on this wholesome and delicious breakfast.</p><ul><li>Made with 100% Canadian Quaker Oats.</li><li>High source of fibre.</li></ul>,"Corn flour, corn bran flour, sugar, whole grain quaker oats, coconut oil, salt, sodium bicarbonate, colour. Vitamins and minerals: iron, niacinamide, thiamine mononitrate, calcium pantothenate, pyridoxine hydrochloride, folic acid.","Contains oat ingredients.
May contain wheat.
BHT added to package liner to preserve product freshness.",Per 1 Cup (30 g),"- Calories 120 
- Fat 1.5g | 2%
 -- Saturated Fat 0.5g | 3%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 250mg | 10%
- Carbohydrate 25g | |8%
 -- Fibre 5g | 18%
 -- Sugars 6g | 
- Protein 2g | 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 0 %
- Iron | 30 %
- Thiamine | 45 %
- Niacin | 6 %
- Vitamin B6 | 10 %
- Folate | 8 %
- Pantothenate | 6 %
",230,0
4242,Life<sup>®</sup> Cereal,Quaker<sup>®</sup> Life<sup>®</sup> Original Cereal,https://www.quakeroats.ca/products/quaker®-life®-original-cereal,Quaker_Life Whole Grain_ENG.png,"<p>You don't have to be a kid to love the sweet and crunchy goodness of Quaker Life Cereal, and you don't have to be a grown-up to benefit from the whole grain Quaker Oats baked inside of each square! Wholesome, with just the right touch of sweetness, Quaker Life Cereal is a nutritious and delicious choice for everyone.</p><ul><li>Made with 100% whole grain Quaker oats.</li><li>Low in saturated fat.</li><li>Source of ten essential nutrients.</li></ul>","Whole grain quaker oats, sugar, corn flour, whole grain wheat flour, rice flour, salt, calcium carbonate (thickener),  sodium phosphate dibasic, colour, bht (preservative).Vitamins and minerals: iron, niacinamide, thiamine mononitrate, calcium pantothenate, pyridoxine hydrochloride, folic acid.",Contains oat and wheat ingredients.,Per 3/4 Cup (30 g),"- Calories 180 
- Fat 1.5g | 6%
 -- Saturated Fat 0.2g | 9%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 160mg | 10%
- Carbohydrate 23g | 10%
 -- Fibre 2g | 8%
 -- Sugars 6g | 
- Protein 3g | 
- Vitamin A | 6 %
- Vitamin C | 0 %
- Calcium | 20 %
- Iron | 35 %
- Thiamine | 70 %
- Niacin | 10 %
- Vitamin B6 | 15 %
- Folate | 10 %
- Pantothenate | 10 %
- Phosphorus | 20 %
- Magnesium | 20 %
- Zinc | 10 %
- Manganese | 40 %
",242,0
4249,Harvest Crunch<sup>®</sup> Cereal,Quaker<sup>®</sup> Harvest Crunch<sup>®</sup> Light & Crisp<sup>®</sup> Honey & Nut Cereal,https://www.quakeroats.ca/products/quaker®-harvest-crunch®-light-crisp®-honey-nut-cereal,Quaker_Harvest_Light Crunch Honey Nut_ENG.png,"<p>What better way to start your day than with a delicious bowl of Honey and Nut cereal? With sliced almonds and a touch of brown sugar, this crunchy combo will make you start thinking about having it for every meal of the day! <ul><li> 30% less fat than Quaker Harvest Crunch Original granola cereal </li><li>Low in sodium</li></ul></p>","Rolled oats, rolled whole wheat, brown sugar, crisp rice pieces (rice flour, sugar, barley malt extract, salt, distilled monoglycerides, rice extract), modified milk ingredients, coconut oil, honey, almonds, dried unsweetened coconut.","Contains oat, wheat, barley, milk, and almond ingredients.",Per 1/2 Cup (45 g),"- Calories 200 
- Fat 5g | 8%
 -- Saturated Fat 3.5g | 17%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 55mg | 2%
- Carbohydrate 34g | 11%
 -- Fibre 3g | 11%
 -- Sugars 12g | 
- Protein 4g | 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 2 %
- Iron | 6 %
",236,0
4256,Harvest Crunch<sup>®</sup> Cereal,Quaker<sup>®</sup> Harvest Crunch<sup>®</sup> Original Cereal,https://www.quakeroats.ca/products/quaker®-harvest-crunch®-original-cereal,Quaker_Harvest Crunch Original_ENG.png,<p>Add a touch of sweetness to your mornings with delicious almonds and crunchy oat clusters wrapped in the sweetness of honey and brown sugar. You can also enjoy the great taste of Quaker Harvest Crunch Original cereal with yogurt and fresh fruit for a delicious snack any time.</p>,"Rolled oats, rolled whole wheat, brown sugar, modified milk ingredients, dried unsweetened coconut, coconut oil, almonds, honey, natural flavour.","Contains oat, wheat, milk, and almond ingredients.",Per 2/3 Cup (45 g),"- Calories 210 
- Fat 8g | 6%
 -- Saturated Fat 6g | 28%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 35mg | 1%
- Carbohydrate 31g | 10%
 -- Fibre 4g | 15%
 -- Sugars 10g | 
- Protein 5g | 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 2 %
- Iron | 8 %
",237,0
4263,Harvest Crunch<sup>®</sup> Cereal,Quaker<sup>®</sup> Harvest Crunch<sup>®</sup> Raisin & Almond Cereal,https://www.quakeroats.ca/products/quaker®-harvest-crunch®-raisin-almond-cereal,Quaker_HarvestCrunch_RaisinAlmond_510g_Eng.png,"<p>What better way to start the morning than with crunchy almonds, chewy raisins, a touch of honey and brown sugar? A delicious pairing with milk or yogurt and fresh fruit, this cereal is perfect for a tasty start to the day or a snack any time.</p>","Rolled oats, rolled whole wheat, raisins coated with hydrogenated cottonseed and/or soybean oil, brown sugar, modified milk ingredients, dried unsweetened coconut, coconut oil, almonds, honey, natural flavour.","Contains oat, wheat, soy, milk, and almond ingredients.",Per 2/3 Cup (45 g),"- Calories 200 
- Fat 7g | 10%
 -- Saturated Fat 4.5g | 28%
 -- + Trans 0g | 
- Cholesterol  0mg | 
- Sodium 30mg | 1%
- Carbohydrate 31g | 10%
 -- Fibre 3g | 13%
 -- Sugars 14g | 
- Protein 4g | 
- Vitamin A | 0 %
- Calcium | 2 %
- Vitamin C | 0 %
- Iron | 8 %
",238,0
8581,Harvest Crunch<sup>®</sup> Cereal,"Quaker<sup>®</sup> Harvest Crunch<sup>®</sup> Dark Chocolate, Cranberry & Almond Cereal",https://www.quakeroats.ca/products/quaker®-harvest-crunch®-dark-chocolate-cranberry-almond-cereal,Quaker_Harvest Crunch Dark Chocolate Cranberry Almond_ENG.png,"<p>What better way to start the morning than with crunchy almonds, chewy cranberries, a touch of honey and brown sugar? A delicious pairing with milk or yogurt and fresh fruit, this cereal is perfect for a tasty start to the day or a snack any time.</p>","Whole grain rolled oats, rolled whole wheat, brown sugar, dried sweetened cranberry pieces (sugar, cranberries, sunflower oil), modified milk ingredients, sunflower oil, chocolate chunks (chocolate liquor, sugar, dextrose, soy lecithin, vanilla extract), almonds, coconut oil, dried unsweetened coconut, cocoa, honey, salt, natural flavour.","Contains oat, wheat, milk, soy, and almond ingredients.",Per 1/2 cup (55 g),"- Calories 230 
- Total Fat 7g | 11 %
 -- Saturated Fat 2g | 10 %
 -- + Trans Fat 0g | 
- Cholesterol  0mg | 
- Sodium 40mg | 2 %
- Carbohydrate 40g | 13 %
 -- Fibre 4g | 16 %
 -- Sugars 12g | 
- Protein 6g | 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 4 %
- Iron | 15 %
",235,0
9181,Harvest Crunch<sup>®</sup> Cereal,Quaker<sup>®</sup> Harvest Crunch<sup>®</sup> Apple Crumble Cereal,https://www.quakeroats.ca/products/quaker®-harvest-crunch®-apple-crumble-cereal,Quaker_Harvest Crunch Apple Crumble_ENG.png,"<p>Add a touch of sweetness to your mornings with Quaker<sup>&reg;</sup> Harvest Crunch<sup>&reg;</sup> Apple Crumble cereal, made with a hint of honey and delicious apple. Try enjoying with yogurt and fresh fruit for a delicious snack anytime.</p>","Whole grain rolled oats, rolled whole wheat, brown sugar, vegetable oil, modified milk ingredients, dried coconut, almonds, cinnamon, salt, natural flavour.","Contains oat, wheat, milk, and almond ingredients.",Per approximately ⅓ cup (45 g),"- Calories 200 
- Fat 6g | 9 %
 -- Saturated 2g | 10 %
 -- + Trans 0g | 
- Cholestrol 0mg | 
- Sodium 25mg | 1 %
- Carbohydrate 32g | 11 %
 -- Fibre 4g | 16 %
 -- Sugars 10g | 
- Protein 4g | 
- Vitamin A | 0 %
- Vitamin C | 0 %
- Calcium | 4 %
- Iron | 8 %
",233,0
