ID,Category,Name,Link,Image,Description,Ingredients,Alert,Portion,Nutrition Facts
4273,Céréales Son d'avoine,Quaker<sup>®</sup> Céréales Son d'avoine,https://www.quakeroats.ca/fr/products/quaker®-céréales-son-davoine,Quaker_OatBran_625g_Fr.png,"<p>Vous cherchez une bonne façon de commencer la journée? Savourez les céréales chaudes et crémeuses Son d'avoine de Quaker faites avec du son d'avoine à 100 %. Ajoutez-en à vos recettes préférées pour en rehausser le goût et la valeur nutritive. Garnies de fruits, de noix ou d'un peu de miel, les céréales chaudes au son d'avoine Quaker sont non seulement nutritives, elles sont également délicieuses.</p>",Son d'avoine contient des ingrédients de l'avoine.,Peut contenir du blé.,Pour 1/3 coup (30 g),"- Calories 120 |
- Lipides 2.5 g | 4%
 -- saturés 0.4 g | 2%
 -- trans 0 g | 
- Cholestérol 0 mg |
- Sodium 0 mg |
- Glucides 20 g | 7%
 -- Total Fibres 4 g |16%
 -- Sucres 0 g |
- Protéines 5 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 10 %
"
4289,Céréales Squares,Quaker<sup>®</sup> Céréales Squares à l'avoine,https://www.quakeroats.ca/fr/products/quaker®-céréales-squaresmc-à-lavoine,Quaker_Oatmeal Squares_FR.png,"<p>Amateurs de céréales froides, réjouissez-vous! La marque Quaker vous réserve quelque chose de délicieusement croquant. Nos céréales Squares à l'avoine sont faites avec de l'avoine Quaker à grains entiers et contiennent autant de fibres solubles qu'un sachet de gruau instantané Quaker. Délicieusement grillées, elles constituent une excellente façon de commencer la journée ou de grignoter sur le pouce!</p><p><ul><li> Faites avec de l'avoine canadienne Quaker à 100 % de grains entiers</li><li> 36 grammes de grains entiers par portion</li><li>Source élevée de fibres</li><li> &frac34; tasse (45 g) de céréales Squares à l'avoine de Quaker fournit 30 % de la quantité quotidienne de fibres dont l'efficacité est démontrée lorsqu'il s'agit de contribuer à réduire le cholestérol</li></ul></p>","Avoine quaker a grains entiers, farine de ble a grains entiers, sucre, cassonade, maltodextrine de mais, extrait de malt d'orge, sel, bicarbonate de sodium, melange de colorant caramel, BHT (agent de conservation).Vitamines et mineraux: fer, mononitrate de thiamine, niacinamide, pantothenate de calcium, chlorhydrate de pyridoxine, acide folique.","Contient des ingredients de l'avoine, du ble et de l'orge.
Du BHT a ete ajoute a la doublure interne pour conserver la fraicheur du produit.",Pour 3/4 coup (45 g),"- Calories 170 |
- Lipides 2 g | 3%
 -- saturés 0.4 g | 2%
 -- trans 0 g |
- Cholestérol 0 mg |
- Sodium 170 mg | 7%
- Glucides 35 g |12%
 -- Fibres 4 g |16%
 -- Fibres solubles | 2 g 
 -- Fibres insolubles | 2 g 
 -- Sucres 7 g |
- Protéines 5 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 45 %
- Thiamine | 70 %
- Niacine | 10 %
- Vitamine B6 | 15 %
- Folate | 10 %
- Pantothénate | 10 %
"
4297,Céréales Squares,Quaker<sup>®</sup> Céréales Squares à l'avoine Saveur d'érable et cassonade,https://www.quakeroats.ca/fr/products/quaker®-céréales-squaresmc-à-lavoine-saveur-dérable-et-cassonade,Quaker_Oatmeal Squares Maple Brown Sugar_FR.png,"<p>Les Céréales Squares à l'avoine de Quaker à saveur d'érable et de cassonade transforment votre saveur préférée de gruau instantané en de délicieuses céréales froides et croquantes! Faites avec de l'avoine Quaker à grains entiers, elles contiennent autant de fibres solubles qu'un sachet de gruau instantané Quaker.</p><ul><li>Faites avec de l'avoine Quaker à 100 % de grains entiers.</li><li>&frac34; tasse (45 g) de céréales Squares à l'avoine de Quaker Saveur d'érable et cassonade fournit 30 % de la quantité quotidienne de fibres dont l'efficacité est démontrée lorsqu'il s'agit de contribuer à réduire le cholestérol.</li><li>Source de fibres.</li></ul>","Avoine quaker a grains entiers, farine de ble a grains entiers, cassonade, sucre, maltodextrine de mais, extrait de malt d'orge, sel, huile de coco, bicarbonate de sodium, arome naturel et artificiel, melange de colorant caramel, BHT (agentde conservation). Vitamines et mineraux: fer, mononitrate de thiamine, niacinamide, pantothenate de calcium, chlorhydrate de pyridoxine, acide folique.","Contient des ingredients de l'avoine, du ble et de l'orge.
Du BHT a ete ajoute a la doublureinterne pour conserver la fraicheur du produit.",Pour 3/4 coup (45 g),"- Calories 180 |
- Lipides 2 g | 3%
 -- saturés 0.5 g | 3%
 -- trans 0 g | 
- Cholestérol 0 mg |
- Sodium 150 mg | 6%
- Glucides 36 g | 12%
 -- Fibres 3 g | 13%
 -- Fibres solubles 1 g |
 -- Fibres insolubles 2 g |
 -- Sucres 11 g |
- Protéines 5 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 40 %
- Thiamine | 60 %
- Niacine |  6 %
- Vitamine B6 | 10 %
- Folate | 10 %
- Pantothénate | 8 %
"
4305,Céréales Squares,Quaker<sup>®</sup> Céréales Squares au maïs,https://www.quakeroats.ca/fr/products/quaker®-céréales-squaresmc-au-maïs,Quaker_Corn Squares_FR.png,"<p>Délicieusement croquant. Du maïs nourrissant. Du son riche en fibres. Combinez tout ça aux bienfaits nutritifs de la marque Quaker et vous avez un produit sensationnel à l'heure du déjeuner. Ajoutez vos petits fruits préférés ou des fruits frais pour compléter le tableau. Ce matin, les céréales Squares Son de maïs de Quaker vous appellent.</p><ul><li>Faites avec de l'avoine Quaker canadienne à 100 %.</li><li>Source élevée de fibres.</li></ul>","Le maïs nourrissant et délicieusement croquant s’unit au son riche en fibres pour créer un déjeuner nutritif à consommer sans remords. Ajoutez vos petits fruits préférés ou des fruits frais pour donner une touche sucrée à ce déjeuner nutritif et délicieux.
• Faites avec de l’avoine Quaker canadienne à 100 % • Source élevée de fibres","Contient des ingrédients de l’avoine.
Peut contenir du blé.
Du bht a été ajouté à la doublure interne pour conserver la fraîcheur du produit.",Pour 1 coup (30 g),"- Calories 120 |
- Lipides 1.5 g | 2%
 -- saturés 0.5 g | 3%
 -- trans 0 g |
- Cholestérol 0 mg |
- Sodium 250 mg |10%
- Glucides 25 g | 8%
 -- Fibres 5 g | 18%
 -- Sucres 6 g |
- Protéines 2 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 0 %
- Fer | 30 %
- Thiamine | 45 %
- Niacine | 6 %
- Vitamine B6 | 10 %
- Folate | 8 %
- Pantothénate | 6 %
"
4312,Céréales Life<sup>®</sup>,Quaker<sup>®</sup> Céréales Life<sup>®</sup>,https://www.quakeroats.ca/fr/products/quaker®-céréales-life®,Quaker_Life Original_FR.png,"<p>Pas besoin d'être un enfant pour aimer le bon goût sucré et la texture croquante des céréales Life de Quaker. Et pas besoin d'être un adulte pour profiter des bienfaits de l'avoine Quaker à grains entiers que renferme chaque carré! Nourrissantes, avec juste ce qu'il faut de sucre, les céréales Life de Quaker constituent un choix nutritif et délicieux pour tous.</p><ul><li>Faites avec de l'avoine Quaker à 100 % de grains entiers</li><li>Faible teneur en gras saturés.</li><li>Source de dix éléments nutritifs essentiels.</li></ul>","Avoine quaker a grains entiers, sucre, farine de mais, farine de ble a grains entiers, farine de riz, sel, carbonate de calcium (pour epaissir), phosphate disodique, colorant, bht (agent de conservation). Vitamines et mineraux: fer, niacinamide, mononitrate de thiamine, pantothenate de calcium, chlorhydrate de pyridoxine, acide folique.",Contient des ingredients de l'avoine et du ble.,Pour 3/4 coup (30 g),"- Calories 180 |
- Lipides 1.5 g | 6%
 -- saturés 0.2 g | 9%
 -- trans 0 g |
- Cholestérol 0 mg |
- Sodium 160 mg | 10%
- Glucides 23 g | 10%
 -- Fibres 2 g | 8%
 -- Sucres 6 g |
- Protéines 3 g |
- Vitamine A | 6 %
- Vitamine C | 0 %
- Calcium | 20 %
- Fer | 35 %
- Thiamine | 70 %
- Niacine | 10 %
- Vitamine B6 | 15 %
- Folate | 10 %
- Pantothénate | 10 %
- Phosphorus | 20 %
- Magnesium | 20 %
- Zinc | 10 %
- Manganese | 40 %
"
4319,Céréales Croque Nature<sup>_MC_</sup>,Quaker<sup>®</sup> Céréales Croque Nature<sup>_MC_</sup> Légères et croustillantes<sup>_MC_</sup> Miel et noix,https://www.quakeroats.ca/fr/products/quaker®-céréales-croque-naturemc-légères-et-croustillantesmc-miel-et-noix,Quaker_Harvest Crunch Light_Honey Nut_FR.png,"<p>Quelle meilleure façon de commencer la journée qu'avec un délicieux bol de céréales Miel et noix? Agrémentée d'amandes tranchées et d'un soupçon de cassonade, cette combinaison croustillante vous donnera l'envie d'en manger trois fois par jour. <li> 30 % de moins de gras que les céréales granola Croque Nature de Quaker Recette originale</li><li>Faible teneur en sodium</li></p>","Flocons d’avoine, blé entier roulé, cassonade, morceaux de riz croquant (farine de riz, sucre, extrait de malt d’orge, sel, monoglycérides distillés, extrait de riz), substances laitières modifiées, huile de coco, miel, amandes, noix de coco sèche non sucrée.","Contient des ingrédients de l’avoine, du blé, de l’orge, du lait et de l’amande.",Pour 1/2 coup (45 g),"- Calories 200 |
- Lipides 5 g | 8%
 -- saturés 3.5 g |17%
 -- trans 0 g |
- Cholestérol 0 mg | 
- Sodium 55 mg | 2%
- Glucides 34 g | 11%
 -- Fibres 3 g | 11%
 -- Sucres 12 g |
- Protéines 4 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 6 %
"
4326,Céréales Croque Nature<sup>_MC_</sup>,Quaker<sup>®</sup> Céréales Croque Nature<sup>_MC_</sup> Recette originale,https://www.quakeroats.ca/fr/products/quaker®-céréales-croque-naturemc-recette-originale,Quaker_Harvest Crunch Original_FR.png,"<p>Ajoutez une touche de douceur à vos matins en savourant les délicieuses amandes et bouchées d'avoine croquantes enveloppées de la saveur sucrée du miel et de la cassonade. Vous pouvez aussi profiter en tout temps du goût délectable des céréales Croque Nature de Quaker Recette originale en les savourant comme collation avec du yogourt et des fruits frais. Un déjeuner à votre goût, où que vous soyez. Les coupes de gruau multigrain Quaker sont remplies de vrais fruits, de noix et de grains entiers comme l'avoine et l'orge. Un parfait mélange qui offre bon goût, bienfaits et commodité. Offertes dans ces saveurs : Pommes et noix de Grenoble; Fruits d'été</p>","Flocons d’avoine, blé entier roulé, cassonade, substances laitières modifiées, noix de coco sèche non sucrée, huile de coco, amandes, miel, arôme naturel.","Contient des ingrédients de l’avoine, du blé, du lait et de l’amande.",Pour 2/3 coup (45 g),"- Calories 210 |
- Lipides 8 g | 6%
 -- saturés 6 g | 28%
 -- trans 0 g |
- Cholestérol 0 mg |
- Sodium 35 mg | 1%
- Glucides 31 g | 10%
 -- Fibres 4 g | 15%
 -- Sucres 10 g | 
- Protéines 5 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 8 %
"
4333,Céréales Croque Nature<sup>_MC_</sup>,Quaker<sup>®</sup> Céréales Croque Nature<sup>_MC_</sup> Raisins secs et amandes,https://www.quakeroats.ca/fr/products/quaker®-céréales-croque-naturemc-raisins-secs-et-amandes,Quaker_HarvestCrunch_RaisinAlmond_510g_Fr.png,"<p>Quelle meilleure façon du commencer la journée qu'avec des amandes croquantes, des raisins secs moelleux et une touche de miel et de cassonade? Ces céréales sont un vrai délice avec du lait ou du yogourt et des fruits frais, et elles sont parfaites pour commencer la journée de manière savoureuse ou à déguster en collation quand bon vous semble.</p>","Flocons d’avoine, blé entier roulé, raisins secs enrobés d’huile de coton et/ou de soya hydrogénée, cassonade, substances laitières modifiées, noix de coco sèche non sucrée, huile de coco, amandes, miel, arôme naturel.","Contient des ingrédients de l’avoine, du blé, du soya, du lait et de l’amande.",Pour 2/3 coup (45 g),"- Calories 200 |
- Lipides 7 g |10%
 -- saturés 4.5 g | 28%
 -- trans 0 g |
- Cholestérol 0 mg |
- Sodium 30 mg | 1%
- Glucides 31 g | 10%
 -- Fibres 3 g | 13%
 -- Sucres 14 g |
- Protéines 4 g |
- Vitamine A | 0 %
- Calcium | 2 %
- Vitamine C | 0 %
- Fer | 8 %
"
8586,Céréales Croque Nature<sup>_MC_</sup>,Quaker<sup>®</sup> Céréales Croque Nature<sup>_MC_</sup> Chocolat noir canneberges et amandes,https://www.quakeroats.ca/fr/products/quaker®-céréales-croque-naturemc-chocolat-noir-canneberges-et-amandes,Quaker_Harvest Crunch Chocolate Cranberry Almond_FR.png,"<p>Quelle meilleure façon du commencer la journée qu'avec des amandes croquantes, des canneberges et une touche de miel et de cassonade? Ces céréales sont un vrai délice avec du lait ou du yogourt et des fruits frais, et elles sont parfaites pour commencer la journée de manière savoureuse ou à déguster en collation quand bon vous semble.</p>","Flocons d’avoine à grains entiers, blé entier roulé, cassonade, morceaux de canneberges sucrées séchées (sucre, canneberges, huile de tournesol), substances laitières modifiées, huile de tournesol, morceaux de chocolat (liqueur de chocolat, sucre, dextrose, lécithine de soya, extrait de vanille), amandes, huile de coco, noix de coco sèche non sucrée, cacao, miel, sel, arôme naturel.","Contient des ingrédients de l’avoine, du blé, du lait, du soya et de l’amande.",pour 1/2 tasse (55 g),"- Calories 230 |
- Lipides 7 g |11 %
 -- saturés 2 g |10 %
 -- trans 0 g |
- Cholestérol 0 mg | 
- Sodium 40 mg | 2 %
- Glucides 40 g | 13 %
 -- Fibres 4 g | 16 %
 -- Sucres 12 g |
- Protéines 6 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 15 %
"
9186,Céréales Croque Nature<sup>_MC_</sup>,Quaker<sup>®</sup> Céréales Croque Nature<sup>_MC_</sup> Croustade aux pommes,https://www.quakeroats.ca/fr/products/quaker®-céréales-croque-naturemc-croustade-aux-pommes,Quaker_Harvest Crunch Apple Crumble_FR.png,"<p>Ajoutez une touche de douceur à vos matins avec les céréales Croque Nature<sup>_MC_</sup> Croustade aux pommes de Quaker<sup>&reg;</sup>, faites avec un soupçon de miel et de délicieuses pommes. Essayez-les avec du yogourt et des fruits frais pour une délicieuse collation à déguster en tout temps.</p>","Flocons d'avoine à grans entiers, blé entier roulé, cassonade, huile végétale, substances laitières modifiées, noix de coco sèche, pommes, mélange de miel, huile de coco, amandes, canelle, sel, arôme naturel.","Contient des ingrédients de l'avoine, du blé, du lait et de l'amande.",pour environ ⅓ tasse (45 g),"- Calories 200 |
- Lipides 6 g | 9 %
 -- saturés 2 g | 10 %
 -- + trans 0 g | 
- Cholestérol 0 mg | 
- Sodium 25 mg | 1 %
- Glucides 32 g | 11 %
 -- Fibres 4 g | 16 %
 -- Sucres 10 g | 
- Protéines 4 g | 
- Vitamine A |  0 %
- Vitamine C |  0 %
- Calcium | 4 %
- Fer | 8 %
"
