ID,Title,Link,Categories,Image,Description,Ingredients,Directions,Notes,Prep Time,Cook Time,Servings,Video,Related Products,Average Ratings,Num Ratings,Order,Date,Featured
3504,Gingerbread Cupcakes,https://www.quakeroats.ca/recipes/gingerbread-cupcakes,Desserts,Gingerbread_20Cupcakes-009.jpg,"After a bake sale the kids are hoping you&rsquo;re going to make that three-story gingerbread house they saw. This can be solved in two easy words. Gingerbread. Cupcakes. They&rsquo;re smaller, easier to make but the best part is that kids will enjoy it just the same.","1-3/4  cups all-purpose flour
1  cup Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1/3  cup granulated sugar
1  tablespoon ground ginger

1  teaspoon baking soda
3/4  teaspoon ground cinnamon
1/2  teaspoon salt (optional)
1/2  cup skim milk
1/2  cup molasses
1/3  cup vegetable oil
1  egg, lightly beaten
1  cup powdered sugar
3  to 4 teaspoons lemon juice
1/2  teaspoon grated lemon peel (optional)","Heat oven to 375&deg;F.
Line 12 medium muffin cups with paper baking cups.
In large bowl, combine flour, oats, sugar, ginger, baking soda, cinnamon and salt; mix well.
In medium bowl, combine milk, molasses, oil and egg; mix well. Add to dry ingredients all at once; mix until well blended. Fill muffin cups almost full.
Bake 20 to 23 minutes or until wooden pick inserted in centre comes out clean.
Remove from pan; cool completely on wire rack.
Combine glaze ingredients, adding enough lemon juice for desired consistency; mix until smooth. Drizzle glaze over cooled cupcakes. Store loosely covered.","Variation: 
For gift giving: Arrange a few cupcakes on a small plate; overwrap with cellophane and top with a bow. Or, place six cupcakes in a foil muffin pan and wrap with cellophane.",,,,,"4231,4239",4,4,254,2015-12-10 14:56:02,0
3505,Oatmeal Chipper Skillet Cookie,https://www.quakeroats.ca/recipes/oatmeal-chipper-skillet-cookie,Desserts,Chocolate_20Oatmeal_20Chippers-012.jpg,"Go nuts and make a cookie into a dessert pizza for your child’s birthday. You probably shouldn’t spin it in the air when you do, but feel free to add toppings and slice it any way you want. Everyone loves cookies and this will definitely get people smiling. ","1/2 cup (1 stick) butter, softened
1/2 cup firmly packed brown sugar
1/4 cup granulated sugar
1  egg
1 teaspoon vanilla
3/4 cup all-purpose flour
1/2 teaspoon baking soda
1/4 teaspoon salt
1-1/2 cups Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1 cup semisweet chocolate chips
Vanilla Ice Cream
Caramel Ice Cream Topping or Chocolate Syrup (optional)","Heat oven to 350&deg;F.
In large bowl, beat butter and sugars with electric mixer until creamy. Add egg and vanilla; beat well. Add combined flour, baking soda and salt; mix well. Stir in oats and chocolate chips; mix well.
Press dough evenly into bottom of 10-inch non-stick ovenproof skillet.
Bake 20 minutes or until top is lightly browned. (Do not overbake as cookie will continue to bake after it is removed from oven.)
Cool about 10 minutes. Cut into 8 wedges. Serve with ice cream and, if desired, caramel topping.","Extra-Easy Variation:

Gently knead 1 cup Quaker Quick or Old Fashioned Oats (uncooked) into an 18-ounce package of refrigerated chocolate chip cookie dough.
Press evenly into bottom of 10-inch non-stick ovenproof skillet.
Bake at 350&ordm;F 20 minutes or until top is lightly browned.
Continue as directed above.

",,,,,"4231,4239",4,4,255,2015-12-10 14:56:02,0
3506,Oatmeal Cookie Crust,https://www.quakeroats.ca/recipes/oatmeal-cookie-crust,Desserts,Oatmeal_20Cookie_20Crust-014.jpg,A perfectly textured and crumbly flakey pie crust can be hard to achieve. A smidgen too much of this or too little of that can take it from tender to chewy in a heartbeat.  This version with an oatmeal cookie twist might give your crust a real edge - a good edge.,"1-1/2  cups Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1  cup all-purpose flour
1/2  cup firmly packed brown sugar
1/2  teaspoon baking soda
1/4  teaspoon salt (optional)
8  tablespoons (1 stick) plus 2 tablespoons butter, melted","Spray bottom and sides of 13 x 9-inch baking pan* with cooking spray.
In large bowl, combine oats, flour, sugar, baking soda and salt; mix well. Stir in butter; mix well. Press firmly into an even layer on bottom of pan. Follow baking instructions for each variation.","* For Double Cherry Oatmeal Cookie Bars, spray 9 x 9-inch baking pan with cooking spray. Set aside 3/4 cup of the oat mixture for topping. Pat remaining oat mixture onto bottom of pan as directed.",,,,,"4231,4239",2,11,256,2015-12-10 14:56:02,0
3507,Oatmeal Drop Biscuits,https://www.quakeroats.ca/recipes/oatmeal-drop-biscuits,Desserts,Oatmeal_20Drop_20Biscuit-008.jpg,"Waking up to freshly baked biscuits made with buttermilk, oats and a sprinkling of raisins is always a treat. The bigger treat is that you can do it without having to wake up that much earlier than the rest of your sleepy heads. Now that’s what you call a seriously good morning. ","3/4  cup all-purpose flour
1-1/4  cup Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
2  tablespoon granulated sugar
1  teaspoon baking powder
1/2  teaspoon baking soda
1/4  teaspoon salt
4  tablespoons (1/2 stick) margarine, chilled and cut into pieces
1-3/4  cups low-fat buttermilk
1/4 cup vegetable oil
3/4 cup raisins","Heat oven to 450&deg;F. In large bowl, combine flour, whole-grain flour oats, sugar, baking powder, baking soda and salt; mix well.
Cut in margarine with pastry blender or two knives until mixture resembles coarse crumbs.
Add oil and buttermilk; stir with fork just until dry ingredients are moistened. Add raisins, mix just until blended. (Do not overmix.)
Drop dough by 1/4 cup portions 2 inches apart onto ungreased cookie sheets.
Bake 10 to 12 minutes or until light golden brown. Serve warm.","Soured milk may be substituted for buttermilk. To sour milk, combine 1-3/4 cups fat-free milk with 4 teaspoons lemon juice; let stand 5 minutes or until slightly thickened.",,,,,"4231,4239",4,2,257,2015-12-10 14:56:02,0
3508,Oatmeal Gingerbread Cookies,https://www.quakeroats.ca/recipes/oatmeal-gingerbread-cookies,Desserts,Oatmeal_20Gingerbread_20Cookies-028-min.jpg,"Gingerbread cookies are the perfect intro to baking and a great way of getting your kids involved. But around the holidays there&rsquo;s nothing better. Imagine those little hands decorating gingerbread characters for themselves or to give to playmates. Or notch out a hole, tie on a ribbon and decorate your home for a true festive feel.","1 cup (2 sticks) margarine or butter
softened 3/4 cup firmly packed brown sugar
1/2 cup molasses
1 egg
3‑1/3 cups all‑purpose flour
1‑1/2 cups Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1 teaspoon ground cinnamon
1 teaspoon ground ginger
1/2 teaspoon ground nutmeg
1/2 teaspoon baking soda
1/4 teaspoon salt (optional)
Ready‑to‑spread frosting
Assorted candies","Beat margarine and sugar until creamy. Add molasses and egg; beat well. Add combined flour, oats, spices, baking soda and salt; mix well. Cover; chill about 2 hours.
Heat oven to 350&deg;F.
On floured surface, roll dough out about 1/4 inch thick for a chewy cookie or 1/8 inch thick for a crisp cookie. Cut with 5-inch gingerbread man or woman cookie cutter. Transfer to ungreased cookie sheets.
Bake 8 to 10 minutes or until set.
Cool 1 minute on cookie sheets; remove to wire rack. Cool completely.
Frost and decorate cookies with candies. Store loosely covered at room temperature.","Variations: 
For gift giving: Create cookie ornaments by cutting a hole near top of cookie with drinking straw before baking. Repeat immediately after baking if hole closes. Cool and decorate. Thread narrow ribbon through hole at top and tie into a bow.",,,,,"4231,4239",4,2,258,2015-12-10 14:56:02,0
3509,Oatmeal Lace Cookies,https://www.quakeroats.ca/recipes/oatmeal-lace-cookies,Desserts,Oatmeal_20Lace_20Cookies-018.jpg,This classic oatmeal cookie recipe adds a crunchy or chewy sophisticated twist for special occasions. These wafer thin biscuits are delightful as is – but the dough can also be rolled into tubes to house delicious creamy filling like an oat inspired cannoli.,"1/2 cup butter or margarine
3/4 cup firmly packed brown sugar
2 tablespoons all-purpose flour
1/4 teaspoon salt
2 tablespoons milk
1 teaspoon vanilla
1 1/4 cups Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)","Beat butter and sugar together until creamy.
Blend in flour, salt, milk and vanilla. Stir in oats.
Drop by teaspoonfuls onto greased cookie sheets, about 2 inches apart to allow for spreading. Bake in preheated moderate (350&deg; F) about 8 minutes.
Cool 2 to 3 minutes then carefully remove cookies from cookie sheet with wide spatula. Cookies will be very thin and lacy.",,,,,,"4231,4239",3,14,259,2015-12-10 14:56:02,0
3510,Oatmeal Macaroons,https://www.quakeroats.ca/recipes/oatmeal-macaroons,Desserts,Oatmeal_20Macaroons-022-min.jpg,Macaroons are a confection that dates back to 15th century Italy. And there’s a delicious reason why we still enjoy them regularly. But that doesn’t mean you can’t add modern flavours like almonds and coconut for a hint of sweetness. ,"1/2  pound (2 sticks) margarine or butter, softened
1  cup firmly packed brown sugar
2  eggs
1/2  teaspoon almond extract
1-1/4  cups all-purpose flour
1 teaspoon baking soda
3 cups Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1 4-ounce package shredded coconut (about 1-1/3 cups)","Heat oven to 350&deg;F. Lightly grease cookie sheets.
In large bowl, beat margarine and sugar until creamy. Add eggs and almond extract; beat well. Add combined flour and baking soda; mix well. Add oats and coconut; mix well.
Drop dough by rounded teaspoonfuls onto cookie sheets.
Bake 8 to 10 minutes or until light golden brown. Cool 2 minutes on cookie sheets; remove to wire rack. Cool completely. Store tightly covered.",,,,,,"4231,4239",4,8,260,2015-12-10 14:56:02,0
3512,Very Berry Cake,https://www.quakeroats.ca/recipes/very-berry-cake,Desserts,Very_20Berry_20BreakfastCake-015.jpg,The day is a whole lot more fun when you dig into our Very Berry Cake recipe. The whole grain oat part gives you an excuse to have cake. And this cake tastes even better than it sounds.,"1/2 cup Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1/4 cup granulated sugar
3 tablespoons margarine or butter, melted
1/4 teaspoon ground cinnamon
1 cup granulated sugar
8 tablespoons (1 stick) margarine or butter, softened
4 egg whites or 2 eggs, lightly beaten
One carton (8-oz.) reduced-fat sour cream
1 teaspoon vanilla
1-1/2 cups all-purpose flour
3/4 cup Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
2 teaspoons baking powder
1/2 teaspoon baking soda
1/3 cup raspberry preserves
3/4 cup fresh or frozen blueberries","Heat oven to 350°F. 
Spray 9-inch square metal baking pan with cooking spray or grease lightly.
For streusel, combine all ingredients in small bowl; mix well. Set aside.
For coffeecake, beat sugar and margarine with electric mixer in large bowl until fluffy. Add egg whites, sour cream and vanilla; mix until smooth. Add combined flour, oats, baking powder and baking soda; mix just until blended. Spread into pan. Spoon preserves over batter; swirl through batter with knife. Sprinkle blueberries evenly over batter. Sprinkle streusel over blueberries.
Bake 50 to 55 minutes or until wooden pick inserted in centre comes out clean. 
Serve warm. Store tightly covered at room temperature.",,,,,,"4231,4239",3,4,261,2015-12-10 14:56:02,0
3513,Rudolph's Carrot Cake Cookies,https://www.quakeroats.ca/recipes/rudolphs-carrot-cake-cookies,Desserts,Rudolph_20Carrot_20Cake_20Cookies-071.jpg,"Sometimes, things can be good on their own, but even better when paired with something else. Carrot cake and cookies are strong on their own, but put them together and now you’ve got something pretty magical. This simple Rudolph's Carrot Cake Cookiesrecipe is the perfect blend of sweet and warming carrot cake flavours in the classic cookie you can enjoy any time.","1 cup (2 sticks) butter, softened
2/3 cup firmly packed brown sugar
1 large egg
1/4 cup molasses
2 tablespoons milk
1 teaspoon vanilla
1-1/2 cups all-purpose flour
1/2 teaspoon baking soda
1/2 teaspoon ground allspice or ground cinnamon
2 cups Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1 cup grated carrots
1/2 cup raisins
1 cup powdered sugar
3 to 4 teaspoons milk
1/2 teaspoon vanilla
","Heat oven to 375&deg; F. For cookies, in large bowl beat together butter and sugar until creamy. Add egg, molasses, milk, and vanilla; beat well.
In medium bowl, combine flour, baking soda and allspice; add to butter mixture and mix well. Stir in oats, carrots and raisins; mix well.
Drop by rounded tablespoonfuls onto ungreased cookie sheet. Bake 10 to 12 minutes or until light golden brown. Cool 1 minute on cookie sheet; remove to wire rack. Cool completely.
For glaze, combine all ingredients; mix well. Drizzle over cookies. Let glaze set. Store in tightly covered container.",,,,,,"4231,4239",3,5,262,2015-12-10 14:56:02,0
3514,Dalmatian Cake,https://www.quakeroats.ca/recipes/dalmatian-cake,Desserts,Dalmation_20Cake-026.jpg,Everyone loves your cooking. They actually got through all their veggies at dinner. That’s the dream. The promise of chocolate chips in a nice light cake can make it a reality. Maybe you’ll even be lucky enough to kick your feet up while they do the dishes. ,"1  package (18 oz.) white cake mix
1-1/4  cups Large Flake Quaker® Oats or Quick Quaker® Oats (uncooked)
1  cup water
2/3  cup whole or 2% milk
4  egg whites, lightly beaten
3  tablespoons canola oil
1  teaspoon vanilla
1/2  teaspoon almond extract
3/4  cup min semi-sweet chocolate chips
1  cup powdered sugar
8  tablespoons (1 stick) butter or margarine, softened
1/2  teaspoon vanilla
1/3  cup marshmallow cream
1  cup shredded coconut (optional)
1/4  cup mini semi-sweet chocolate chips","Heat oven to 350&deg;F. Lightly grease or spray 13 x 9-inch metal baking pan with cooking spray.
In large bowl, combine cake mix, oats, water, milk, egg whites, oil, vanilla and almond extract. Beat 2 minutes with electric mixer on medium speed.
Gently stir in 3/4 cup chocolate chips. Spread evenly into pan.
Bake 30 to 40 minutes or until top springs back when pressed in centre. Cool completely in pan on wire rack.
For frosting, combine powdered sugar, butter, vanilla and marshmallow cream in medium bowl; mix until smooth.
Spread frosting over top of cooled cake. Sprinkle with coconut, if desired, and remaining 1/4 cup chocolate chips.","Cake can also be frosted with 2-1/2 cups sweetened whipped cream, whipped topping or ready-to-spread vanilla frosting. If using whipped cream or whipped topping, cover and refrigerate cake until ready to serve. Refrigerate any leftovers.",,,,,"4231,4239",3,1,263,2015-12-10 14:56:02,0
