ID,Title,Link,Categories,Image,Description,Ingredients,Directions,Notes,Prep Time,Cook Time,Servings,Video,Related Products,Average Ratings,Num Ratings,Date,Order
3508,Biscuits en pain d'épice au gruau,https://www.quakeroats.ca/fr/recipes/biscuits-en-pain-dépice-au-gruau,Desserts,Oatmeal_20Gingerbread_20Cookies-028-min_0.jpg,"Les biscuits en pain d&rsquo;épice sont parfaits pour s&rsquo;initier à la fabrication de pâtisseries et une excellente façon de faire participer les enfants à la cuisine. Mais, ils sont imbattables pendant les Fêtes. Imaginez les enfants décorant avec leurs petites mains des personnages en pain d&rsquo;épice qu&rsquo;ils dévoreront ou qu&rsquo;ils offriront à leurs amis. Ou créez une ambiance vraiment festive dans la maison en y suspendant des biscuits troués et ornés d&rsquo;un joli ruban.","1 tasse (2 bâtons) de margarine ou de beurre ramolli
3/4 tasse de cassonade bien tassée
1/2 tasse de mélasse
1 œuf
3 1/3 tasses de farine tout usage
1 1/2 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 cuillère à thé de cannelle moulue
1 cuillère à thé de gingembre moulu
1/2 cuillère à thé de muscade moulue
1/2 cuillère à thé de bicarbonate de soude
1/4 cuillère à thé de sel (facultatif)
Glaçage prêt à utiliser
Bonbons assortis
","Battre la margarine et la cassonade jusqu'&agrave; consistance cr&eacute;meuse. Ajouter la m&eacute;lasse et les &oelig;ufs; bien m&eacute;langer. Ajouter la farine, le gruau, les &eacute;pices, le bicarbonate de soude et le sel combin&eacute;s; bien m&eacute;langer. Couvrir; r&eacute;frig&eacute;rer environ 2 heures.
Pr&eacute;chauffer le four &agrave; 350 &deg;F.
Sur une surface enfarin&eacute;e, rouler la p&acirc;te &agrave; une &eacute;paisseur de 1/4 po pour obtenir un biscuit moelleux ou de 1/8 po pour obtenir un biscuit croquant. Tailler des bonshommes de pain d'&eacute;pice avec un emporte-pi&egrave;ce de 5 po. D&eacute;poser sur des plaques &agrave; biscuits non graiss&eacute;es.
Cuire 8 &agrave; 10 minutes ou jusqu'&agrave; texture ferme.
Laisser refroidir 1 minute sur les plaques; d&eacute;poser sur une grille. Laisser refroidir compl&egrave;tement.
Glacer et d&eacute;corer les biscuits avec des bonbons. Conserver &agrave; la temp&eacute;rature de la pi&egrave;ce. Il n'est pas n&eacute;cessaire de couvrir herm&eacute;tiquement.","Variantes
Pour offrir en cadeau : Cr&eacute;er des d&eacute;corations en per&ccedil;ant un trou dans le haut du biscuit avec une paille avant de le mettre au four. R&eacute;p&eacute;ter imm&eacute;diatement apr&egrave;s la cuisson si le trou s'est referm&eacute;. Laisser refroidir et d&eacute;corer. Passer un ruban &eacute;troit dans le trou et le nouer en boucle.",,,,,"43,024,310",2,2,2015-12-10 14:56:02,200
3509,Biscuits dentelle au gruau,https://www.quakeroats.ca/fr/recipes/biscuits-dentelle-au-gruau,Desserts,Oatmeal_20Lace_20Cookies-018_0.jpg,"Voici une recette classique de biscuits au gruau qui ajoutent une touche de raffinement à des occasions spéciales. Ces biscuits minces de type gaufrette sont vraiment délicieux. Mais, avec leur pâte, vous pouvez aussi façonner des tubes et les farcir d’une délicieuse garniture crémeuse pour obtenir des cannolis au gruau.","1/2 tasse de beurre ou de margarine
3/4 tasse de cassonade bien tassée
2 cuillères à table de farine tout usage
1/4 cuillère à thé de sel
2 cuillères à table de lait
1 cuillère à thé de vanille
1 1/4 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
","Battre le beurre et la cassonade jusqu&rsquo;&agrave; consistance cr&eacute;meuse.
Ajouter la farine, le sel, le lait et la vanille; bien m&eacute;langer. Ajouter le gruau.
D&eacute;poser la p&acirc;te en portions d&rsquo;une cuill&egrave;re &agrave; th&eacute; sur des plaques &agrave; biscuits graiss&eacute;e, &agrave; environ 2 po d&rsquo;intervalle pour les laisser gonfler. Pr&eacute;chauffer le four &agrave; feu moyen (350 &deg;F) et cuire environ 8 minutes.
Laisser refroidir 2 &agrave; 3 minutes; retirer d&eacute;licatement les biscuits de la plaque avec une spatule large. Les biscuits seront tr&egrave;s minces et en dentelle.",,,,,,"43,024,310",4,10,2015-12-10 14:56:02,201
3510,Macarons au gruau,https://www.quakeroats.ca/fr/recipes/macarons-au-gruau,Desserts,Oatmeal_20Macaroons-022-min_0.jpg,"La confection de macarons a débuté au 15e siècle, en Italie. Et encore aujourd’hui on s’en délecte régulièrement parce qu’ils sont tout simplement délicieux. Mais, rien n’empêche d’adapter leur goût à notre temps en leur ajoutant, par exemple, des notes d’amande et de noix de coco : une touche sucrée sans l’ajout d’une grande quantité de sucre.","1/2 livre (2 bâtons) de margarine ou de beurre ramolli
1 tasse de cassonade bien tassée
2 œufs
1/2 cuillère à thé d'essence d'amande
1 1/4 tasse de farine tout usage
1 cuillère à thé de bicarbonate de soude
3 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 paquet de 4 onces de noix de coco râpée (environ 1 1/3 tasse)
","Pr&eacute;chauffer le four &agrave; 350 &deg;F. Graisser l&eacute;g&egrave;rement des plaques &agrave; biscuits.
Dans un grand bol, battre la margarine et la cassonade jusqu'&agrave; consistance cr&eacute;meuse. Ajouter les &oelig;ufs et l'essence d'amande; bien m&eacute;langer. Ajouter la farine et le bicarbonate de soude combin&eacute;s; bien m&eacute;langer. Ajouter le gruau et la noix de coco; bien m&eacute;langer.
D&eacute;poser la p&acirc;te en portions d'une cuill&egrave;re &agrave; th&eacute; comble sur les plaques &agrave; biscuits.
Cuire 8 &agrave; 10 minutes ou jusqu'&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e. Laisser refroidir 2 minutes sur les plaques &agrave; biscuits; d&eacute;poser sur une grille. Laisser refroidir compl&egrave;tement. Conserver dans un contenant herm&eacute;tique",,,,,,"43,024,310",4,2,2015-12-10 14:56:02,202
3512,Gâteau-déjeuner aux baies,https://www.quakeroats.ca/fr/recipes/gâteau-déjeuner-aux-baies,Desserts,Very_20Berry_20BreakfastCake-015_0.jpg,Le déjeuner est de loin plus agréable avec notre gâteau-déjeuner aux baies. D&rsquo;autant plus que l&rsquo;avoine à grains entiers qu&rsquo;il contient vous donne la bonne excuse pour manger du gâteau au déjeuner. Du gâteau au déjeuner? C&rsquo;est bien meilleur qu&rsquo;on peut le croire.,"1/2 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/4 tasse de sucre blanc granulé
3 cuillères à table de margarine ou de beurre fondu
1/4 cuillère à thé de cannelle moulue
1 tasse de sucre blanc granulé
8 cuillères à table (1 bâton) de margarine ou de beurre ramolli
4 blancs d'œuf ou 2 œufs légèrement battus
1 contenant de 8 onces de crème sure faible en gras
1 cuillère à thé de vanille
1 1/2 tasse de farine tout usage
3/4 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
2 cuillères à thé de poudre à pâte
1/2 cuillère à thé de bicarbonate de soude
1/3 tasse de confiture aux framboises
3/4 tasse de bleuets frais ou surgelés
","Pr&eacute;chauffer le four &agrave; 350 &deg;F.
Vaporiser d'un enduit antiadh&eacute;sif ou graisser l&eacute;g&egrave;rement un moule &agrave; cuisson de m&eacute;tal carr&eacute; de 9 po.
Pour le streusel, mettre les quatre premiers ingr&eacute;dients dans un petit bol; bien m&eacute;langer. R&eacute;server.
Pour le g&acirc;teau, faire mousser le sucre et la margarine au malaxeur &eacute;lectrique dans un grand bol. Ajouter les blancs d'&oelig;uf, la cr&egrave;me sure et la vanille; m&eacute;langer jusqu'&agrave; consistance lisse. Ajouter la farine, le gruau, la poudre &agrave; p&acirc;te et le bicarbonate de soude combin&eacute;s; m&eacute;langer juste assez pour que les ingr&eacute;dients soient incorpor&eacute;s. Verser dans le moule.
D&eacute;poser &agrave; la cuill&egrave;re la confiture sur la p&acirc;te; avec un couteau, faire un marbr&eacute; dans la p&acirc;te. Parsemer uniform&eacute;ment les bleuets sur la p&acirc;te. &Eacute;tendre le streusel sur les bleuets.
Cuire 50 &agrave; 55 minutes ou jusqu'&agrave; ce qu'un cure-dents ins&eacute;r&eacute; au centre en ressorte propre. Servir chaud.
Conserver dans un r&eacute;cipient herm&eacute;tique &agrave; la temp&eacute;rature de la pi&egrave;ce.",,,,,,"43,024,310",4,2,2015-12-10 14:56:02,203
3513,Biscuits au gâteau aux carottes de Rudolph,https://www.quakeroats.ca/fr/recipes/biscuits-au-gâteau-aux-carottes-de-rudolph,Desserts,Rudolph_20Carrot_20Cake_20Cookies-071_0.jpg,"Il y a de ces gourmandises qui sont délicieuses telles quelles, mais qui sont encore meilleures lorsqu’elles sont combinées à une autre gourmandise. Le gâteau aux carottes et les biscuits sont excellents en soi, mais réunissez-les et vous obtenez quelque chose de presque magique. Avec cette recette simple de biscuits au gâteau aux carottes de Rudolph, retrouvez le mélange parfait des saveurs sucrées et réconfortantes du gâteau aux carottes dans un biscuit classique dont vous pouvez vous délecter en tout temps.","1 tasse (2 bâtons) de beurre ramolli
2/3 tasse de cassonade bien tassée
1 gros œuf
1/4 tasse de mélasse
2 cuillères à table de lait
1 cuillère à thé de vanille
1 1/2 tasse de farine tout usage
1/2 cuillère à thé de bicarbonate de soude
1/2 cuillère à thé de piment de la Jamaïque ou de cannelle moulue
2 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 tasse de carottes râpées
1/2 tasse de raisins secs
1 tasse de sucre en poudre
3 à 4 cuillères à thé de lait
1/2 cuillère à thé de vanille
","Pr&eacute;chauffer le four &agrave; 375 &deg;F. Pour les biscuits, battre le beurre et la cassonade dans un grand bol avec un malaxeur &eacute;lectrique jusqu&rsquo;&agrave; consistance cr&eacute;meuse. Ajouter l&rsquo;&oelig;uf, la m&eacute;lasse, le lait et la vanille; bien m&eacute;langer.
Dans un bol moyen, incorporer la farine, le bicarbonate de soude et le piment de la Jama&iuml;que; ajouter au m&eacute;lange de beurre et bien m&eacute;langer. Incorporer le gruau, les carottes et les raisins secs; bien m&eacute;langer.
D&eacute;poser des cuill&egrave;res &agrave; table combles de p&acirc;te sur une plaque &agrave; biscuits non graiss&eacute;e. Cuire 10 &agrave; 12 minutes ou jusqu&rsquo;&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e. Laisser refroidir 1 minute sur la plaque &agrave; biscuits, puis transf&eacute;rer sur une grille. Laisser refroidir compl&egrave;tement.
Pour le gla&ccedil;age, incorporer tous les ingr&eacute;dients; bien m&eacute;langer. Verser sur les biscuits. Laisser reposer jusqu'&agrave; ce que le gla&ccedil;age durcisse. Conserver dans un contenant herm&eacute;tique.",,,,,,"43,024,310",3,6,2015-12-10 14:56:02,204
3514,Gateau dalmatien,https://www.quakeroats.ca/fr/recipes/gateau-dalmatien,Desserts,Dalmation_20Cake-026_0.jpg,"Tous adorent les plats que vous cuisinez. Ils ont même mangé tous leurs légumes au dîner. C'est votre rêve. La promesse de brisures de chocolat dans un bon gâteau léger peut transformer votre rêve en une réalité. Et si vous êtes chanceux, vous pourriez même vous reposer pendant qu'ils lavent la vaisselle.","Une boîte de 18 onces de préparation pour gâteau
1 1/4 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 tasse d'eau
2/3 tasse de lait entier ou à 2 %
4 blancs d'œuf légèrement battus
3 cuillères à table d'huile de canola
1 cuillère à thé de vanille
1/2 cuillère à thé d'essence d'amande
3/4 tasse de brisures de chocolat mi-sucré
1 tasse de sucre à glacer
8 cuillères à table (1 bâton) de beurre ou de margarine ramolli
1/2 cuillère à thé de vanille
1/3 tasse de crème de guimauve
1 tasse de noix de coco râpée (facultatif)
1/4 tasse de brisures de chocolat mi-sucré
","Pr&eacute;chauffer le four &agrave; 350 &deg;F. Graisser l&eacute;g&egrave;rement un moule &agrave; cuisson de 13 po x 9 po ou le vaporiser d'un enduit antiadh&eacute;sif.
Dans un grand bol, m&eacute;langer la pr&eacute;paration pour g&acirc;teau, le gruau, l'eau, le lait, les blancs d'&oelig;uf, l'huile, la vanille et l'essence d'amande. Battre 2 minutes avec le m&eacute;langeur &eacute;lectrique &agrave; vitesse moyenne.
Incorporer d&eacute;licatement les trois quarts de tasse de brisures de chocolat. R&eacute;partir &eacute;galement dans le moule.
Cuire 30 ou 40 minutes ou jusqu'&agrave; ce que le g&acirc;teau rebondisse quand vous appuyez dans son centre. Laisser refroidir compl&egrave;tement dans le moule sur une grille.
Pour le gla&ccedil;age, m&eacute;langer le sucre &agrave; glacer, le beurre, la vanille et la cr&egrave;me de guimauve dans un bol moyen jusqu'&agrave; homog&eacute;n&eacute;it&eacute;.
&Eacute;tendre le gla&ccedil;age sur le dessus du g&acirc;teau refroidi. Parsemer de noix de coco au go&ucirc;t et du quart de tasse de brisures de chocolat.","Il est &eacute;galement possible de recouvrir le g&acirc;teau de 2 1/2 tasses de cr&egrave;me fouett&eacute;e sucr&eacute;e, de garniture fouett&eacute;e ou de gla&ccedil;age &agrave; la vanille pr&ecirc;t-&agrave;-servir. S'il est recouvert de cr&egrave;me ou de garniture fouett&eacute;e, couvrir et r&eacute;frig&eacute;rer le g&acirc;teau jusqu'au moment de servir. R&eacute;frig&eacute;rer les restes.",,,,,"43,024,310",0,0,2015-12-10 14:56:02,205
3515,Biscuits sandwich du Père Noël,https://www.quakeroats.ca/fr/recipes/biscuits-sandwich-du-père-noël,Desserts,Santa_20Sandwich_20Cookies-007_0.jpg,"Un biscuit c&rsquo;est bon, mais un biscuit sandwich c&rsquo;est encore meilleur. Deux biscuits délicieux réunis par du glaçage garni de décorations font une jolie gourmandise des Fêtes. Le père Noël ne se montre qu&rsquo;une fois par année, mais vous pouvez faire ces excellents biscuits aussi souvent qu&rsquo;il vous plaira.","1 tasse (2 bâtons) de margarine ou de beurre ramolli
1 tasse de sucre
1 cuillère à thé de vanille
1 3/4 tasse de farine tout usage
1 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/4 cuillère à thé de sel
1 contenant de 16 onces de glaçage à la vanille prêt à servir
Colorant alimentaire vert ou rouge (facultatif)
Sucre coloré et décorations des Fêtes
","Dans un grand bol, battre le beurre, le sucre et la vanille avec un malaxeur &eacute;lectrique jusqu&rsquo;&agrave; consistance cr&eacute;meuse. Dans un autre bol, combiner la farine, le gruau et le sel; bien m&eacute;langer.
Ajouter au m&eacute;lange de beurre; bien m&eacute;langer. Diviser la p&acirc;te en deux. Fa&ccedil;onner chaque moiti&eacute; en un rouleau de 2 po de diam&egrave;tre (environ 5 po de longueur). Emballer dans une pellicule en plastique; r&eacute;frig&eacute;rer au moins 3 heures.
Pr&eacute;chauffer le four &agrave; 350 &deg;F. D&eacute;baller un rouleau de p&acirc;te et le couper en tranches de 1/4 po. Disposer les tranches &agrave; intervalles de 1 po environ sur des plaques &agrave; biscuits non graiss&eacute;es. R&eacute;p&eacute;ter avec le reste de la p&acirc;te.
Cuire 12 &agrave; 14 minutes ou jusqu&rsquo;&agrave; ce que les bords soient l&eacute;g&egrave;rement dor&eacute;s. Laisser refroidir 1 minute sur la plaque &agrave; biscuits; transf&eacute;rer sur une grille. Laisser refroidir compl&egrave;tement.
Diviser le gla&ccedil;age en deux. Couvrir, r&eacute;frig&eacute;rer et r&eacute;server une moiti&eacute; du gla&ccedil;age pour usage ult&eacute;rieur. Colorer le reste du gla&ccedil;age avec le colorant alimentaire, au go&ucirc;t.
&Eacute;tendre le gla&ccedil;age sur la partie inf&eacute;rieure d&rsquo;un biscuit refroidi et recouvrir d'un biscuit. Rouler le rebord des biscuits dans les d&eacute;corations. R&eacute;p&eacute;ter pour les autres biscuits. Conserver dans un contenant herm&eacute;tique.",,,,,,"43,024,310",5,3,2015-12-10 14:56:02,206
3516,Bas du Père Noël,https://www.quakeroats.ca/fr/recipes/bas-du-père-noël,Desserts,Santas_20Stockings-057_0.jpg,"Exprimez votre créativité en donnant à cette délicieuse gourmandise la forme de Noël de votre choix. Des cerises ou des canneberges rehaussent non seulement le goût de ces biscuits, mais elles ajoutent aussi au plaisir de les confectionner.","1/2 livre (2 bâtons) de margarine ou de beurre ramolli
3/4 tasse de cassonade bien tassée
3/4 tasse de sucre blanc granulé
2 œufs
1 3/4 tasse de farine tout usage
2 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 cuillère à thé de cannelle moulue
1 cuillère à thé de bicarbonate de soude
1/2 cuillère à thé de sel (facultatif)
1/2 cuillère à table de sucre blanc granulé
1 cuillère à thé de cannelle moulue
","Pr&eacute;chauffer le four &agrave; 350 &deg;F. Graisser l&eacute;g&egrave;rement deux plaques &agrave; biscuits.
Battre la margarine, le sucre et la cassonade jusqu'&agrave; consistance cr&eacute;meuse. Ajouter l'&oelig;uf, le lait et l'essence d'amande et bien m&eacute;langer. Ajouter la farine, le bicarbonate de soude et le sel combin&eacute;s; bien m&eacute;langer.
Ajouter le gruau, les cerises s&eacute;ch&eacute;es et les amandes et bien m&eacute;langer.
Diviser la p&acirc;te en 4 portions &eacute;gales. Mouiller vos mains et modeler la p&acirc;te sur les plaques &agrave; biscuits en formes d'objets des F&ecirc;tes de 1/4 po d'&eacute;paisseur, comme des bas, des sapins ou des cannes de No&euml;l.
Cuire 12 &agrave; 14 minutes ou jusqu'&agrave; ce que les bords soient l&eacute;g&egrave;rement dor&eacute;s. Laisser refroidir 2 minutes sur les plaques &agrave; biscuits; transf&eacute;rer sur une grille avec une spatule large ou une spatule &agrave; cr&ecirc;pes. Laisser refroidir compl&egrave;tement. D&eacute;corer les biscuits au go&ucirc;t.","Pour faire des biscuits plus faciles &agrave; d&eacute;mouler, cuire &agrave; 375 &deg;F. Suivre la recette d&eacute;crite ci-dessus, mais d&eacute;poser des cuill&egrave;res &agrave; table combles de p&acirc;te sur les plaques &agrave; biscuits non graiss&eacute;es. Cuire 10 &agrave; 12 minutes ou jusqu'&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e. Laisser refroidir 1 minute sur les plaques; transf&eacute;rer sur une grille. Laisser refroidir compl&egrave;tement.
Pour offrir en cadeau : Envelopper les biscuits d&eacute;cor&eacute;s individuellement dans un cellophane. Emballer chaque biscuit dans un sac-cadeau individuel rempli de papier-chiffon aux couleurs des F&ecirc;tes.",,,,,"43,024,310",0,0,2015-12-10 14:56:02,207
3517,Biscuits Snickerdoodle,https://www.quakeroats.ca/fr/recipes/biscuits-snickerdoodle,Desserts,Snikerdoodle_20Drops-028_0.jpg,"Un classique des Fêtes parmi les favoris. Vous pouvez très bien offrir ces biscuits à ceux qui vous sont chers ou simplement les garder et vous en délecter. Quoi qu’il en soit, apportez un peu de nouveauté avec Quaker et passez de joyeuses Fêtes!","1/2 livre (2 bâtons) de margarine ou de beurre ramolli
3/4 tasse de cassonade bien tassée
3/4 tasse de sucre blanc granulé
2 œufs
1 3/4 tasse de farine tout usage
2 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 cuillère à thé de cannelle moulue
1 cuillère à thé de bicarbonate de soude
1/2 cuillère à thé de sel (facultatif)
1/2 cuillère à table de sucre blanc granulé
1 cuillère à thé de cannelle moulue
","Pr&eacute;chauffer le four &agrave; 375 &deg;F. Dans un grand bol, battre la margarine, la cassonade et 3/4 tasse de sucre blanc granul&eacute; jusqu&rsquo;&agrave; consistance cr&eacute;meuse. Ajouter les &oelig;ufs et bien m&eacute;langer. Ajouter la farine, le gruau, 1 cuill&egrave;re &agrave; th&eacute; de cannelle, le bicarbonate de soude et le sel combin&eacute;s; bien m&eacute;langer.
D&eacute;poser la p&acirc;te en portions d&rsquo;une cuiller&eacute;e &agrave; th&eacute; comble sur des plaques &agrave; biscuits non graiss&eacute;es. Saupoudrer l&eacute;g&egrave;rement chaque biscuit de sucre et de cannelle combin&eacute;s.
Cuire 8 &agrave; 10 minutes. Laisser refroidir 1 minute sur les plaques; d&eacute;poser sur une grille. Laisser refroidir compl&egrave;tement. Conserver dans un contenant herm&eacute;tique.",,,,,,"43,024,310",0,0,2015-12-10 14:56:02,208
3518,Mini-muffins Snickerdoodle,https://www.quakeroats.ca/fr/recipes/mini-muffins-snickerdoodle,Desserts,Snickerdoodle_20Mini_20Muffins-053_0.jpg,"Les mini-muffins sont toujours une belle surprise. Les muffins sont bons, mais les mini-muffins ont un petit côté accrocheur. Ajoutez à cela le goût classique d’une recette de Snickerdoodle contenant du gruau Quaker et vous obtenez une nouvelle collation fantastique.","3 cuillères à table de sucre
1 cuillère à thé de cannelle moulue
1/4 tasse de farine tout usage
1 1/4 tasse de farine de blé entier
1 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/3 tasse de cassonade tassée
1 cuillère à thé de poudre à pâte
1/2 cuillère à thé de bicarbonate de soude
1/2 cuillère à thé de sel
1 cuillère à thé de cannelle
1 tasse de jus de pomme
1 œuf légèrement battu
1/4 tasse d’huile végétale
1 cuillère à thé de vanille
","Pr&eacute;chauffer le four &agrave; 400 &deg;F. Vaporiser d'un enduit antiadh&eacute;sif le fond des moules &agrave; mini-muffins uniquement.
Pour la garniture, mettre le sucre et la cannelle dans un petit bol; bien m&eacute;langer et r&eacute;server.
Pour les muffins, bien m&eacute;langer la farine tout usage, la farine de bl&eacute; entier, le gruau, la cassonade, la poudre &agrave; p&acirc;te, le bicarbonate de soude, le sel et la cannelle dans un grand bol.
Dans un petit bol, bien m&eacute;langer le jus de pomme, l&rsquo;&oelig;uf, l&rsquo;huile et la vanille. Ajouter le tout aux ingr&eacute;dients secs; m&eacute;langer juste assez pour que les ingr&eacute;dients secs soient humect&eacute;s. (Ne pas trop m&eacute;langer.)
Remplir les moules &agrave; muffins aux deux tiers. Saupoudrer uniform&eacute;ment la garniture sur les muffins.
Cuire 14 &agrave; 18 minutes ou jusqu&rsquo;&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e. Laisser les muffins refroidir sur une grille, sans d&eacute;mouler, pendant 5 minutes; d&eacute;mouler. Servir chaud.","Pour pr&eacute;parer des muffins de taille r&eacute;guli&egrave;re, tapisser 12 moules &agrave; muffins moyens de moules en papier ou vaporiser le fond des moules seulement d'un enduit antiadh&eacute;sif. Pr&eacute;parer la p&acirc;te &agrave; muffins selon la recette. Remplir presque &agrave; ras bord les moules &agrave; muffins. Saupoudrer de garniture. Cuire 18 &agrave; 22 minutes ou jusqu&rsquo;&agrave; coloration dor&eacute;e. Laisser les muffins refroidir sur une grille, sans d&eacute;mouler, pendant 5 minutes; d&eacute;mouler. Servir chaud.",,,,,"43,024,310",0,0,2015-12-10 14:56:02,209
