ID,Category,Name,Background Color,Link,Image,Description,Ingredients,Alert,Portion,Nutrition Facts,Featured,Featured Image,Order
4889,RUFFLES<sup>®</sup> Potato Chips,RUFFLES<sup>®</sup> Regular Potato Chips,#1D7CD0,https://www.ruffles.ca/products/ruffles®-regular,regular_ruffles.png,"<p>Chips &lsquo;n&rsquo; dip for the win! Get your pals together and practice your snack-dunking skills with Ruffles&reg; Regular chips and your favourite Ruffles&reg; dip. Ruffles&reg; Regular chips will be a grand slam at your next party. Ah, we can already sense the start of a budding &quot;friend-chip&quot;.</p>","Specially selected potatoes, vegetable oil, salt.",Gluten-Free.,Amount per 50 g serving (21 chips),"- Calories 280 |
- Fat 18 g | 27 %
 -- Saturated 2 g |10 %
 -- + Trans 0 g |
- Cholesterol 0 mg | 0 %
- Sodium 290 mg | 12 %
- Carbohydrate 26 g | 9 %
 -- Fibre 2 g | 8 %
 -- Sugars 0 g | 
- Protein 3 g |
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 4 %
",0,,20
4893,RUFFLES<sup>®</sup> Potato Chips,RUFFLES<sup>®</sup> Lightly Salted Potato Chips,#A8EBFF,https://www.ruffles.ca/products/ruffles®-lightly-salted,Low_sodium_ruffles.png,"<p>Chips &lsquo;n&rsquo; dip for the win! Get your pals together and practice your snack-dunking skills with Ruffles&reg; Lightly Salted chips and your favourite Ruffles&reg; dip. Ruffles&reg; Lightly Salted chips will be a grand slam at your next party. Ah, we can already sense the start of a budding &quot;friend-chip&quot;.</p>","Specially selected potatoes, vegetable oil, salt.",Gluten-Free.,Amount per 50 g serving (21 chips),"- Calories 280 |
- Fat 18 g | 27 %
 -- Saturated 2 g |10 %
 -- + Trans 0 g |
- Cholesterol 0 mg | 0 %
- Sodium 140 mg | 6 %
- Carbohydrate 26 g |9 %
 -- Fibre 1 g |4  %
 -- Sugars 0 g | 
- Protein 3 g |
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 2 %
- Iron | 4 %
",0,,21
4890,RUFFLES<sup>®</sup> Potato Chips,RUFFLES<sup>®</sup> All Dressed Simulated Flavour Potato Chips,#9A57BA,https://www.ruffles.ca/products/ruffles®-all-dressed,All_dressed_ruffles.png,<p>Canada&rsquo;s very own. You&rsquo;ll enjoy this bag of Ruffles&reg; All Dressed chips if&hellip; 1. You enjoy unique Canadian food (it was invented here after all). 2. You&rsquo;re seeking something sweet AND salty AND savoury&hellip;all in ONE bag. 3. You love eating chips that will make your taste buds feel like they are going to explode.</p>,"Specially selected potatoes, vegetable oil, seasoning (corn maltodextrin, sugar, salt, sodium acetate, dextrose, torula yeast, acetic acid, monosodium glutamate, rice flour, spices, dehydrated garlic, dehydrated onion, malic acid, natural flavour), salt.",Gluten-Free.,Amount per 50 g serving (20 chips),"- Calories 270 |
- Fat 16 g | 25 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g |
- Cholesterol 0 mg | 0 %
- Sodium 580 mg | 24 %
- Carbohydrate 26 g | 9 %
 -- Fibre 2 g | 7 %
 -- Sugars 1 g  |
- Protein 3 g |
- Vitamin A | 0 %
- Vitamin C | 15 %
- Calcium | 2 %
- Iron | 4 %
",0,,22
4894,RUFFLES<sup>®</sup> Potato Chips,RUFFLES<sup>®</sup> Sour Cream 'n Onion Simulated Flavour Potato Chips,#95D568,https://www.ruffles.ca/products/ruffles®-sour-cream-n-onion,sour_cream_oinion.png,<p>The perfect flavour combo in one chip! Creamy and tangy. You already know you love the delicious flavour combination of smooth sour cream mixed with the distinct taste of green onion. Try us already!</p>,"Specially selected potatoes, vegetable oil, seasoning (skim milk powder, whey powder, dextrose, onion powder, corn maltodextrin, monosodium glutamate, spice, hydrogenated vegetable oil, corn syrup solids, citric acid, corn starch, yeast extract, disodium inosinate, disodium guanylate, sodium caseinate, natural flavour), salt.",Contains Milk Ingredients. Gluten-Free.,Amount per 50 g serving (20 chips),"- Calories 270 |
- Fat 16 g | 25 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g |
- Cholesterol 0 mg | 0 %
- Sodium 340 mg | 14 %
- Carbohydrate 26 g | 9 %
 -- Fibre 2 g | 7 %
 -- Sugars 3 g |
- Protein 4 g |
- Vitamin A | 0 %
- Vitamin C | 20 %
- Calcium | 4 %
- Iron | 4 %
",0,,23
4896,RUFFLES<sup>®</sup> Potato Chips,RUFFLES<sup>®</sup> Bar-B-Q Simulated Flavour Potato Chips,#E31A27,https://www.ruffles.ca/products/ruffles®-bar-b-q,bbq_ruffles.png,"<p>Smokin&rsquo; Gooood! Straight from the grill. The perfect weekend: You. Your buds. A smokin&rsquo; grill. Sauce and ribs galore. Nothing rivals the taste of flame-grilled BBQ sauce-covered eats&hellip; until now. Ruffles&reg; Bar&bull;B&bull;Q potato chips pack a bold, BBQ sauce-flavoured kick made just right. So grab a bag and don&rsquo;t be afraid to lick your fingers after each bite.</p>","Specially selected potatoes, vegetable oil, seasoning (sugar, dextrose, torula yeast, spice, onion powder, monosodium glutamate, hydrolyzed soy protein, rice flour, garlic powder, sodium acetate, acetic acid, extractives of paprika, natural flavour, disodium inosinate and disodium guanylate), salt.",Contains soy ingredients. Gluten-Free.,Amount per 50 g serving (20 chips),"- Calories 270 |
- Fat 17 g | 26 %
 -- Saturated 1.5 g | 9 %
 -- + Trans 0 g |
- Cholesterol 0 mg | 0 %
- Sodium 600 mg | 25 %
- Carbohydrate 26 g | 9 %
 -- Fibre 2 g | 8 %
 -- Sugars 2 g |
- Protein 3 g |
- Vitamin A | 2 %
- Vitamin C | 15 %
- Calcium | 2 %
- Iron | 6 %
