ID,Category,Name,Link,Image,Description,Ingredients,Alert,Portion,Nutrition Facts,Featured,Order
4889,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Nature,https://www.ruffles.ca/fr/products/ruffles®-nature,regular_ruffles.png,<p>Croustilles et trempette; tout le monde y gagne! Invitez vos amis et perfectionnez la façon dont vous plongez vos croustilles Ruffles&reg; Nature dans votre trempette Ruffles&reg; favorite. Les croustilles Ruffles&reg; Nature marqueront un point à votre prochain party. Ah! On peut déjà percevoir le début d'un duo inséparable!</p>,"Pommes de terre spécialement sélectionnées, huile végétale, sel.",Sans gluten.,Teneur par 50 g portion (21 croustilles),"- Calories 280 |
- Lipides 18 g | 27 %
 -- saturés 2 g |10 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 290 mg |12 %
- Glucides 26 g | 9 %
 -- Fibres 2 g | 8 %
 -- Sucres 0 g |
- Protéines 3 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 4 %
",0,1
4893,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Légèrement Salées,https://www.ruffles.ca/fr/products/ruffles®-légèrement-salées,Low_sodium_ruffles.png,<p>Croustilles et trempette; tout le monde y gagne! Invitez vos amis et perfectionnez la façon dont vous plongez vos croustilles Ruffles&reg; Légèrement salées dans votre trempette Ruffles&reg; favorite. Les croustilles Ruffles&reg; Légèrement salées marqueront un point à votre prochain party. Ah! On peut déjà percevoir le début d'un duo inséparable!</p>,"Pommes de terre spécialement sélectionnées, huile végétale, sel.",Sans gluten.,Teneur par 50 g portion (21 croustilles),"- Calories 280 |
- Lipides 18 g | 27 %
 -- saturés 2 g |10 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 140 mg | 6 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 0 g |
- Protéines 3 g |
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 4 %
",0,2
4890,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Saveur simulée Assaisonnées,https://www.ruffles.ca/fr/products/ruffles®-assaisonnées,All_dressed_ruffles.png,"<p>Une saveur totalement canadienne. Vous aimerez la saveur Ruffles&reg; Assaisonnées si&hellip; 1. Vous aimez la cuisine typiquement canadienne (après tout, elle a été créée chez nous). 2. Vous cherchez quelque chose de sucré ET salé ET savoureux&hellip; dans un MÊME sac. 3. Vous aimez les croustilles qui surprennent vos papilles.</p>","Pommes de terre spécialement sélectionées, huile végétale, assaisonnement (maltodextrine de maïs, sucre, sel, acétate de sodium, dextrose, levure torula, acide acétique, glutamate monosodique, farine de riz, épices, ail déshydraté, oignon déshydraté, acide malique, arôme naturel), sel.",Sans gluten.,Teneur par 50 g portion (20 croustilles),"- Calories 270 |
- Lipides 16 g | 25 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 580 mg | 24 %
- Glucides 26 g | 9 %
 -- Fibres 2 g | 7 %
 -- Sucres 1 g |
- Protéines 3 g |
- Vitamine A | 0 %
- Vitamine C |15 %
- Calcium | 2 %
- Fer | 4 %
",0,3
4894,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Saveur simulée Crème sure et oignon,https://www.ruffles.ca/fr/products/ruffles®-crème-sure-et-oignon,sour_cream_oinion.png,"<p>La combinaison de saveurs parfaite dans une croustille! Saveurs crémeuse et acidulée. Vous savez déjà que vous aimez la délicieuse saveur de la crème sure onctueuse jumelée au goût distinct de l'oignon vert. Allez-y, essayez-les!</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (lait écrémé en poudre, poudre de lactosérum, dextrose, oignon en poudre, maltodextrine de maïs, glutamate monosodique, épice, huile végétale hydrogénée, matière sèche de sirop de maïs, acide citrique, amidon de maïs, extrait de levure, inosinate disodique, guanylate disodique, caséinate de sodium, arôme naturel), sel.",Contient des ingrédients du lait. Sans gluten.,Teneur par 50 g portion (20 croustilles),"- Calories 270 |
- Lipides 16 g | 25 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 340 mg |14 %
- Glucides 26 g | 9 %
 -- Fibres 2 g | 7 %
 -- Sucres 3 g |
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 4 %
- Fer | 4 %
",0,4
4896,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Saveur simulée Bar-B-Q,https://www.ruffles.ca/fr/products/ruffles®-bar-b-q,bbq_ruffles.png,"<p>Vraiment Bon! Directement du barbecue. Le week-end parfait : Vous. Vos chums. Un barbecue fumant. Sauce et côtes levées à profusion. À ce jour, rien n'égale le goût de la viande grillée recouverte de sauce BBQ&hellip; Sauf que maintenant, Ruffles&reg; offre les croustilles Bar&bull;B&bull;Q remplies d'une audacieuse et parfaite saveur de sauce BBQ. Alors, prenez un sac et n'hésitez pas à vous lécher les doigts après chaque bouchée.</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (sucre, dextrose, levure torula, épice, oignon en poudre, glutamate monosodique, protéine de soja hydrolysée, farine de riz, poudre d’ail, acétate de sodium, acide acétique, extraits de paprika, arôme naturel, inosinate disodique, guanylate disodique), sel.",Contient des ingrédients de soja. Sans gluten.,Teneur par 50 g portion (20 croustilles),"- Calories 270 |
- Lipides 17 g | 26 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 600 mg | 25 %
- Glucides 26 g | 9 %
 -- Fibres 2 g | 8 %
 -- Sucres 2 g |
- Protéines 3 g | 
- Vitamine A | 2 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 6 %
",0,5
4898,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Saveur simulée Crème sure et bacon,https://www.ruffles.ca/fr/products/ruffles®-crème-sure-et-bacon,sour_cream_bacon_ruffles.png,"<p>Mmm du Bacon! Tout a meilleur goût avec du bacon! Des croustilles à saveur de bacon? BANG &ndash; incroyable! Maintenant, ajoutez-y une saveur de crème sure, et vous obtenez un goût encore plus renversant&nbsp;: les croustilles Ruffles&reg; Crème sure et bacon. Une combinaison de saveurs si exceptionnelle que vous resterez bouche bée.</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (maltodextrine de maïs, dextrose, arômes naturels, cassonade, glutamate monosodique, poudre de lactosérum, levure torula, crème en poudre, extrait de levure autolysée, fromages cheddar et suisse, paprika, crème sure, épices, colorant, arômes artificiels), sel.",Contient des ingrédients du lait. Sans gluten.,Teneur par 50 g portion (20 croustilles),"- Calories 270 |
- Lipides 16 g | 25 %
 -- saturés 2 g |10 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 420 mg | 18 %
- Glucides 27 g | 9 %
 -- Fibres 2 g | 7 %
 -- Sucres 2 g |
- Protéines 3 g |
- Vitamine A | 0 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",0,6
4900,Trempettes RUFFLES<sup>®</sup>,Trempette à saveur d'Oignon RUFFLES<sup>®</sup>,https://www.ruffles.ca/fr/products/ruffles®-oignon,dips_oinion_ruffles.png,"La trempette à Ruffles<sup>®</sup> crémeuse et savoureuse… la trempette parfaite pour votre prochain party! En format prêt-à-manger, cette trempette renferme un délicieux mélange d’épices et peut être dégustée avec les croustilles de votre choix. Et le meilleur? C’est que tout ce que vous avez à faire, c’est d’ouvrir le couvercle et d’y plonger vos croustilles — il n’y a rien de mieux que des croustilles et des trempettes crémeuses Ruffles<sup>®</sup>!","Eau, huile végétale, oignons, assaisonnement (sel, sucre, glutamate monosodique, oignon en poudre, colorant, arômes naturels, sulfites), concentré protéique de lactosérum, amidon de maïs modifié, amidon de tapioca modifié, glucono-delta-lactone, arôme (contient des ingrédients laitiers modifiés), ester diacétyl-tartrique des mono et diglycérides, acide lactique, phosphate de sodium, gomme xanthane.",Contient des ingrédients du lait et des sulfites.,Teneur par 33 g portion (2 tbsp),"- Calories 60 |
- Lipides 5 g |8 %
 -- saturés 0.5 g |3 %
 -- trans 0 g /
- Cholestérol 0 mg | 0 %
- Sodium 210 mg | 9 %
- Glucides 2 g | 1 %
 -- Fibres 0 g | 0 %
 -- Sucres 0 g |
- Protéines 1 g | 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 0 %
- Fer | 0 %
