ID,Title,Link,Categories,Image,Description,Ingredients,Directions,Notes,Prep Time,Total Time,Servings,Related Products,Related Recipes,Average Ratings,Num Ratings,Featured,Order
5916,Rosemary Cranberry White Bean Dip,https://www.stacys.ca/recipes/rosemary-cranberry-white-bean-dip,Savoury,Rosemary-Cranberry-White-Bean-Dip.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
1/4 Cup Olive Oil
1 tbsp Chopped Fresh Rosemary
2 Cloves Garlic, minced
214oz cans Cannellini Beans, drained
2 tsp Lemon Juice
1/2 tsp Kosher Salt
1/4 tsp Ground Black Pepper
1/4 Cup Dried Cranberries, chopped","In a skillet, heat olive oil, garlic and rosemary on low heat for about 10 minutes.
Put the cannellini beans and olive oil mix into a food processor and puree until smooth, add the lemon juice during this as well. 
Thin it out if needed by adding a few teaspoons of water.
Add the cranberries and pulse just until mixed in. 
Season with salt and pepper.
Garnish the dip with olive oil and cranberries and enjoy with Stacy's&reg; Simply Naked&reg; Pita Chips.",,10 min,10 min,,5488,"587,659,065,941",0,0,0,1
5866,Jalape&ntilde;o Hummus with Honey ,https://www.stacys.ca/recipes/jalapeño-hummus-honey,"Savoury,Spicy,Sweet",Jalapeno-Hummus-with-Honey.jpg,,"1 bag Stacy's&reg; Toasted Cheddar Pita Chips
1 jalape&ntilde;o, roasted with seeds removed
1 package Sabra Classic Hummus
2 tbsp Honey
Dash of Salt and Pepper","Remove seeds from the jalape&ntilde;o and slice into vertical pieces.
Bake the jalape&ntilde;o on broil in the oven, skin side up until the skin is black. 
Be sure to check the jalape&ntilde;o every few minutes (it should take about 10 minutes, but will be dependent on your oven).
While the jalape&ntilde;o is finished roasting, combine that, the Sabra Hummus, a dash of salt and pepper and the honey into your food processor.
Blend until smooth and combined. Serve with Stacy's&reg; Toasted Cheddar Pita Chips.",,5 min,10 min,,5484,"59,565,856",0,0,1,2
5871,Jalape&ntilde;o Pimento Cheese,https://www.stacys.ca/recipes/jalapeño-pimento-cheese,"Savoury,Spicy",Jalapeno-Pimento-cheese.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips
8 oz. Jalape&ntilde;o Cheddar Cheese, grated
2 tbsp Mayonnaise
4 oz. jar of Pimentos, drained and chopped
1/4 cup Greek Yogurt
1/4 tsp Garlic Powder
1/8 cup Pickled Jalape&ntilde;os, drained and chopped
1/8 tsp Cayenne Powder 
1/4 tsp Salt
1/4 tsp Ground Pepper
2 tsp Lemon Juice","Using a food processor or grater, shred cheddar cheese..
Add chopped pimentos, chopped jalape&ntilde;os, cayenne powder, salt, pepper, garlic powder, mayo, and 1/4 cup thick Greek yogurt..
Mix until combined..
Depending on texture you want, add more Greek yogurt..
Stir in lemon juice..
Serve with Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips",,10 min,,,5486,,0,0,1,3
5876,Lemon Rosemary Whipped Goat Cheese,https://www.stacys.ca/recipes/lemon-rosemary-whipped-goat-cheese,Savoury,Lemon-Rosemary-Whipped-Goat-Cheese.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
11 oz. Goat Cheese
3 tbsp Greek Yogurt, plain
2 tbsp Fresh Rosemary, diced
1 Lemon, zest
Dash of Salt and Pepper
3 tbsp Almonds, sliced","Using a food processor, combine the goat cheese, Greek yogurt, rosemary and lemon zest, blending until smooth. 
Season with salt and pepper to taste. 
Transfer to a serving dish and top with sliced almonds. 
Enjoy with Stacy's&reg; Simply Naked&reg; Pita Chips.",,5 min,,,5488,"591,659,065,941",0,0,1,4
5881,Queso w/Sabra Pico De Gallo,https://www.stacys.ca/recipes/queso-wsabra-pico-de-gallo,Spicy,Queso-with-Sabra-Pico-De-Gallo.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips 
1/2 Cup of heavy cream, depending on consistency desired                                                                                     
6 oz Cream Cheese, depending on consistency 
16 slices of American Cheese
1 cup of Sabra&reg; Pico de Gallo
1/4 cup Cream Cheese","In a medium size bowl mix the cream cheese and Sabra Pico de Gallo, set aside.
 In a medium saucepan add heavy cream and bring to a low simmer; adding one slice of American cheese at a time, whisk until completely melted. 
Once melted, stir in the Sabra&reg; Pico de Gallo and cream cheese until fully combined and serve with Stacy's&reg; Fire Roasted jalape&ntilde;o Pita Chips.",,5 min,5-10 min,,5486,5896,0,0,0,5
5886,Mediterranean Pita Chip Nachos,https://www.stacys.ca/recipes/mediterranean-pita-chip-nachos,Savoury,Mediterranean-Pita-Chip-Nachos_1.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
1 container Sabra&reg; Roasted Red Pepper Hummus
1/2 pound boneless skinless chicken breast
5 tbsp extra virgin olive oil
1 tbsp finely chopped garlic
1 tsp finely chopped fresh oregano
1 each lemon, zest and juice
1 each salt & pepper to taste
1 cup Roma tomatoes, small diced
1 cup cucumber, small diced
1/4 cup Kalamata olives, rough chopped","Mix the garlic and oregano together with 1 tbsp of olive oil and rub all over the chicken..
Season lightly with salt and pepper and cook until done either on the grill or in a saut&eacute; pan. Set aside and allow to cool..
Once cool, tear the chicken into shreds and mix with 2 tbsp of olive oil, one tbsp of lemon juice and 1 tsp of lemon zest. Refrigerate..
In a separate mixing bowl, combine the tomatoes, cucumbers and olives with another 2 tbsp of olive oil, 2 tsp of lemon juice and a pinch of salt and pepper. Mix together and refrigerate..
Spread about 1/2 tbsp of the hummus onto each pita chip, about 1/2 tbsp of the tomato salad and finally with a little lemon chicken..
Serve cold or room temperature..
Enjoy!",,20 min,40 min,,5488,"59,465,926",0,0,0,6
5891,"Stacy's&reg; Multigrain Pita Chips, Brie, Prosciutto & Fig Jam",https://www.stacys.ca/recipes/stacys®-multigrain-pita-chips-brie-prosciutto-fig-jam,Savoury,PAIRING-Stacys-Multigrain-pita-chips_2C-brie_2C-proscuitto-_26-fig-jam.jpg,,"Stacy's&reg; Multigrain Pita Chips
Brie
Fig Jam
Prosciutto","Top each Stacy's&reg; Multigrain Pita Chip with brie, prosciutto, and then fig jam",,5 min,,,5480,"5856,5956,5856,5886",0,0,0,7
5896,Pimento and Bacon Individual Cheese Balls,https://www.stacys.ca/recipes/pimento-and-bacon-individual-cheese-balls,Spicy,Pimento-and-Bacon-Individual-Cheese-Balls.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips
10 oz. Pimento Cheese
18 oz. Bacon, cooked and diced (should be 1 1/2 Cups)
1 1/2 Cups Pecans, roasted and finely chopped 
1 1/2 jalape&ntilde;os, seeded and finely chopped","Preheat oven to 350 degrees. Evenly lay out the pecans on a baking sheet and bake for 5-10 minutes until roasted. 
Once cool, chop the pecans finely.  
Seed and finely chop the jalape&ntilde;os. In a food processor, mix the bacon, pecans, and the jalape&ntilde;os until the mixture is combined evenly.
Transfer the pimento cheese into a medium bowl and using a spoon, form individual cheese balls to the size of your liking. 
Then roll each cheese ball in the mixture of bacon, jalape&ntilde;o and pecans, pressing the coating into to the mixture so it sticks. 
Refrigerate the cheese balls until they are firm and keep chilled until serving with Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips.",,15 min,35-50 min,,5486,,0,0,0,8
5901,Pomegranate-Avocado Pico de Gallo,https://www.stacys.ca/recipes/pomegranate-avocado-pico-de-gallo,Spicy,Pomegranate-Avocado-Pico-de-Gallo.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips 
1/2 Chopped Jalape&ntilde;o (add more for increased heat)
1/4 Cup Red Onion, 1/4"" diced
1 Clove Chopped fresh Garlic
1 Pinch Salt to taste
3/4 Cup Roma tomatoes, 1/4"" diced
1/2 Cups Pomegranate Seeds
2 tbsp Chopped Cilantro
1 Avocado, 1/4"" diced
Juice of 1 Lime","In a mixing bowl, combine the lime juice, jalape&ntilde;o, onion, garlic and salt and let sit for 5 minutes..
Fold in the tomatoes, pomegranate seeds and cilantro, and then gently fold in the avocado..
Serve with Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips.",,10 min,,,5486,,0,0,0,9
5906,Roasted Herb & Goat Cheese Dip,https://www.stacys.ca/recipes/roasted-herb-goat-cheese-dip,"Savoury,Sweet",Roasted-Herb-_26-Goat-Cheese-Dip.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
8 oz. Goat Cheese
4 oz. reduced fat Cream Cheese
1/4 tsp Thyme, minced
1/2 tsp sage, minced
1 1/2 tbsp parsley, minced
3 cloves garlic, minced
Ground black pepper
3 tbsp olive oil, individual
Herbs, for garnish","Preheat your oven to 350 degrees. Add the goat cheese, low fat cream cheese, herbs, garlic, dash of black pepper and 1 tbsp of the olive oil to a food processor. 
Pulse the mixture 30 seconds at a time until it's combined and herbs are mixed evenly throughout. 
Transfer the mixture into a oven safe dish and add a dash of pepper as well as the remaining 2 tbsp of olive oil over the surface. Bake the dish for about 15 minutes, or until the top is browning and bubbling. 
Garnish the dip with leftover herbs and a drizzle of olive oil. 
Serve immediately with Stacy's&reg; Simply Naked&reg; Pita Chips.",,10 min,15 min,,5488,"57,665,791",0,0,0,10
