nid,title,langcode,sponsor,url,Category,SubCategory,Keywords
2159,Baked 3-Cheese Jalapeño Popper Mac and Cheese with a LAY'S® Poppables™ Creamy Jalapeño Topping,en-us,Bustle,https://www.tastyrewards.com/en-us/recipes/baked-3-cheese-jalapeno-popper-mac-and-cheese-laysr-poppablestm-creamy-jalapeno-topping,Dish Type Recipes | Meal Time Recipes | Snack Recipes,Casserole Recipes | Dinner Recipes | Cheesy Recipes,Cheese|Cheesy|Dinner|Casserole|Mac and Cheese|Main dish|Spicy|Pasta
2257,Cap'n Crunch® French Toast,en-us,CAP'N CRUNCH,https://www.tastyrewards.com/en-us/recipes/capn-crunchr-french-toast,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes,Special Occasion Recipes | Breakfast & Brunch Recipes | Sweet Recipes,Bread|Breakfast|Eggs|Snack|Treat|Sweet
1790,Cauldron of Skeletreats,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cauldron-skeletreats,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes,Halloween Recipes | Desserts & Sweets Recipes | Sweet Recipes,Desserts|Halloween|Snack|Treat|Fall|Sweet
1518,Cheetos Crunchy® Flamin’ Hot® Corn,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetos-crunchyr-flamin-hotr-corn,Meal Time Recipes | Meal Time Recipes | Snack Recipes,Appetizer & Salad Recipes | Lunch Recipes | Spicy Recipes,Side dish|Entertaining|Appetizer|Lunch|Main dish|Spicy|Cinco de Mayo|Crunchy
1518,Cheetos Crunchy<sup>®</sup> Flamin’ Hot® Corn,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetos-crunchyr-flamin-hotr-corn,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes,Game Day Recipes | Appetizer & Salad Recipes | Spicy Recipes,Side dish|Entertaining|Appetizer|Super Bowl|Superbowl|Basketball|Football|Game Day|Snack|Treat|Spicy|Cinco de Mayo|Crunchy
2260,CHEETOS® Cheese Pizza,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-cheese-pizza,Meal Time Recipes | Meal Time Recipes | Snack Recipes,Dinner Recipes | Lunch Recipes | Cheesy Recipes,Cheese|Cheesy|Dinner|Lunch|Main dish|Pizza
2261,CHEETOS® FLAMIN' HOT® Mozzarella Cheese Sticks,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-flamin-hotr-mozzarella-cheese-sticks,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes | Snack Recipes,Game Day Recipes | Appetizer & Salad Recipes | Bite Size Recipes | Spicy Recipes,Side dish|Entertaining|Appetizer|Super Bowl|Superbowl|Basketball|Football|Game Day|Snack|Treat|Spicy|Cheese|Cheesy
1656,CHEETOS® FLAMIN' HOT<sup>®</sup> Fries,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-flamin-hotr-fries,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes | Snack Recipes,Game Day Recipes | Appetizer & Salad Recipes | Bite Size Recipes | Spicy Recipes,Side dish|Entertaining|Appetizer|Super Bowl|Superbowl|Basketball|Football|Game Day|Snack|Treat|Spicy
2262,CHEETOS® FLAMIN’ HOT® Fried Shrimp,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-flamin-hotr-fried-shrimp,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes | Snack Recipes,Game Day Recipes | Appetizer & Salad Recipes | Bite Size Recipes | Spicy Recipes,Side dish|Entertaining|Appetizer|Super Bowl|Superbowl|Basketball|Football|Game Day|Snack|Treat|Spicy|Seafood|Fish
2249,CHEETOS® PUFFS Marshmallow Treats,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-puffs-marshmallow-treats,Meal Time Recipes | Snack Recipes | Snack Recipes | Holiday & Special Occasion Recipes,Desserts & Sweets Recipes | Cheesy Recipes | Sweet Recipes | Thanksgiving Recipes,Cheese|Cheesy|Desserts|Thanksgiving|Snack|Treat|Fall|Sweet
1667,CHEETOS® Sweetos Hot Cakes,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-sweetos-hot-cakes-0,Meal Time Recipes | Holiday & Special Occasion Recipes | Snack Recipes,Breakfast & Brunch Recipes | Spring & Easter Recipes | Sweet Recipes,4th of July|Breakfast|Eggs|Snack|Treat|Sweet|Cake|Easter|Spring|Summer|Memorial Day
1660,CHEETOS<sup>®</sup> Crusted Fried Pickles + Creamy Ranch,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-crusted-fried-pickles-creamy-ranch,Dish Type Recipes | Meal Time Recipes | Snack Recipes | Snack Recipes,Dip Recipes | Appetizer & Salad Recipes | Dip Recipes | Savory Recipes,Side dish|Entertaining|Appetizer|Snack|Treat|Dip
1654,Cheetos<sup>®</sup> Flamin' Hot<sup>®</sup> Burrito,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-flamin-hotr-burrito,Snack Recipes | Meal Time Recipes | Meal Time Recipes,Spicy Recipes | Dinner Recipes | Lunch Recipes,Dinner|Lunch|Main dish|Spicy|Cinco de Mayo
1651,CHEETOS<sup>®</sup> FLAMIN' HOT<sup>®</sup> Chipotle Ranch Wings,en-us,CHEETOS,https://www.tastyrewards.com/en-us/recipes/cheetosr-flamin-hotr-chipotle-ranch-wings,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes | Snack Recipes,Game Day Recipes | Appetizer & Salad Recipes | Bite Size Recipes | Spicy Recipes,Side dish|Entertaining|Appetizer|Super Bowl|Superbowl|Basketball|Football|Game Day|Snack|Treat|Spicy|Cinco de Mayo
