nid,title,langcode,sponsor,url,Category,SubCategory,Keywords
1276,Crunchy Cheddar Red Pepper Dip,en,CHEETOS,https://www.tastyrewards.com/en-ca/recipes/crunchy-cheddar-red-pepper-dip,Dish Type Recipes | Meal Time Recipes | Snack Recipes ,Dip Recipes | Appetizer & Salad Recipes | Dip Recipes,Side dish|Entertaining|Appetizer|Snack|Treat|Dip|Crunchy|Vegetables
1477,Chewy Cheetos<sup>®</sup> Sugar Cookies,en,CHEETOS,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/chewy-cheetosr-sugar-cookies,Dish Type Recipes | Snack Recipes | Snack Recipes,Cookie Recipes | Cheesy Recipes | Sweet Recipes,Cheese|Cheesy|Cookies|Snack|Treat|Sweet
106,Oat and Bean Veggie Burgers,en,CHEETOS,https://www.tastyrewards.com/en-ca/recipes/oat-and-bean-veggie-burgers,Meal Time Recipes | Meal Time Recipes ,Lunch Recipes | Dinner Recipes,Sandwich|Dinner|Lunch|Main dish|Vegetables|Vegetarian
1518,Cheetos Crunchy<sup>®</sup> Flamin’ Hot<sup>®</sup> Corn,en,CHEETOS,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/cheetos-crunchyr-flamin-hotr-corn,Meal Time Recipes | Meal Time Recipes | Snack Recipes,Appetizer & Salad Recipes | Lunch Recipes | Spicy Recipes,Side dish|Entertaining|Appetizer|Lunch|Main dish|Spicy|Cinco de Mayo|Crunchy
2217,Mac ‘n Cheese with Cheetos<sup>®</sup>,en,CHEETOS,https://www.tastyrewards.com/en-ca/recipes/cheetos-crunchyr-flamin-hotr-and-cheetosr-puffs-white-cheddar-mac-n,Holiday & Special Occasion Recipes | Meal Time Recipes,Special Occasion Recipes | Dinner Recipes,Cheese|Cheesy|Dinner|Lunch|Holidays|Entertaining|Mac and Cheese|Pasta|Main dish
2074,Egg and Avocado Mornings,en,CRISPY MINIS,https://www.tastyrewards.com/en-ca/recipes/egg-and-avocado-mornings,Meal Time Recipes | Snack Recipes,Breakfast & Brunch Recipes | Savory Recipes,Breakfast|Eggs|Savory 
2110,The Delicious Monkey,en,CRISPY MINIS,https://www.tastyrewards.com/en-ca/recipes/delicious-monkey,Holiday & Special Occasion Recipes | Meal Time Recipes | Snack Recipes,Special Occasion Recipes | Desserts & Sweets Recipes | Sweet Recipes,Desserts|Holidays|Entertaining|Sweet|Treat
1308,DORITOS<sup>®</sup>  Leftover Brisket Nachos,en,Doritos,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/doritosr-leftover-brisket-nachos,Dish Type Recipes | Holiday & Special Occasion Recipes ,Nacho Recipes | Game Day Recipes,Nacho|Super Bowl|Superbowl|Basketball|Football|Game Day
168,Zesty Macaroni Salad,en,Doritos,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/zesty-macaroni-salad,Dish Type Recipes | Holiday & Special Occasion Recipes | Meal Time Recipes,Salad Recipes | Spring & Easter Recipes | Appetizer & Salad Recipes,Side dish|Entertaining|Appetizer|Salad|Pasta|Easter|Spring|Summer|Cinco de Mayo|4th of July|Memorial Day
1182,Cheesy Veggie Macaroni Salad,en,Doritos,https://www.tastyrewards.com/en-ca/recipes/cheesy-veggie-macaroni-salad,Dish Type Recipes | Holiday & Special Occasion Recipes | Meal Time Recipes,Salad Recipes | Spring & Easter Recipes | Appetizer & Salad Recipes,Side dish|Entertaining|Appetizer|Mac and Cheese|Salad|Pasta|Easter|Spring|Summer|4th of July|Vegetables|Memorial Day
1482,Layered & Loaded Doritos<sup>®</sup> Casserole,en,Doritos,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/layered-loaded-doritosr-casserole,Dish Type Recipes | Meal Time Recipes,Casserole Recipes | Dinner Recipes,Dinner|Casserole|Main dish
107,Layered Doritos Tacos,en,Doritos,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/layered-doritos-tacos,Meal Time Recipes | Meal Time Recipes,Dinner Recipes | Lunch Recipes,Sandwich|Dinner|Lunch|Main dish
1479,Doritos<sup>®</sup> Taco Salad Bowl,en,Doritos,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/doritosr-taco-salad-bowl,Meal Time Recipes | Meal Time Recipes | Dish Type Recipes | Meal Time Recipes,Dinner Recipes | Lunch Recipes | Salad Recipes | Appetizer & Salad Recipes,Side dish|Entertaining|Appetizer|Dinner|Lunch|Main dish|Salad|Cinco de Mayo|Sandwich|Vegetables
142,Easy-Peasy Pizzas,en,Doritos,https://www.tastyrewards.com/en-ca/brands/tostitos/recipes/easy-peasy-pizzas,Meal Time Recipes | Meal Time Recipes | Snack Recipes,Dinner Recipes | Lunch Recipes | Cheesy Recipes,Easy|Quick|Cheese|Cheesy|Dinner|Lunch|Main dish|Pizza
