ID,Name,Description,Image,Recipes
6671,Fall Favourites,Fall in love with these delicious & simple autumn-inspired recipes,recipe_hd_pumpkin-tortilla-scoops_0.jpg,"[5122] Cheesy Witch’s Brooms
[5128] Squash and Maple Nachos
[5127] Pumpkin Tortilla Scoops!®
[5020] Baked Maple Brie
[5101] Apple Crumble Minis
[5089] Feta, Date and Honey Dip
[5133] Southwest Porcupine Cheese Ball
[5098] Salted Caramel & Chocolate Bark
[5115] Tortilla Soup
[5110] Twice Baked Tex Mex Sweet Potatoes
"
6036,Fresh Ideas,,recipe_hd_fresh-cherry-tomato-and-avocado-salad-cups_0.jpg,"[6041] Warm Kale Triangles
[6046] Baked Avocado Eggs
[5129] Chicken Mango Scoops!®
[5138] Smoked Salmon Dip
[5030] Avocado Lime and Black Bean Salsa
[5038] Creamy Cinnamon Fruit Scoops!®
[5050] Avocado & Cherry Tomato Multigrain Scoops!®
[5066] Spicy Yogurt Cucumber Dip
[5081] Roasted Eggplant Dip
[5086] Cheesy Bean and Kale Bake
[5090] Fresh Cherry Tomato & Avocado Salad Cups
[5110] Twice Baked Tex Mex Sweet Potatoes
[7121] Charred Avocado and Chicken Nachos 
"
5330,Super Bowl,It’s game on! Win with these recipes!,recipe_french_hd_beef-queso-fundido-dip_0_1.jpg,"[5080] Lasagna Nachos
[5096] Turkey Chili Nacho Dip
[5097] Canadian Cheese Steak
[5102] Chilaquiles Con Tostitos®
[5103] Gouda Mushroom Beer Dip
[5104] Thai Chicken Taco Bites
[5105] Huevos Rancheros Tapas
[5106] Ultimate Four Cheese Nachos
[5107] Crunchy Jalapeño Bites
[5082] Taco Night in One Bite
[5083] Salmon Cheese Bites
[5084] Beef Queso Fundido Dip
[5092] Pizza Rounds
[5108] Taco Pizza
[5110] Twice Baked Tex Mex Sweet Potatoes
[5130] Cheeseburger Nachos
[5131] Fried Egg and Tostitos® Salsa Sandwich
[5134] Philly Cheese Steak Nachos
[5135] Cool Greek-Style Nachos
[5125] Gravy Poutine Nachos
[5124] Italian Nachos
[5111] Enchilada Skillet
[5112] Cheesy Chicken Flautas
[5115] Tortilla Soup
[5118] Tuna Melts
[5122] Cheesy Witch’s Brooms
[5079] Mini Huevos Rancheros
[5042] Snappy Salsa Bacon Dip
[5043] Spicy Cheese with Ground Beef
[5022] Chili Cheesy Nachos
[5026] Mozzarella Boulettes
[5030] Avocado Lime and Black Bean Salsa
[5031] Chipotle Salsa
[5032] Garden Lime Dip
[5050] Avocado & Cherry Tomato Multigrain Scoops!®
[5068] Western Omelet Bites
[5070] Chorizo and Manchego Cheese Party Nachos
[5065] Sloppy Salsa Joes
[5063] Pomegranate Guacamole
[5051] Baked Salsa Ham Roll-Ups
[5061] Italian Chicken Dip
[5078] Mini Shredded Chicken Tostadas
[5986] Chicken Fajita Nachos
"
5331,Family Snack Attack,Spend some quality time with these sweet and savoury favourites.  ,recipe_hd_smore-bites_1_0.jpg,"[5107] Crunchy Jalapeño Bites
[5086] Cheesy Bean and Kale Bake
[5087] Chili Cheese Bake
[5089] Feta, Date and Honey Dip
[5092] Pizza Rounds
[5109] Hashbrown Waffle Breakfast Stack
[5113] Savoury Crepes
[5114] Shrimp Tostada Bites
[5115] Tortilla Soup
[5117] Fancy Grilled Cheese Bites
[5120] Buffalo Chicken Nachos
[5079] Mini Huevos Rancheros
[5020] Baked Maple Brie
[5036] Sun-dried Tomato and Roasted Red Pepper Dip
[5044] Girlfriend-Friendly Dip
[5045] Savoury Veggie Nachos
[5046] Caesar Scoops!®
[5047] Garden Gazpacho Dip
[5035] Hot Onion and Parmesan Dip
[5021] Roasted Red Pepper Cheesy Dip
[5023] Swiss Almond Cheese Dip
[5024] Taco Con Queso Dip
[5025] Hot Cheese Bake
[5027] Buffalo Mozzarella Bites
[5028] Tasty Taco Bean Dip
[5029] Black Bean Nachos
[5070] Chorizo and Manchego Cheese Party Nachos
[5071] Breakfast Burrito
[5075] Red Pepper Pesto Bruschetta
[5076] Dessert Nachos
[5064] S'more Bites
[5052] Blue Cheese & Chive Dip
[5055] Bug Bites
[5058] Fro-Yo Bites
[5084] Beef Queso Fundido Dip
[5094] Tabbouleh Scoops!®
[5086] Cheesy Bean and Kale Bake
[5091] Sautéed Veggie Scoops!®
[5117] Fancy Grilled Cheese Bites
[5118] Tuna Melts
[5043] Spicy Cheese with Ground Beef
[5044] Girlfriend-Friendly Dip
[5024] Taco Con Queso Dip
[5028] Tasty Taco Bean Dip
[5029] Black Bean Nachos
[5050] Avocado & Cherry Tomato Multigrain Scoops!®
[5070] Chorizo and Manchego Cheese Party Nachos
[5076] Dessert Nachos
[5063] Pomegranate Guacamole
[5055] Bug Bites
[5058] Fro-Yo Bites
"
5333,Time Crunch,Tasty snacks made in minutes.,FriedEggTostitosSalsaSandwich.jpg.resized_0_0_0.jpg,"[5102] Chilaquiles Con Tostitos®
[5105] Huevos Rancheros Tapas
[5081] Roasted Eggplant Dip
[5089] Feta, Date and Honey Dip
[5090] Fresh Cherry Tomato & Avocado Salad Cups
[5108] Taco Pizza
[5109] Hashbrown Waffle Breakfast Stack
[5126] Prosciutto and Apricot Rolls
[5131] Fried Egg and Tostitos® Salsa Sandwich
[5132] Chicken and Mango Salsa Bites
[5133] Southwest Porcupine Cheese Ball
[5136] Shrimp Mango Salad
[5112] Cheesy Chicken Flautas
[5113] Savoury Crepes
[5118] Tuna Melts
[5138] Smoked Salmon Dip
[5020] Baked Maple Brie
[5036] Sun-dried Tomato and Roasted Red Pepper Dip
[5041] Cranberry-Avocado Scoops!®
[5021] Roasted Red Pepper Cheesy Dip
[5023] Swiss Almond Cheese Dip
[5025] Hot Cheese Bake
[5027] Buffalo Mozzarella Bites
[5049] Artichoke Gratin
[5072] One-bite Fish Tacos
[5077] Layered Greek Dip
[5064] S'more Bites
"
5334,Gimme Nachos,Load'em up! Nacho recipes that will get you munching.,CheeseburgerNachos.jpg.resized_1.jpg,"[5080] Lasagna Nachos
[5096] Turkey Chili Nacho Dip
[5097] Canadian Cheese Steak
[5106] Ultimate Four Cheese Nachos
[5107] Crunchy Jalapeño Bites
[5082] Taco Night in One Bite
[5086] Cheesy Bean and Kale Bake
[5110] Twice Baked Tex Mex Sweet Potatoes
[5127] Pumpkin Tortilla Scoops!®
[5129] Chicken Mango Scoops!®
[5130] Cheeseburger Nachos
[5134] Philly Cheese Steak Nachos
[5135] Cool Greek-Style Nachos
[5125] Gravy Poutine Nachos
[5124] Italian Nachos
[5123] Holiday Sweet Potato Nachos
[5114] Shrimp Tostada Bites
[5122] Cheesy Witch’s Brooms
[5044] Girlfriend-Friendly Dip
[5022] Chili Cheesy Nachos
[5024] Taco Con Queso Dip
[5028] Tasty Taco Bean Dip
[5029] Black Bean Nachos
[5065] Sloppy Salsa Joes
[5061] Italian Chicken Dip
[5986] Chicken Fajita Nachos
"
5335,Backyard BBQ,Outside eating at its best.,recipe_french_hd_california-sushi-nachos_0_0.jpg,"[5104] Thai Chicken Taco Bites
[5094] Tabbouleh Scoops!®
[5083] Salmon Cheese Bites
[5085] Watermelon pico de gallo
[5087] Chili Cheese Bake
[5091] Sautéed Veggie Scoops!®
[5092] Pizza Rounds
[5130] Cheeseburger Nachos
[5132] Chicken and Mango Salsa Bites
[5134] Philly Cheese Steak Nachos
[5135] Cool Greek-Style Nachos
[5136] Shrimp Mango Salad
[5111] Enchilada Skillet
[5115] Tortilla Soup
[5119] Jacked Up Salsa
[5120] Buffalo Chicken Nachos
[5121] California Sushi Nachos
[5138] Smoked Salmon Dip
[5079] Mini Huevos Rancheros
[5034] Zesty Salsa
[5048] Blue Cheese Scoops!®
[5069] White Garlic Dip
[5072] One-bite Fish Tacos
[5073] Asian Salad Scoops!®
[5053] Brie & Pecan Bites
[5054] Veggie Delight Dip
[5056] Chickpea Salsa
[5059] Goat Cheese and Herb Bites
[5060] Herbed Feta Dip
[5074] Baked Hawaiian Skillet Nachos
[6041] Warm Kale Triangles
"
5337,Festive Favourites,Recipes you can really celebrate with.,recipe_french_hd_holiday-sweet-potato-nachos_0_0.jpg,"[5098] Salted Caramel & Chocolate Bark
[5099] Brie Bites Three Ways
[5100] Summer Mango Salsa with Flaked Salmon
[5103] Gouda Mushroom Beer Dip
[5084] Beef Queso Fundido Dip
[5088] Egg Salad Bites
[5127] Pumpkin Tortilla Scoops!®
[5128] Squash and Maple Nachos
[5123] Holiday Sweet Potato Nachos
[5037] Salsa Spinach Dip
[5040] Brie & Cranberry Bites
[5041] Cranberry-Avocado Scoops!®
[5042] Snappy Salsa Bacon Dip
[5035] Hot Onion and Parmesan Dip
[5034] Zesty Salsa
[5033] Li'l Tots Spinach Dip
[5026] Mozzarella Boulettes
[5030] Avocado Lime and Black Bean Salsa
[5031] Chipotle Salsa
[5032] Garden Lime Dip
[5049] Artichoke Gratin
[5050] Avocado & Cherry Tomato Multigrain Scoops!®
[5066] Spicy Yogurt Cucumber Dip
[5067] Tomato Avocado Salsa
[5068] Western Omelet Bites
[5075] Red Pepper Pesto Bruschetta
[5063] Pomegranate Guacamole
[5051] Baked Salsa Ham Roll-Ups
[5057] Chunky Dip
[5062] Mexi-Salad
[5078] Mini Shredded Chicken Tostadas
[5038] Creamy Cinnamon Fruit Scoops!®
[5039] Cold Melon Salsa
[6046] Baked Avocado Eggs
"
5338,Weekend Worthy,Tasty enough for your time off.,recipe_french_hd_asian-salad-scoops_0_1.jpg,"[5080] Lasagna Nachos
[5096] Turkey Chili Nacho Dip
[5097] Canadian Cheese Steak
[5101] Apple Crumble Minis
[5102] Chilaquiles Con Tostitos®
[5103] Gouda Mushroom Beer Dip
[5104] Thai Chicken Taco Bites
[5105] Huevos Rancheros Tapas
[5106] Ultimate Four Cheese Nachos
[5093] Sweet Ricotta Tarts with Fresh Berries
[5082] Taco Night in One Bite
[5083] Salmon Cheese Bites
[5084] Beef Queso Fundido Dip
[5108] Taco Pizza
[5109] Hashbrown Waffle Breakfast Stack
[5110] Twice Baked Tex Mex Sweet Potatoes
[5128] Squash and Maple Nachos
[5131] Fried Egg and Tostitos® Salsa Sandwich
[5132] Chicken and Mango Salsa Bites
[5136] Shrimp Mango Salad
[5124] Italian Nachos
[5111] Enchilada Skillet
[5112] Cheesy Chicken Flautas
[5113] Savoury Crepes
[5114] Shrimp Tostada Bites
[5116] Chocolate & Bacon Explosion
[5119] Jacked Up Salsa
[5121] California Sushi Nachos
[5122] Cheesy Witch’s Brooms
[5138] Smoked Salmon Dip
[5042] Snappy Salsa Bacon Dip
[5043] Spicy Cheese with Ground Beef
[5022] Chili Cheesy Nachos
[5026] Mozzarella Boulettes
[5068] Western Omelet Bites
[5069] White Garlic Dip
[5071] Breakfast Burrito
[5072] One-bite Fish Tacos
[5073] Asian Salad Scoops!®
[5065] Sloppy Salsa Joes
[5051] Baked Salsa Ham Roll-Ups
[5052] Blue Cheese & Chive Dip
[5054] Veggie Delight Dip
[5057] Chunky Dip
[5061] Italian Chicken Dip
[5078] Mini Shredded Chicken Tostadas
[5986] Chicken Fajita Nachos
[5074] Baked Hawaiian Skillet Nachos
[6041] Warm Kale Triangles
"
5339,Something Sweet,Snacks on the sweeter side.,recipe_french_hd_dessert-nachos_0_0.jpg,"[5098] Salted Caramel & Chocolate Bark
[5101] Apple Crumble Minis
[5095] Tiramisu Scoops!®
[5093] Sweet Ricotta Tarts with Fresh Berries
[5089] Feta, Date and Honey Dip
[5127] Pumpkin Tortilla Scoops!®
[5137] Mixed Bean Mango Salsa with Avocado
[5123] Holiday Sweet Potato Nachos
[5116] Chocolate & Bacon Explosion
[5117] Fancy Grilled Cheese Bites
[5020] Baked Maple Brie
[5076] Dessert Nachos
[5064] S'more Bites
[5055] Bug Bites
[5058] Fro-Yo Bites
"
