ID,Category,Name,Link,Image,Shape,Description,Ingredients,Alert,Portion,Nutrition Facts,Claims
4539,Tostitos® Chips,Chips tortilla Tostitos® Petites bouchées rondes,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-petites-bouchées-rondes,320g_Tostitos_Rounds_0.png,Ronde,"Allez-y! Plongez ces petites bouchées rondes d'une grosseur parfaite dans une salsa Tostitos® et savourez-les entières. Elles sont identiques aux chips tortilla Tostitos® Style restaurant, sauf qu'elles sont plus petites et rondes. Faites de maïs blanc de première qualité, les chips tortilla Tostitos® Petites bouchées rondes offrent une texture croustillante à souhait et un goût léger en tout temps! Chaque chips présente une texture croquante, haute en saveur et est assaisonnée d’un soupçon de sel. Accompagnez vos chips tortilla Tostitos® d’une délicieuse salsa Tostitos® pour offrir à vos invités une expérience de saveurs uniques.","Maïs, huile végétale, sel, hydroxyde de calcium.",,Teneur par 50 g portion (40 croustilles),"- Calories | 260 
- Lipides 13 g | 20 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 200 mg | 8 %
- Glucides 32 g | 11 %
 -- Fibres 3 g | 12 %
 -- Sucres 1 g 
- Protéines 4 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 6 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificial, arôme artificiel ou agent de conservation
Sans cholestérol
Sans gluten
"
7081,Tostitos® Chips,Chips tortilla Tostitos® Zeste de Jalapeño,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-zeste-de-jalapeño,Tostitos-Hint-Of-Jalapeno_0.png,Triangle,"Des chips tortilla assaisonnées d’un soupçon de jalapeño!

Pimentez vos rencontres sociales ou partys avec un sac de chips tortilla assaisonnées Tostitos® Zeste de Jalapeño pour un succès instantané!

Ces chips tortilla croquantes, faites avec du maïs blanc de première qualité, sont légèrement assaisonnées d’une touche épicée pour offrir une expérience de saveur parfaite et authentique dans chaque bouchée. Dégustez-les telles quelles ou accompagnez-les de votre trempette Con queso ou de votre salsa préférée pour en rehausser la saveur!","MAÏS, HUILE VÉGÉTALE, ASSAISONNEMENT (MALTODEXTRINE DE MAÏS, SEL, AROMES NATURELS, DEXTROSE, PIMENT JALAPEÑO, CRÈME SURE, OIGNON EN POUDRE, LEVURE TORULA, SUCRE, ÉPICE, EXTRAIT DE LEVURE, POUDRE DE LACTOSÉRUM, POUDRE D’AIL), HYDROXYDE DE CALCIUM.",CONTIENT DES INGRÉDIENTS DU LAIT.,Pour 11 croustilles (50 g),"- Calories | 260 
- Lipides 13 g | 20 %
 -- Saturés 2 g 
 -- Trans 0 g | 10 %
- Cholestérol 0 mg | 0 %
- Sodium 240 mg | 10 %
- Glucides 33 g | 11 %
 -- Fibres 3 g | 12 %
 -- Sucres 1 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 6 %
- Fer | 4 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol
Sans gluten
"
4535,Tostitos® Chips,Chips tortilla Tostitos® Soupçon de lime,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-zeste-de-lime,300g_Tostitos_HOL_1.png,Triangle,"Des chips tortilla assaisonnées d'un soupçon de lime! Servez une collation qui a du mordant quelle que soit l’occasion avec les chips tortilla Tostitos® Soupçon de lime. On retrouve dans chacune de ces chips croustillantes faites de maïs blanc de première qualité juste assez de saveur de lime pour leur donner du mordant! Idéales pour être dégustées avec de la trempette ou être partagées. En fait, elles sont parfaites pour toutes les occasions!","Maïs, huile végétale, assaisonnement (maltodextrine de maïs, sel, sucre, arômes naturels [contient de l'arôme naturel de lime], dextrose, crème sure, son de maïs, lactosérum, persil, extrait de levure), hydroxyde de calcium.",Contient des ingrédients du lait.,Teneur par 50 g portion (11 croustilles),"- Calories 270 
- Lipides 13 g | 21 %
 -- Saturés 2 g | 10 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 230 mg | 10 %
- Glucides 33 g | 11 %
 -- Fibres 3 g | 12 %
 -- Sucres 1 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 6 %
- Fer | 4 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol
Sans gluten
"
4540,Tostitos® Chips,Chips tortilla Tostitos® Rondes à faible teneur en sodium,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-rondes-à-faible-teneur-en-sodium,320g_Tostitos_LSRnds_0.png,Ronde,"Chaque portion de 50 g de Tostitos® Rondes à faible teneur en sodium contient 25 % moins de sodium que les chips tortilla Tostitos® Petites bouchées rondes. Ces petites bouchées sont incroyablement croquantes et légèrement salées, c’est pourquoi les chips tortilla Tostitos® Rondes à faible teneur en sodium sont l’accompagnement parfait pour vos salsas ou trempettes Tostitos®.","Maïs, huile végétale, sel, hydroxyde de calcium",,Teneur par 50 g portion (40 croustilles),"- Calories | 260 
- Lipides 13 g | 20 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 140 mg | 6 %
- Glucides 32 g | 11 %
 -- Fibres 3 g | 12 %
 -- Sucres 0 g 
- Protéines 4 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 6 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol
Sans gluten
"
4532,Tostitos® Chips,Chips tortilla Tostitos® Style restaurant,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-style-restaurant,300g_Tostitos_RSTCv2.png,Triangle,"Découvrez le goût authentique des chips tortilla Tostitos® Style restaurant. Délicieusement croustillantes et légères au goût, elles sont faites de maïs blanc de premier choix. Ces délicieuses chips tortilla accompagnent à merveille les trempettes, puisque leur goût authentique fait ressortir la saveur d’une grande variété de trempettes et de salsas. Faites de votre prochaine rencontre amicale un événement mémorable en servant les chips tortilla Tostitos® Style restaurant.","Maïs, huile végétale, sel, hydroxyde de calcium.",,Teneur par 50 g portion (12 croustilles),"- Calories | 260 
- Lipides 12 g | 19 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 210 mg | 9 %
- Glucides 34 g | 11 %
 -- Fibres 3 g | 12 %
 -- Sucres 0 g 
- Protéines 4 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 6 %
- Fer | 4 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol
Sans gluten
"
4544,Tostitos® Chips,Chips tortilla Tostitos® Scoops!®,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-scoops®,220_Tostitos_Scoopsv2.png,Scoops,"En forme de petits bols, ces chips tortilla croustillantes à point peuvent contenir plus de salsa que toute autre croustille! Leur forme amusante et pratique vous permet de les remplir plus facilement de votre salsa ou de votre trempette Tostitos® préférée! Remplissez-les, puis croquez-les. En plus d'être merveilleusement délicieuses et légères au goût, elles sont faites de maïs blanc de première qualité. Ce sont les championnes de la trempette! Servez les chips tortilla Tostitos® Scoops! et que le plaisir commence!","Maïs, huile végétale, sel, hydroxyde de calcium.",,Teneur par 50 g portion (23 croustilles),"- Calories | 260 
- Lipides 12 g | 19 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 210 mg | 9 %
- Glucides 33 g | 11 %
 -- Fibres 3 g | 12 %
 -- Sucres 0 g 
- Protéines 4 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 4 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol
Sans gluten
"
4541,Tostitos® Chips,Chips tortilla Tostitos® Multigrain rondes,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-multigrain-rondes,290g_Tostitos_MultiRnds.png,Ronde,"Les chips tortilla Tostitos® Multigrain renferment les bienfaits de quatre types de grains entiers : maïs, sarrasin, avoine et blé. Servez les chips tortilla Tostitos® Multigrain Rondes avec votre salsa Tostitos® préférée ou servez-les en nachos et regardez vos invités les dévorer en un rien de temps.","Maïs, huile végétale, amidon de maïs, farine de sarrasin entier, farine d'avoine entière, sucre, farine de blé entier, germe de maïs grillé, sel, hydroxyde de calcium.  ",Contient des ingrédients de l’avoine et du blé.,Teneur par 50 g portion (34 croustilles),"- Calories | 260 
- Lipides 13 g | 20 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 200 mg | 9 %
- Glucides 33 g | 11 %
 -- Fibres 3 g | 13 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 6 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol"
4543,Tostitos® Chips,Chips tortilla Tostitos® Scoops ! ® Multigrain,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos®-scoops-®-multigrain,220g_Tostitos_MultiScoops_0.png,Scoops,"Qu’est-ce qui est apparu en premier : les croustilles ou le bol? Dans un cas comme dans l’autre, les chips tortilla Tostitos® Scoops!® Multigrain combinent les deux à la perfection! Avec chaque bouchée au goût léger vient une bonne dose de bienfaits du maïs, de la farine de sarrasin, de la farine d’avoine entière et de la farine de blé entier. Servez ces chips tortilla multigrain à la prochaine occasion. Que ce soit pour un souper familial à la mexicaine ou un soir de match avec les amis, servez les chips tortilla Tostitos® Multigrain Scoops!®. Il y en a pour tous!","Maïs, huile végétale, farine de riz brun entier, farine de sarrasin entier, sucre, germe de maïs grillé, sel, arôme naturel, hydroxyde de calcium.
",,Teneur par 50 g portion (21 croustilles),"- Calories | 260 
- Lipides 12 g | 18 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 220 mg | 9 %
- Glucides 35 g | 12 %
 -- Fibres 3 g | 12 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 0 %
- Fer | 4 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol"
4545,Salsa and Dips,Salsa à l'ail rôti Tostitos®,https://www.tostitos.ca/fr/products/salsa-à-lail-rôti-tostitos®,CPK00522_Tostitos_Salsa_Roasted%20Garlic_423ml_0.png,Salsa,"<p>Les amateurs d'ail adoreront la salsa à l'ail rôti Tostitos&reg; qui regorge d'ail délicieusement rôti auquel on a ajouté des tomates sur vigne, des oignons et des piments jalapeños. Dégustez-la avec des chips tortilla Tostitos&reg; ou utilisez-la comme garniture pour la viande, le poisson ou les œufs! Lors de votre prochaine rencontre amicale, placez des bols de salsa à l'ail rôti Tostitos&reg; de 15 onces à différents endroits dans la pièce et comblez vos invités de plaisir.</p>","Purée de tomates (eau, concentré de tomates), tomates en dés dans du jus de tomates (contient chlorure de calcium, acide citrique), piments jalapeño, eau, oignons, sel, vinaigre, ail grillé, oignons déshydratés, poudre d’ail, arôme.",,Teneur par 30 mL portion (2 c. à table),"- Calories | 10 
- Lipides 0 g | 0 %
 -- Saturés 0 g | 0 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 260 mg | 11 %
- Glucides 2 g | 9 %
 -- Fibres 1 g | 3 %
 -- Sucres 1 g 
- Protéines 0 g 
- Vitamine A | 2 %
- Vitamine C | 2 %
",
4530,Tostitos® Chips,Chips tortilla Tostitos Cantina® Extra mince,https://www.tostitos.ca/fr/products/chips-tortilla-tostitos-cantina®-extra-mince,30016151_Tostitos_Cantina_Thin_%26_Crispy_220g_0.png,Triangle,"Soyez prêt pour une soirée de mets mexicains à la maison avec les chips tortilla Tostitos Cantina® Extra mince. Minces et croquantes, ces chips tortilla sont savoureuses servies chaudes avec votre salsa préférée. Elles sont également parfaites pour accompagner tacos, burritos et fajitas. Présentez un plateau de nachos pour la famille ou un assortiment de nachos et vivez une authentique expérience de repas à la Cantina. Accompagnez votre repas mexicain favori de ces chips tortilla.","Maïs, huile végétale, sel, hydroxyde  de calcium",,Teneur par 50 g portion (26 croustilles),"- Calories | 250 
- Lipides 14 g | 21 %
 -- Saturés 2 g | 9 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 190 mg | 8 %
- Glucides 28 g | 9 %
 -- Fibres 3 g | 12 %
 -- Sucres 0 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 2 %
","Source de fibres
Faites de grains entiers à 100% 
Sans colorant artificiel, arôme artificiel ou agent de conservation
Sans cholestérol
Sans gluten
"
