ID,Title,Link,Image,Description,Ingredients,Directions,Prep Time,Cook Time,Video,Related Recipes,Average Ratings,Num Ratings,Date
5020,Baked Maple Brie,https://www.tostitos.ca/recipes/baked-maple-brie,recipe_hd_baked-maple-brie_0.jpg,"Create the tastiest&nbsp;Baked Maple Brie, Tostitos&reg; own Baked Brie Recipe with step-by-step instructions. Make the best Baked Brie Recipe for any occasion.","1 pkg  Brie cheese
1 cup  maple syrup
2 apples, finely sliced
1/2 cup brown sugar
1 tbsp  cinnamon
1 bag  Tostitos® Bite Size Rounds tortilla chips","Remove rind from top of Brie (for easier dipping).
Make slices into the Brie and insert apples.
Top with brown sugar, cinnamon, maple syrup and apple as desired.
Bake at 350° F for 10&#8209;15 minutes.",20 minutes,,,"creamy-cinnamon-fruit-scoops,brie-and-cranberry-bites,brie-and-pecan-bites",2,8,2016-02-11 13:31:52
5021,Roasted Red Pepper Cheesy Dip,https://www.tostitos.ca/recipes/roasted-red-pepper-cheesy-dip,recipe_hd_roasted-red-pepper-cheesy-dip_0.jpg,"Create the tastiest&nbsp;Roasted Red Pepper Cheesy Dip, Tostitos&reg; own Roasted Red Pepper Dip with step-by-step instructions. Make the best Roasted Red Pepper Dip for any occasion.","1 jar roasted red peppers, finely chopped
2 green onions, chopped
1 cups cooked chicken
3/4 jar Tostitos® Salsa Con Queso
1 bag Tostitos® Multigrain tortilla chips","Mix all ingredients together.
Serve warm if desired.",10 minutes,,,"roasted-red-pepper-cheesy-dip,mozzarella-boulettes,buffalo-mozzarella-bites",4,2,2016-02-11 13:31:52
5022,Chili Cheesy Nachos,https://www.tostitos.ca/recipes/chili-cheesy-nachos,recipe_hd_chili-cheesy-nachos_0.jpg,"Create the tastiest&nbsp;Chili Cheesy Nachos, Tostitos&reg; own Chili Cheese Nachos with step-by-step instructions. Make the best Chili Cheese Nachos for any occasion.","2 cans chili
1 pkg marble cheese, shredded
4 green onions, chopped
1 jar Tostitos® Salsa
1 bag Tostitos® Scoops!® tortilla chips","Warm chili in microwave.
Spoon salsa and chili into Scoops!®.
Top with cheese, garnish with green onion and serve.",10 minutes,,,"taco-con-queso-dip,tasty-taco-bean-dip,black-bean-nachos",4,4,2016-02-11 13:31:52
5023,Swiss Almond Cheese Dip,https://www.tostitos.ca/recipes/swiss-almond-cheese-dip,recipe_hd_swiss-almond-cheese-dip_0.jpg,"Create the tastiest&nbsp;Swiss Almond Cheese Dip, Tostitos&reg; own Swiss Cheese Dip with step-by-step instructions. Make the best Swiss Cheese Dip for any occasion.","1 pkg cream cheese
1 1/2 cups Swiss cheese, shredded
1/3 cup mayonnaise
1/3 cup toasted almonds, slivered
1 green onion, finely chopped
1 bag Tostitos® Bite Size Rounds tortilla chips","Mix together in heat&#8209;safe dish.
Bake at 350° F for 10&#8209;15 minutes.
Garnish with almonds and green onion.",15 minutes,,,"baked-maple-brie,hot-onion-and-parmesan-dip,blue-cheese-scoopsr",4,5,2016-02-11 13:31:52
5025,Hot Cheese Bake,https://www.tostitos.ca/recipes/hot-cheese-bake,recipe_hd_hot-cheese-bake_0.jpg,"Create the tastiest&nbsp;Hot Cheese Bake, Tostitos&reg; own Cheese Dip Recipe with step-by-step instructions. Make the best Cheese Dip Recipe for any occasion.","1 bunch broccoli, cooked
6 eggs
1/2 cup milk
1 jar Tostitos® Salsa Con Queso
1 jar Tostitos® Salsa
1 bag Tostitos® Restaurant Style tortilla chips","Combine all ingredients in a round heat&#8209;safe dish.
Bake in 350° F oven for 20 minutes.
Serve with salsa.",30 minutes,,,"baked-maple-brie,hot-onion-and-parmesan-dip,blue-cheese-scoopsr",2,8,2016-02-11 13:31:52
5026,Mozzarella Boulettes,https://www.tostitos.ca/recipes/mozzarella-boulettes,recipe_hd_mozzarella-boulettes.jpg,"Create the tastiest&nbsp;Mozzarella Boulettes, Tostitos&reg; own Mozzarella Boulettes Recipe with step-by-step instructions. Make the best Mozzarella Boulettes Recipe for any occasion.","2 lb lean ground beef
1 pkg mozzarella cheese, cubed
1 jar Tostitos® Salsa
1 bag Tostitos® Scoops!® tortilla chips","Form small beef boulettes (round balls) with cheese cube in the centre.
Bake in 450 degree oven for 10&#8209;15 minutes until cooked thoroughly.
Place boulettes in scoops and top with salsa.",10 minutes,,,"chili-cheesy-nachos,snappy-salsa-bacon-dip,spicy-cheese-with-ground-beef",3,3,2016-02-11 13:31:52
5027,Buffalo Mozzarella Bites,https://www.tostitos.ca/recipes/buffalo-mozzarella-bites,recipe_hd_buffalo-mozzarella-bites.jpg,"Create the tastiest&nbsp;Buffalo Mozzarella Bites, Tostitos&reg; own Mozzarella Bites with step-by-step instructions. Make the best Mozzarella Bites for any occasion.","1 pkg cherry tomatoes
1 pkg buffalo mozzarella cheese, finely sliced
1/2 fresh basil
1 bag Tostitos® Bite Size Rounds tortilla chips",Place all ingredients atop Tostitos® Bite Size Rounds tortilla chips and serve.,5 minutes,,https://www.youtube.com/watch?v=dfpJIS6ZtsY,"mozzarella-boulettes,brie-and-cranberry-bites,blue-cheese-scoopsr",3,3,2016-02-11 13:31:52
5028,Tasty Taco Bean Dip,https://www.tostitos.ca/recipes/tasty-taco-bean-dip,recipe_hd_tasty-taco-bean-dip_0.jpg,"Create the tastiest&nbsp;Tasty Taco Bean Dip, Tostitos&reg; own Taco Bean Dip with step-by-step instructions. Make the best Taco Bean Dip for any occasion.","1 finely chopped jalapeño
1 onion, diced
1 can baked beans
1 pkg taco seasoning mix
1 pkg shredded cheddar cheese
1 jar Tostitos® Salsa
1 bag Tostitos® Restaurant Style tortilla chips","Heat chili peppers and onion.
Stir in baked beans, taco seasoning and salsa.
Pour into a bowl.
Top with cheddar cheese and serve.",10 minutes,,,"taco-con-queso-dip,black-bean-nachos,savoury-veggie-nachos",4,7,2016-02-11 13:31:52
5029,Black Bean Nachos,https://www.tostitos.ca/recipes/black-bean-nachos,recipe_hd_black-bean-nachos.jpg,"Create the tastiest&nbsp;Baked! Black Bean Nachos, Tostitos&reg; own Recipe For Nachos with step-by-step instructions. Make the best Recipe For Nachos for any occasion.","1 can black beans, drained
1 can corn, drained
1 bunch green onions, diced
1 cup light cheddar cheese, shredded
1 jar Tostitos® Salsa
1 bag Tostitos® Restaurant Style tortilla chips","Place Tostitos® on a baking sheet.
Combine all ingredients.
Top chips with mixture and sprinkle with cheese.
Heat until cheese melts.
Serve immediately.",10 minutes,,,"chili-cheesy-nachos,girlfriendfriendly-dip,savoury-veggie-nachos",3,4,2016-02-11 13:31:52
5030,Avocado Lime and Black Bean Salsa,https://www.tostitos.ca/recipes/avocado-lime-and-black-bean-salsa,recipe_hd_avocado-lime-and-black-bean-salsa_0.jpg,"Create the tastiest&nbsp;Avocado Lime and Black Bean Salsa, Tostitos&reg; own Avocade Spread Recipe with step-by-step instructions. Make the best Avocade Spread Recipe for any occasion.","2 ripe avocados, mashed
2 green onions, sliced
1 can black beans, drained and rinsed
1 cup sour cream
2 limes, for juice and zest
1 cup cheddar cheese, shredded
1 jar Tostitos® Salsa
1 bag Tostitos® Hint of Lime tortilla chips","Sprinkle mashed avocado with lime juice.
Layer avocado and beans on the bottom of serving dish.
Mix remaining ingredients.
Spoon over avocado layer and serve.",10 minutes,,,"chipotle-salsa,garden-lime-dip,zesty-salsa",3,3,2016-02-11 13:31:52
5031,Chipotle Salsa,https://www.tostitos.ca/recipes/chipotle-salsa,recipe_hd_chipotle-salsa.jpg,"Create the tastiest&nbsp;Chipotle Salsa, Tostitos&reg; own Chipotle Salsa Recipe with step-by-step instructions. Make the best Chipotle Salsa Recipe for any occasion.","1/4 cup fresh cilantro, finely chopped
3 tbsp lime juice
1 1/2 tbsp chipotle chilies, chopped
1 1/2 tsp ground cumin,
1 jar Tostitos® Salsa
1 bag Tostitos® Restaurant Style tortilla chips","Mix together all ingredients.
Chill before serving.
Garnish as desired.",10 minutes,,,"avocado-lime-and-black-bean-salsa,garden-lime-dip,zesty-salsa",3,3,2016-02-11 13:31:52
5032,Garden Lime Dip,https://www.tostitos.ca/recipes/garden-lime-dip,recipe_hd_garden-lime-dip.jpg,"Create the tastiest&nbsp;Garden Lime Dip, Tostitos&reg; own Lime Juice Recipe with step-by-step instructions. Make the best Lime Juice Recipe for any occasion.","1 avocado, chopped
1 red onion, diced
3 tbsp lime juice
1 jar Tostitos® Salsa
1 bag Tostitos® Hint of Lime tortilla chips",Mix together all ingredients.,10 minutes,,,"avocado-lime-and-black-bean-salsa,chipotle-salsa,zesty-salsa",2,2,2016-02-11 13:31:52
5033,Li'l Tots Spinach Dip,https://www.tostitos.ca/recipes/lil-tots-spinach-dip,recipe_hd_lil-tots-spinach-dip_0.jpg,"Create the tastiest&nbsp;Li&#39;l Tots Spinach Dip, Tostitos&reg; own Spinach Dip Recipe with step-by-step instructions. Make the best Spinach Dip Recipe for any occasion.","4 baby carrots
4 celery stalks, cut into sticks
1 jar Tostitos® Spinach Dip","Empty Spinach Dip into small bowls.
Place veggie sticks into dip as desired.",5 minutes,,,"salsa-spinach-dip,creamy-cinnamon-fruit-scoops,caesar-scoopsr",2,2,2016-02-11 13:31:52
