ID,Title,Link,Image,Description,Ingredients,Directions,Prep Time,Cook Time,Video,Related Recipes,Average Ratings,Num Ratings,Date
5139,"Brie au sirop d'érable, cuit au four",https://www.tostitos.ca/fr/recipes/brie-au-sirop-dérable-cuit-au-four,recipe_french_2_hd_baked-maple-brie.jpg,,"1 fromage Brie entier
1 tasse de sirop d'érable
2 pommes, coupées en fines tranches
 1/2 tasse de cassonade
1 c. à soupe de cannelle
1 sac de chips tortilla Tostitos® Petites bouchées rondes","Enlever la croûte supérieure du Brie (pour mieux tremper vos chips dans le fromage).
Faire des incisions dans le fromage et insérer des tranches de pomme.
Recouvrir de cassonade, de cannelle, de sirop d'érable et de tranches de pomme, au goût.
Cuire au four à 350° F.
(180° C.
) de 10 à 15 minutes.
Servir.",20 minutes,,,"salade-de-fruits-onctueuse-a-la-cannelle,bouchees-de-brie-sauce-canneberges,bouchees-de-brie-aux-pacanes",2,5,2016-02-11 13:31:52
5140,Trempette au fromage et aux poivrons rouges rôtis,https://www.tostitos.ca/fr/recipes/trempette-au-fromage-et-aux-poivrons-rouges-rôtis,recipe_french_2_hd_roasted-red-pepper-cheesy-dip.jpg,,"1 petit pot de poivrons rouges rôtis, hachés finement
2 oignons verts, hachés
1 1/2 tasse de poulet cuit
 3/4 pot de salsa Tostitos® Con queso
1 sac de chips tortilla Tostitos® Multigrain","Mélanger tous les ingrédients.
Servir chaude, si desiré.",10 minutes,,,"trempette-au-fromage-et-aux-poivrons-rouges-rotis,boulettes-de-boeuf-et-mozzarella,bouchees-a-la-mozzarella-de-buffle",4,2,2016-02-11 13:31:52
5141,Nachos au fromage et au chili,https://www.tostitos.ca/fr/recipes/nachos-au-fromage-et-au-chili,recipe_french_hd_chili-cheesy-nachos.jpg,,"2 boîtes de chili
1 paquet de fromage cheddar marbré, râpé
4 oignons verts hachés
1 pot de salsa Tostitos®
1 sac de chips tortilla Tostitos® Scoops!®","Réchauffer le chili au four micro&#8209;ondes.
À l'aide d'une cuillère, verser la salsa et le chili dans les Scoops.
Recouvrir de fromage, garnir d'oignon vert et servir.",10 minutes,,,"trempette-taco-con-queso,trempette-savoureuse-aux-haricots,nachos-aux-haricots-noirs",3,3,2016-02-11 13:31:52
5142,Trempette aux amandes et fromage suisse,https://www.tostitos.ca/fr/recipes/trempette-aux-amandes-et-fromage-suisse,recipe_french_2_hd_swiss-almond-cheese-dip.jpg,,"1 paquet de fromage à la crème
1 1/2  tasse de fromage suisse râpé
1/3  tasse de mayonnaise
1/3  tasse d'amandes grillées, en fines tranches
1 oignon vert, haché finement
1 sac de chips tortilla Tostitos® Petites bouchées rondes","Mélanger tous les ingrédients dans un bol résistant à la chaleur.
Cuire au four à 350° F (180° C) de 10 à 15 minutes.
Garnir d'amandes et d'oignon vert.",15 minutes,,,"brie-au-sirop-derable-cuit-au-four,trempette-forte-a-loignon-et-au-parmesan,tostitosr-scoopsr-au-fromage-bleu",3,2,2016-02-11 13:31:52
5144,Fricassée de brocolis aux œufs,https://www.tostitos.ca/fr/recipes/fricassée-de-brocolis-aux-œufs,recipe_french_2_hd_hot-cheese-bake.jpg,,"1 paquet de brocoli, cuit
6 oeufs
 1/2 tasse de lait
1 pot de salsa Con queso Tostitos®
1 pot de salsa Tostitos®
1 sac de chips tortilla Tostitos® Style restaurant","Combiner tous les ingrédients dans un bol résistant à la chaleur.
Cuire au four à 350° F (180° C) durant 20 minutes.
Servir accompagnée de salsa.",30 minutes,,,"brie-au-sirop-derable-cuit-au-four,trempette-forte-a-loignon-et-au-parmesan,tostitosr-scoopsr-au-fromage-bleu",4,1,2016-02-11 13:31:52
5145,Boulettes de bœuf et mozzarella,https://www.tostitos.ca/fr/recipes/boulettes-de-bœuf-et-mozzarella,recipe_french_hd_mozzarella-boulettes.jpg,,"2 livres de bœuf haché maigre
1 paquet de fromage mozzarella, coupé en cubes
1 pot de salsa Tostitos®
1 sac de chips tortilla Tostitos® Scoops!®","Façonner de petites boulettes de bœuf haché en insérant un cube de fromage au centre.
Cuire au four à 450° F (230° C) de 10 à 15 minutes jusqu'à ce qu'elles soient bien cuites.
Placer les boulettes dans les Scoops et recouvrir de salsa.",10 minutes,,,"nachos-au-fromage-et-au-chili,fromage-epice-au-boeuf-hache,trempette-salsa-et-bacon",4,1,2016-02-11 13:31:52
5146,Bouchées à la mozzarella de buffle,https://www.tostitos.ca/fr/recipes/bouchées-à-la-mozzarella-de-buffle,recipe_french_hd_buffalo-mozzarella-bites.jpg,,"1 paquet de tomates cerise
1 paquet de fromage mozzarella de buffle, coupé en fines tranches
 1/2 paquet de basilic frais
1 sac de chips tortilla Tostitos® Petites bouchées rondes",Placer tous les ingrédients sur des chips tortilla Tostitos® Petites bouchées rondes et servir.,5 minutes,,https://www.youtube.com/watch?v=CFNA-n4wmXU,"boulettes-de-boeuf-et-mozzarella,bouchees-de-brie-sauce-canneberges,tostitosr-scoopsr-au-fromage-bleu",4,2,2016-02-11 13:31:52
5147,Trempette savoureuse aux haricots,https://www.tostitos.ca/fr/recipes/trempette-savoureuse-aux-haricots,recipe_french_hd_tasty-taco-bean-dip.jpg,,"1 piment jalapeño, haché finement
1 oignon, coupé en dés
1 boîte de haricots
1 paquet d'assaisonnement pour tacos
1 paquet de fromage cheddar râpé
1 pot de salsa Tostitos®
1 sac de chips tortilla Tostitos® Style restaurant","Faire revenir le piment jalapeño et l'oignon.
Ajouter les haricots, l'assaisonnement pour tacos et la salsa.
Verser dans un bol.
Recouvrir de fromage cheddar et servir.",10 minutes,,,"trempette-taco-con-queso,nachos-aux-haricots-noirs,nachos-vegetariens-savoureux",4,1,2016-02-11 13:31:52
5148,Nachos aux haricots noirs,https://www.tostitos.ca/fr/recipes/nachos-aux-haricots-noirs,recipe_french_hd_black-bean-nachos.jpg,,"1 boîte de haricots noirs, égouttés
1 boîte de maïs en grains, égouttés
1 paquet d'oignons verts, coupés en dés
1 tasse de fromage cheddar léger, râpé
1 pot de salsa Tostitos®
1 sac de chips tortilla Tostitos® Style restaurant","Placer les chips tortilla Tostitos® sur une plaque allant au four.
Combiner tous les ingrédients.
Recouvrir les chips du mélange et saupoudrer de fromage.
Cuire jusqu'à ce que le fromage soit fondu.
Servir immédiatement.",10 minutes,,,"nachos-au-fromage-et-au-chili,trempette-etagee-aux-haricot-frits,nachos-vegetariens-savoureux",3,1,2016-02-11 13:31:52
5149,"Salsa aux haricots noirs, avocat et lime",https://www.tostitos.ca/fr/recipes/salsa-aux-haricots-noirs-avocat-et-lime,recipe_french_2_hd_avocado-lime-and-black-bean-salsa.jpg,,"2 avocats mûrs
2 oignons verts tranchés
1 boîte de haricots noirs, égouttés et rincés
1 tasse de crème sure
2 limes, (jus et zeste)
1 tasse de fromage cheddar râpé
1 pot de salsa Tostitos®
1 sac de chips tortilla Tostitos® Zeste de lime","Peler et réduire les avocats en purée.
Arroser de jus de lime.
Étaler l'avocat et les haricots noirs dans une assiette de service.
Mélanger les autres ingrédients.
Les verser sur la purée d'avocat et les haricots noirs.
Servir.",10 minutes,,,"salsa-au-piment-chipotle,trempette-jardiniere-a-la-lime,salsa-piquante",3,1,2016-02-11 13:31:52
