ID,Related Recipes
7756,
7631,
7551,
7526,
7121,
7071,
7051,
7046,
6886,
6881,
6871,
6866,
6861,
6856,
6851,
6846,
6841,
6836,
6831,
6826,
6821,
6816,
6811,
6806,
6801,
6796,
6791,
6786,
6781,
6776,
6771,
6766,
6761,
6756,
6751,
6746,
6741,
6046,"50,715,083"
6041,
6016,
5996,
5986,"50,745,996"
5020,
5021,"502,150,265,027"
5022,"50,285,029"
5023,"50,205,035"
5025,"50,205,035"
5026,5022
5027,5026
5028,"50,295,045"
5029,"50,225,045"
5030,"503,150,325,034"
5031,"503,050,325,034"
5032,"503,050,315,034"
5033,5037
5034,"503,050,315,032"
5035,"50,255,049"
5036,"502,150,265,027"
5037,"50,325,033"
5038,"50,395,085"
5039,5047
5040,5027
5041,5027
5043,"50,215,026"
5044,"502,850,305,045"
5045,5022
5046,"50,325,033"
5047,"50,325,037"
5048,"50,255,035"
5049,"50,285,029"
5050,"50,275,067"
5051,"502,250,275,061"
5052,"50,475,068"
5053,"50,335,047"
5054,
5055,5064
5056,"502,850,305,066"
5057,"503,550,475,059"
5058,"50,555,064"
5059,"502,650,395,063"
5060,
5061,"502,550,605,070"
5062,"50,305,045"
5063,"503,150,655,067"
5064,"50,205,055"
5065,"50,225,070"
5066,"50,275,037"
5067,"50,285,032"
5068,5061
5069,"50,455,047"
5070,"502,950,455,065"
5071,"50,675,068"
5072,"50,835,099"
5073,5022
5074,"50,855,083"
5075,"50,215,023"
5076,"50,555,064"
5077,"50,595,060"
5078,"50,285,061"
5079,"506,850,715,078"
5080,"50,655,070"
5081,"50,295,060"
5082,"50,225,070"
5083,
5084,5022
5085,"50,395,063"
5086,"502,050,295,045"
5087,"502,050,255,086"
5088,"513,150,715,083"
5089,
5090,5099
5091,"503,250,455,054"
5092,"50,655,078"
5093,"50,395,076"
5094,"50,455,054"
5095,5076
5096,"506,150,705,080"
5097,"50,225,070"
5098,"50,645,076"
5099,5083
5100,"50,835,074"
5101,5076
5102,"50,715,079"
5104,5078
5105,"50,305,079"
5106,"50,705,097"
5107,"502,550,875,106"
5108,"50,925,106"
5109,"50,685,071"
5110,"502,950,615,080"
5111,5079
5112,"50,785,079"
5113,"50,215,105"
5114,"507,951,045,108"
5115,"502,250,575,078"
5116,"50,645,076"
5117,"50,275,055"
5118,5092
5119,"50,345,039"
5120,"50,225,074"
5121,"50,745,083"
5123,5128
5124,"503,450,615,080"
5125,"502,251,065,120"
5127,"51,235,128"
5128,5123
5129,"51,215,074"
5130,"508,050,925,124"
5131,"50,715,079"
5132,5083
5134,"508,051,245,130"
5135,"508,051,245,130"
5136,5083
5137,"503,050,345,132"
